Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-02-22,10500.0,10500.0,10000.0,10000.0,11628,0,0
2010-02-23,10000.0,10250.0,10000.0,10083.2998046875,23208,0,0
2010-02-24,10166.7001953125,10333.2998046875,10083.2998046875,10083.2998046875,93564,0,0
2010-02-25,10083.2998046875,10333.2998046875,10083.2998046875,10083.2998046875,25224,0,0
2010-02-26,10083.2998046875,10333.2998046875,10083.2998046875,10083.2998046875,11196,0,0
2010-03-01,10083.2998046875,10250.0,10083.2998046875,10250.0,30804,0,0
2010-03-02,10250.0,10250.0,10083.2998046875,10250.0,23232,0,0
2010-03-03,10333.2998046875,10333.2998046875,10166.7001953125,10333.2998046875,27768,0,0
2010-03-04,10416.7001953125,10666.7001953125,10333.2998046875,10416.7001953125,32064,0,0
2010-03-05,10250.0,10416.7001953125,10250.0,10416.7001953125,91812,0,0
2010-03-08,10416.7001953125,10750.0,10416.7001953125,10583.2998046875,27540,0,0
2010-03-09,10666.7001953125,10666.7001953125,10500.0,10666.7001953125,50604,0,0
2010-03-10,10666.7001953125,10750.0,10583.2998046875,10750.0,47892,0,0
2010-03-11,10750.0,10916.7001953125,10666.7001953125,10750.0,61884,0,0
2010-03-12,10583.2998046875,10833.2998046875,10583.2998046875,10833.2998046875,72072,0,0
2010-03-15,10916.7001953125,11000.0,10833.2998046875,10833.2998046875,28848,0,0
2010-03-16,10833.2998046875,10833.2998046875,10666.7001953125,10666.7001953125,38700,0,0
2010-03-17,10833.2998046875,11166.7001953125,10750.0,10833.2998046875,24252,0,0
2010-03-18,10833.2998046875,11000.0,10750.0,10833.2998046875,34428,0,0
2010-03-19,10833.2998046875,10916.7001953125,10750.0,10750.0,42192,0,0
2010-03-22,10750.0,10833.2998046875,10750.0,10750.0,34800,0,0
2010-03-23,10833.2998046875,10833.2998046875,10583.2998046875,10583.2998046875,36672,0,0
2010-03-24,10583.2998046875,10750.0,10583.2998046875,10750.0,181860,0,0
2010-03-25,10750.0,10750.0,10500.0,10500.0,51300,0,0
2010-03-26,10500.0,10750.0,10500.0,10500.0,13416,0,0
2010-03-29,10500.0,10750.0,10500.0,10583.2998046875,11784,0,0
2010-03-30,10750.0,10750.0,10500.0,10500.0,18804,0,0
2010-03-31,10500.0,10583.2998046875,10500.0,10500.0,25236,0,0
2010-04-01,10666.7001953125,10666.7001953125,10500.0,10583.2998046875,18192,0,0
2010-04-05,10500.0,10750.0,10500.0,10583.2998046875,51324,0,0
2010-04-06,10583.2998046875,10833.2998046875,10583.2998046875,10583.2998046875,28536,0,0
2010-04-07,10583.2998046875,10750.0,10583.2998046875,10666.7001953125,44172,0,0
2010-04-08,10666.7001953125,10750.0,10666.7001953125,10666.7001953125,29628,0,0
2010-04-09,10833.2998046875,11166.7001953125,10833.2998046875,11166.7001953125,93540,0,0
2010-04-12,11666.7001953125,11666.7001953125,11500.0,11666.7001953125,328188,0,0
2010-04-13,11666.7001953125,11833.2998046875,11666.7001953125,11833.2998046875,183300,0,0
2010-04-14,11666.7001953125,12416.7001953125,11666.7001953125,12416.7001953125,338232,0,0
2010-04-15,13000.0,13000.0,12583.2998046875,13000.0,337260,0,0
2010-04-16,13000.0,13583.2998046875,12916.7001953125,13583.2998046875,352140,0,0
2010-04-19,14000.0,14000.0,13416.7001953125,13916.7001953125,159780,0,0
2010-04-20,14583.2998046875,14583.2998046875,14166.7001953125,14583.2998046875,356688,0,0
2010-04-21,15250.0,15250.0,15166.7001953125,15250.0,206256,0,0
2010-04-22,16000.0,16000.0,16000.0,16000.0,500856,0,0
2010-04-26,16666.69921875,16750.0,16583.30078125,16750.0,809652,0,0
2010-04-27,17583.30078125,17583.30078125,17583.30078125,17583.30078125,215844,0,0
2010-04-28,18416.69921875,18416.69921875,18416.69921875,18416.69921875,42552,0,0
