Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",21491286,2021-09-29,0.0699,7201085200,DE
Blackrock Inc.,19798760,2021-09-29,0.0644,6633970513,DE
JP Morgan Chase & Company,12851027,2021-09-29,0.0418,4305993616,DE
State Street Corporation,11511415,2021-09-29,0.0374,3857129824,DE
"Wellington Management Group, LLP",6648615,2021-09-29,0.0216,2227751428,DE
Bank of America Corporation,5591880,2021-09-29,0.0182,1873671231,DE
"Loomis Sayles & Company, LP",4876749,2021-09-29,0.0159,1634052287,DE
"Geode Capital Management, LLC",4526148,2021-09-29,0.0147,1516576410,DE
Norges Bank Investment Management,3739973,2020-12-30,0.012199999999999999,1006239735,DE
"FMR, LLC",3570807,2021-09-29,0.0116,1196470301,DE
