Holder,Shares,Date Reported,% Out,Value,ABV
Morgan Stanley,1124571,2021-09-29,0.038900000000000004,11942944,JRS
"1607 Capital Partners, LLC",447845,2021-09-29,0.0155,4756113,JRS
"Commonwealth Equity Services, LLC",384452,2021-09-29,0.013300000000000001,4082880,JRS
"Advisors Asset Management, Inc.",329962,2021-09-29,0.011399999999999999,3504196,JRS
Cohen & Steers Inc.,239190,2021-09-29,0.0083,2540197,JRS
"Baird Financial Group, Inc.",227033,2021-09-29,0.0079,2411090,JRS
LPL Financial LLC,175785,2021-09-29,0.0060999999999999995,1866836,JRS
Wells Fargo & Company,170320,2021-09-29,0.0059,1808798,JRS
"Private Advisor Group, LLC",139009,2021-09-29,0.0048,1476275,JRS
"Ameriprise Financial, Inc.",124600,2021-09-29,0.0043,1323252,JRS
