Holder,Shares,Date Reported,% Out,Value,ABV
"Wellington Management Group, LLP",244300,2021-09-29,0.0654,9503270,MDWT
Knott (David M.),170000,2021-09-29,0.0455,6613000,MDWT
"Vanguard Group, Inc. (The)",109531,2021-09-29,0.029300000000000003,4260755,MDWT
"Driehaus Capital Management, LLC",103060,2021-09-29,0.0276,4009034,MDWT
"Gradient Investments, LLC",82232,2021-09-29,0.022000000000000002,3198824,MDWT
Conning Inc.,60000,2021-09-29,0.0161,2334000,MDWT
"Kennedy Capital Management, Inc.",55141,2021-09-29,0.0148,2144984,MDWT
Millennium Management LLC,44554,2021-09-29,0.011899999999999999,1733150,MDWT
Emerald Mutual Fund Advisers Trust,31661,2021-09-29,0.0085,1231612,MDWT
Gillson Capital LP,30984,2021-09-29,0.0083,1205277,MDWT
