Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,2594868,2021-09-29,0.1012,434017621,MUSA
"Vanguard Group, Inc. (The)",2344737,2021-09-29,0.0915,392180710,MUSA
JP Morgan Chase & Company,1210581,2021-09-29,0.0472,202481778,MUSA
"River Road Asset Management, LLC",1074247,2021-09-29,0.04190000000000001,179678553,MUSA
State Street Corporation,802378,2021-09-29,0.0313,134205744,MUSA
Dimensional Fund Advisors LP,764776,2021-09-29,0.0298,127916433,MUSA
"ClearBridge Investments, LLC",647642,2021-09-29,0.0253,108324600,MUSA
Lsv Asset Management,598670,2021-09-29,0.023399999999999997,100133544,MUSA
"Renaissance Technologies, LLC",571400,2021-09-29,0.0223,95572364,MUSA
Fuller & Thaler Asset Management Inc.,425875,2021-09-29,0.0166,71231852,MUSA
