Holder,Shares,Date Reported,% Out,Value,ABV
"Claybrook Capital, LLC",486078,2021-12-30,0.0158,7189093,NAN
Bank of America Corporation,458503,2021-12-30,0.0149,6781259,NAN
"Hennion & Walsh Asset Management, Inc.",386226,2021-12-30,0.0125,5712282,NAN
"Guggenheim Capital, LLC",385379,2021-12-30,0.0125,5699755,NAN
"Rivernorth Capital Management, Llc",345400,2021-09-29,0.011200000000000002,5084288,NAN
Morgan Stanley,210326,2021-12-30,0.0068000000000000005,3110721,NAN
Wells Fargo & Company,166542,2021-12-30,0.0054,2463156,NAN
UBS Group AG,158756,2021-12-30,0.0051,2348001,NAN
Royal Bank of Canada,115517,2021-12-30,0.0037,1708496,NAN
"Tortoise Investment Management, LLC",109823,2021-12-30,0.0036,1624282,NAN
