Holder,Shares,Date Reported,% Out,Value,ABV
Morgan Stanley,2537149,2021-12-30,0.045899999999999996,61018433,PTA
SIT Investment Associates Inc,891126,2021-12-30,0.0161,21431580,PTA
Bank of America Corporation,773712,2021-12-30,0.013999999999999999,18607773,PTA
UBS Group AG,599511,2021-12-30,0.0108,14418239,PTA
Royal Bank of Canada,284870,2021-12-30,0.0052,6851123,PTA
"Rivernorth Capital Management, Llc",274705,2021-09-29,0.005,6873119,PTA
Wedbush Securities Inc,130975,2021-12-30,0.0024,3149948,PTA
"Raymond James & Associates, Inc.",123247,2021-12-30,0.0022,2964090,PTA
"Herzfeld (Thomas J.) Advisors, Inc",101885,2021-12-30,0.0018,2450334,PTA
"Access Financial Services, Inc.",84102,2021-12-30,0.0015,2022653,PTA
