Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",5171268,2021-09-29,0.09269999999999999,73432005,RAD
Blackrock Inc.,4797390,2021-09-29,0.086,68122938,RAD
Invesco Ltd.,2730970,2021-09-29,0.049,38779774,RAD
State Street Corporation,1681725,2021-09-29,0.0302,23880495,RAD
JP Morgan Chase & Company,1130748,2021-09-29,0.0203,16056621,RAD
Dimensional Fund Advisors LP,1078287,2021-09-29,0.019299999999999998,15311675,RAD
Great Lakes Advisors LLC,983444,2021-09-29,0.0176,13964904,RAD
"Two Sigma Advisers, LP",945445,2021-09-29,0.017,13425319,RAD
"Geode Capital Management, LLC",915926,2021-09-29,0.016399999999999998,13006149,RAD
"Two Sigma Investments, LP",878192,2021-09-29,0.015700000000000002,12470326,RAD
