Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,2850880,2021-09-29,0.10339999999999999,168315955,RILY
"Vanguard Group, Inc. (The)",1157674,2021-09-29,0.042,68349072,RILY
"Punch & Associates Investment Management, Inc.",782438,2021-09-29,0.028399999999999998,46195139,RILY
Equitec Proprietary Markets LLC,705703,2021-09-29,0.0256,41664705,RILY
State Street Corporation,631146,2021-09-29,0.0229,37262859,RILY
Hood River Capital Management LLC,503483,2021-09-29,0.0183,29725636,RILY
Royce & Associates LP,401767,2021-09-29,0.0146,23720323,RILY
Tudor Investment Corporation,349826,2021-09-29,0.0127,20653727,RILY
"Geode Capital Management, LLC",347549,2021-09-29,0.0126,20519292,RILY
"B. Riley Financial, Inc.",317915,2021-09-29,0.0115,18769701,RILY
