Holder,Shares,Date Reported,% Out,Value,ABV
"Mudrick Capital Management, L.P.",9798798,2021-09-29,0.28850000000000003,294355891,THRY
Goldentree Asset Management LP,2995517,2021-09-29,0.0882,89985330,THRY
"Paulson & Company, Inc.",2636475,2021-09-29,0.0776,79199709,THRY
Wasatch Advisors Inc,2226286,2021-09-29,0.0655,66877631,THRY
"FMR, LLC",1979997,2021-09-29,0.0583,59479109,THRY
Price (T.Rowe) Associates Inc,1718190,2021-09-29,0.0506,51614427,THRY
Ophir Asset Management Pty Ltd,1336687,2021-09-29,0.0394,40154077,THRY
"Vanguard Group, Inc. (The)",825731,2021-09-29,0.024300000000000002,24804959,THRY
Blackrock Inc.,585204,2021-09-29,0.0172,17579528,THRY
Royce & Associates LP,537436,2021-09-29,0.0158,16144577,THRY
