Holder,Shares,Date Reported,% Out,Value,ABV
"Nia Impact Advisors, LLC",113420,2021-12-30,0.018500000000000003,1645667,WFCF
"Vanguard Group, Inc. (The)",65820,2021-12-30,0.010700000000000001,955015,WFCF
Seizert Capital Partners LLC,39393,2021-12-30,0.0064,571572,WFCF
"Green Alpha Advisors, LLC",36069,2021-12-30,0.0059,523343,WFCF
"Advisor Group, Inc.",32238,2021-12-30,0.0053,467757,WFCF
"Pathstone Family Office, Llc",17103,2021-12-30,0.0028000000000000004,248155,WFCF
"Reynders McVeigh Capital Management, LLC",16125,2021-12-30,0.0026,233965,WFCF
"Stevard, LLC",12235,2021-12-30,0.002,177523,WFCF
Millennium Management LLC,11149,2021-12-30,0.0018,161766,WFCF
Blackrock Inc.,7421,2021-12-30,0.0012,107674,WFCF
