contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
AFRM220819C00030000,2022-02-07 20:39:42+00:00,30.0,35.39,0.0,0.0,0.0,0.0,3,8,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00035000,2022-02-02 15:44:08+00:00,35.0,31.0,0.0,0.0,0.0,0.0,1,2,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00040000,2022-02-09 15:03:02+00:00,40.0,34.0,0.0,0.0,0.0,0.0,1,4,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00045000,2022-02-04 20:04:48+00:00,45.0,29.8,0.0,0.0,0.0,0.0,3,15,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00050000,2022-02-09 16:36:56+00:00,50.0,28.8,0.0,0.0,0.0,0.0,11,31,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00055000,2022-02-09 20:53:35+00:00,55.0,28.26,0.0,0.0,0.0,0.0,1,38,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00060000,2022-02-09 20:04:23+00:00,60.0,24.35,0.0,0.0,0.0,0.0,130,156,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00065000,2022-02-09 19:18:24+00:00,65.0,20.8,0.0,0.0,0.0,0.0,41,208,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00070000,2022-02-09 20:58:32+00:00,70.0,20.2,0.0,0.0,0.0,0.0,43,72,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00075000,2022-02-09 20:50:00+00:00,75.0,18.2,0.0,0.0,0.0,0.0,37,85,1.0000000000000003e-05,True,REGULAR,USD,AFRM
AFRM220819C00080000,2022-02-09 20:49:33+00:00,80.0,15.9,0.0,0.0,0.0,0.0,21,477,0.015634843750000002,False,REGULAR,USD,AFRM
AFRM220819C00085000,2022-02-09 20:24:31+00:00,85.0,14.3,0.0,0.0,0.0,0.0,10,116,0.0312596875,False,REGULAR,USD,AFRM
AFRM220819C00090000,2022-02-09 19:37:38+00:00,90.0,11.7,0.0,0.0,0.0,0.0,17,1484,0.062509375,False,REGULAR,USD,AFRM
AFRM220819C00095000,2022-02-09 20:19:22+00:00,95.0,10.73,0.0,0.0,0.0,0.0,4,569,0.062509375,False,REGULAR,USD,AFRM
AFRM220819C00100000,2022-02-09 20:51:46+00:00,100.0,9.98,0.0,0.0,0.0,0.0,42,984,0.062509375,False,REGULAR,USD,AFRM
AFRM220819C00105000,2022-02-09 20:09:27+00:00,105.0,8.3,0.0,0.0,0.0,0.0,318,611,0.12500875,False,REGULAR,USD,AFRM
AFRM220819C00110000,2022-02-08 17:21:15+00:00,110.0,7.25,0.0,0.0,0.0,0.0,3,39,0.12500875,False,REGULAR,USD,AFRM
AFRM220819C00115000,2022-02-09 20:48:05+00:00,115.0,7.11,0.0,0.0,0.0,0.0,33,56,0.12500875,False,REGULAR,USD,AFRM
AFRM220819C00120000,2022-02-09 16:47:25+00:00,120.0,5.0,0.0,0.0,0.0,0.0,2,32,0.12500875,False,REGULAR,USD,AFRM
AFRM220819C00125000,2022-02-09 20:25:49+00:00,125.0,5.66,0.0,0.0,0.0,0.0,23,11,0.12500875,False,REGULAR,USD,AFRM
AFRM220819C00130000,2022-02-09 17:14:03+00:00,130.0,3.92,0.0,0.0,0.0,0.0,23,57,0.12500875,False,REGULAR,USD,AFRM
AFRM220819C00135000,2022-01-27 14:30:02+00:00,135.0,1.91,0.0,0.0,0.0,0.0,2,71,0.12500875,False,REGULAR,USD,AFRM
AFRM220819C00140000,2022-02-09 19:31:57+00:00,140.0,3.55,0.0,0.0,0.0,0.0,3,27,0.12500875,False,REGULAR,USD,AFRM
AFRM220819C00145000,2022-02-09 17:40:53+00:00,145.0,2.87,0.0,0.0,0.0,0.0,1,24,0.2500075,False,REGULAR,USD,AFRM
AFRM220819C00150000,2022-02-09 20:18:14+00:00,150.0,3.3,0.0,0.0,0.0,0.0,3,31,0.2500075,False,REGULAR,USD,AFRM
AFRM220819C00155000,2022-02-09 20:48:18+00:00,155.0,2.95,0.0,0.0,0.0,0.0,101,107,0.2500075,False,REGULAR,USD,AFRM
AFRM220819C00160000,2022-02-09 20:50:01+00:00,160.0,2.7,0.0,0.0,0.0,0.0,118,160,0.2500075,False,REGULAR,USD,AFRM
