contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
AMP220617C00160000,2022-01-27 14:31:48+00:00,160.0,145.5,144.0,148.0,0.0,0.0,,0,0.6832307067871095,True,REGULAR,USD,AMP
AMP220617C00185000,2022-02-09 20:21:54+00:00,185.0,135.37,119.6,123.5,0.0,0.0,9.0,7,0.5803264624023439,True,REGULAR,USD,AMP
AMP220617C00190000,2022-02-09 20:11:07+00:00,190.0,130.14,115.0,119.0,0.0,0.0,2.0,2,0.5767864587402343,True,REGULAR,USD,AMP
AMP220617C00210000,2022-02-09 20:10:32+00:00,210.0,110.74,96.3,100.0,0.0,0.0,1.0,6,0.519963296508789,True,REGULAR,USD,AMP
AMP220617C00220000,2022-02-08 16:03:03+00:00,220.0,96.32,87.0,90.5,0.0,0.0,15.0,31,0.5409591802978517,True,REGULAR,USD,AMP
AMP220617C00230000,2022-02-08 16:00:48+00:00,230.0,86.99,78.7,82.0,0.0,0.0,6.0,8,0.5252733020019531,True,REGULAR,USD,AMP
AMP220617C00240000,2022-02-09 15:42:49+00:00,240.0,83.45,69.8,72.8,0.0,0.0,2.0,6,0.4884389535522462,True,REGULAR,USD,AMP
AMP220617C00250000,2022-02-08 19:25:15+00:00,250.0,69.37,61.3,64.4,0.0,0.0,1.0,4,0.46631393066406257,True,REGULAR,USD,AMP
AMP220617C00270000,2022-01-27 14:43:01+00:00,270.0,48.4,45.2,47.6,0.0,0.0,1.0,4,0.4087583538818359,True,REGULAR,USD,AMP
AMP220617C00280000,2022-02-10 17:34:13+00:00,280.0,51.85,37.9,40.7,0.0,0.0,1.0,20,0.39740592834472654,True,REGULAR,USD,AMP
AMP220617C00290000,2022-01-31 15:02:01+00:00,290.0,26.8,31.3,34.1,0.0,0.0,1.0,10,0.38318487915039057,True,REGULAR,USD,AMP
AMP220617C00300000,2022-02-11 15:41:48+00:00,300.0,31.93,25.0,28.4,-1.2799988,-3.8542573,2.0,33,0.3744264218139648,True,REGULAR,USD,AMP
AMP220617C00310000,2022-02-09 14:38:36+00:00,310.0,27.01,19.9,23.0,0.0,0.0,1.0,65,0.3618380467224121,False,REGULAR,USD,AMP
AMP220617C00320000,2022-02-11 19:56:41+00:00,320.0,16.3,15.3,18.0,-4.4000015,-21.256044,2.0,33,0.3465031170654296,False,REGULAR,USD,AMP
AMP220617C00330000,2022-02-10 20:41:25+00:00,330.0,16.0,11.4,14.3,0.0,0.0,4.0,235,0.34113207702636716,False,REGULAR,USD,AMP
AMP220617C00340000,2022-02-02 15:21:55+00:00,340.0,9.85,8.7,11.5,0.0,0.0,4.0,43,0.34101000793457037,False,REGULAR,USD,AMP
AMP220617C00350000,2022-01-26 15:00:29+00:00,350.0,9.37,6.2,9.2,0.0,0.0,1.0,242,0.3413151806640625,False,REGULAR,USD,AMP
AMP220617C00360000,2022-01-05 19:43:08+00:00,360.0,8.75,5.0,5.7,0.0,0.0,1.0,76,0.31061480407714837,False,REGULAR,USD,AMP
AMP220617C00370000,2022-02-08 20:13:48+00:00,370.0,4.55,2.9,5.7,0.0,0.0,16.0,21,0.3404606970214844,False,REGULAR,USD,AMP
AMP220617C00380000,2022-01-28 14:51:38+00:00,380.0,1.96,1.75,4.8,0.0,0.0,10.0,0,0.34857829162597653,False,REGULAR,USD,AMP
AMP220617C00400000,2021-12-13 05:02:00+00:00,400.0,2.5,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,AMP
AMP220617C00430000,2022-01-07 16:15:59+00:00,430.0,1.05,0.0,2.15,0.0,0.0,1.0,2,0.38410039733886714,False,REGULAR,USD,AMP
AMP220617C00440000,2021-11-26 15:24:19+00:00,440.0,0.6,0.05,0.55,0.0,0.0,2.0,3,0.3139717041015625,False,REGULAR,USD,AMP
AMP220617C00460000,2022-02-01 17:42:19+00:00,460.0,0.2,0.0,2.3,0.0,0.0,12.0,8,0.4449518395996094,False,REGULAR,USD,AMP
