contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
AN220218C00090000,2022-01-05 20:11:19+00:00,90.0,23.28,21.8,25.0,0.32999992,1.4379082,15.0,32,1.4692409350585938,True,REGULAR,USD,AN
AN220218C00095000,2021-12-15 17:17:18+00:00,95.0,23.23,17.3,20.5,0.0,0.0,,1,1.2978550732421872,True,REGULAR,USD,AN
AN220218C00100000,2021-12-30 16:12:23+00:00,100.0,17.18,13.2,16.5,0.0,0.0,4.0,15,1.169681885986328,True,REGULAR,USD,AN
AN220218C00105000,2022-01-03 15:34:38+00:00,105.0,14.63,9.3,11.1,0.0,0.0,1.0,50,0.9477544287109375,True,REGULAR,USD,AN
AN220218C00110000,2022-01-05 19:55:56+00:00,110.0,8.2,6.5,8.2,-2.5,-23.364487,14.0,35,0.8959971337890623,False,REGULAR,USD,AN
AN220218C00115000,2022-01-05 20:14:15+00:00,115.0,5.1,4.6,5.5,-1.4000001,-21.538464,2.0,74,0.8530288134765626,False,REGULAR,USD,AN
AN220218C00120000,2022-01-05 15:41:37+00:00,120.0,4.27,2.3,3.6,-0.17999983,-4.04494,52.0,200,0.7731956274414062,False,REGULAR,USD,AN
AN220218C00125000,2022-01-05 20:18:03+00:00,125.0,2.2,2.0,2.75,-0.8399999,-27.631578,29.0,189,0.8371598315429687,False,REGULAR,USD,AN
AN220218C00130000,2022-01-05 20:27:13+00:00,130.0,1.4,1.05,1.8,-0.65999997,-32.038834,3.0,60,0.8061542822265625,False,REGULAR,USD,AN
AN220218C00135000,2022-01-05 17:33:53+00:00,135.0,1.25,0.65,4.8,0.029999971,2.459014,6.0,14,1.1328168359375002,False,REGULAR,USD,AN
AN220218C00140000,2022-01-03 19:32:24+00:00,140.0,0.8,0.4,1.0,0.0,0.0,6.0,47,0.8413101806640625,False,REGULAR,USD,AN
AN220218C00145000,2021-12-09 16:48:07+00:00,145.0,0.64,0.0,4.8,0.0,0.0,1.0,6,1.2893101940917968,False,REGULAR,USD,AN
AN220218C00150000,2021-12-13 05:08:21+00:00,150.0,1.65,0.0,4.8,0.0,0.0,17.0,17,1.3833038647460936,False,REGULAR,USD,AN
AN220218C00155000,2021-12-30 16:22:22+00:00,155.0,0.33,0.0,4.8,0.0,0.0,1.0,0,1.4721706079101562,False,REGULAR,USD,AN
AN220218C00165000,2021-11-29 18:05:32+00:00,165.0,1.58,0.0,0.75,0.0,0.0,,1,1.083988955078125,False,REGULAR,USD,AN
AN220218C00185000,2021-12-20 16:37:11+00:00,185.0,0.25,0.0,4.8,0.0,0.0,1.0,0,1.9223636694335937,False,REGULAR,USD,AN
AN220218C00190000,2021-12-13 05:08:22+00:00,190.0,0.8,0.0,4.8,0.0,0.0,10.0,10,1.9868164721679689,False,REGULAR,USD,AN
