contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
ARCC230120C00003000,2022-01-05 17:36:04+00:00,3.0,18.0,15.5,20.5,0.5,2.857143,1.0,1,2.6601595996093756,True,REGULAR,USD,ARCC
ARCC230120C00005000,2021-12-13 17:54:07+00:00,5.0,15.57,14.2,18.2,0.0,0.0,3.0,2,1.6689469677734377,True,REGULAR,USD,ARCC
ARCC230120C00008000,2021-11-10 11:56:11+00:00,8.0,11.11,10.5,15.0,0.0,0.0,1.0,0,1.0874069067382814,True,REGULAR,USD,ARCC
ARCC230120C00010000,2021-12-13 20:57:48+00:00,10.0,10.59,8.5,13.5,0.0,0.0,12.0,2,1.0200244311523439,True,REGULAR,USD,ARCC
ARCC230120C00012000,2021-11-10 11:56:10+00:00,12.0,8.2,6.5,10.9,0.0,0.0,2.0,0,0.6909210595703126,True,REGULAR,USD,ARCC
ARCC230120C00015000,2021-12-14 14:52:35+00:00,15.0,5.16,3.5,8.5,0.0,0.0,20.0,28,0.6101113208007813,True,REGULAR,USD,ARCC
ARCC230120C00017000,2021-12-30 16:26:08+00:00,17.0,4.4,1.85,5.9,0.0,0.0,12.0,171,0.38403936279296874,True,REGULAR,USD,ARCC
ARCC230120C00020000,2022-01-04 14:40:31+00:00,20.0,1.55,1.25,1.5,0.0,0.0,2.0,1180,1.0000000000000003e-05,True,REGULAR,USD,ARCC
ARCC230120C00022000,2022-01-04 20:39:37+00:00,22.0,0.65,0.3,0.55,0.0,0.0,5.0,817,0.07398386962890627,False,REGULAR,USD,ARCC
ARCC230120C00025000,2022-01-04 20:31:13+00:00,25.0,0.15,0.0,0.1,0.0,0.0,50.0,536,0.10450114257812498,False,REGULAR,USD,ARCC
ARCC230120C00030000,2021-12-02 15:41:34+00:00,30.0,0.04,0.0,0.1,0.0,0.0,2.0,13,0.198250205078125,False,REGULAR,USD,ARCC
ARCC230120C00035000,2021-11-24 14:30:00+00:00,35.0,0.05,0.0,0.1,0.0,0.0,,3,0.2695385546875,False,REGULAR,USD,ARCC
