contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
ATEN220218C00002500,2021-11-02 13:40:49+00:00,2.5,12.73,12.4,13.1,0.0,0.0,2.0,0,11.46875283203125,True,REGULAR,USD,ATEN
ATEN220218C00005000,2021-12-30 17:45:20+00:00,5.0,11.65,9.9,11.3,0.0,0.0,1.0,1,7.414063232421874,True,REGULAR,USD,ATEN
ATEN220218C00007500,2021-12-06 17:00:42+00:00,7.5,7.1,7.9,8.7,0.0,0.0,1.0,0,5.283206520996093,True,REGULAR,USD,ATEN
ATEN220218C00010000,2021-12-27 16:50:59+00:00,10.0,6.8,5.0,6.7,0.0,0.0,1.0,24,3.6757820605468754,True,REGULAR,USD,ATEN
ATEN220218C00012500,2022-01-03 17:44:59+00:00,12.5,3.94,2.8,3.3,0.0,0.0,2.0,111,2.0742235644531246,True,REGULAR,USD,ATEN
ATEN220218C00015000,2022-01-05 19:43:57+00:00,15.0,1.5,1.2,1.7,-0.53999996,-26.470587,1.0,454,1.6171894140625,False,REGULAR,USD,ATEN
ATEN220218C00017500,2022-01-05 19:37:47+00:00,17.5,0.65,0.5,0.65,-0.050000012,-7.142859,53.0,213,1.41015919921875,False,REGULAR,USD,ATEN
ATEN220218C00020000,2022-01-04 20:32:07+00:00,20.0,0.3,0.15,0.3,0.0,0.0,6.0,206,1.3554719726562499,False,REGULAR,USD,ATEN
ATEN220218C00022500,2021-12-29 16:19:11+00:00,22.5,0.27,0.05,0.2,0.0,0.0,2.0,120,1.4375028125,False,REGULAR,USD,ATEN
ATEN220218C00025000,2021-11-26 14:39:36+00:00,25.0,0.25,0.0,0.2,0.0,0.0,1.0,70,1.5976582617187498,False,REGULAR,USD,ATEN
ATEN220218C00030000,2021-12-29 16:19:11+00:00,30.0,0.1,0.0,0.15,0.0,0.0,,2,1.875000625,False,REGULAR,USD,ATEN
