contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
AZPN220414C00085000,2021-11-10 11:51:50+00:00,85.0,42.7,61.8,65.0,0.0,0.0,,5,1.5649435815429684,True,REGULAR,USD,AZPN
AZPN220414C00100000,2021-11-10 11:51:49+00:00,100.0,30.85,46.9,50.5,0.0,0.0,1.0,1,1.2255898095703124,True,REGULAR,USD,AZPN
AZPN220414C00115000,2021-10-27 16:04:54+00:00,115.0,37.0,29.9,33.0,0.0,0.0,1.0,0,0.7733176965332031,True,REGULAR,USD,AZPN
AZPN220414C00125000,2021-11-15 14:40:17+00:00,125.0,26.0,0.0,0.0,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD,AZPN
AZPN220414C00130000,2021-11-16 14:55:01+00:00,130.0,20.5,19.0,23.7,0.0,0.0,1.0,1,0.7240628179931641,True,REGULAR,USD,AZPN
AZPN220414C00135000,2021-11-09 18:05:22+00:00,135.0,23.7,13.5,16.4,0.0,0.0,1.0,5,0.5502364312744141,True,REGULAR,USD,AZPN
AZPN220414C00140000,2021-10-26 18:27:03+00:00,140.0,18.3,9.4,12.4,0.0,0.0,2.0,0,0.5451095294189454,False,REGULAR,USD,AZPN
AZPN220414C00145000,2021-12-01 18:19:44+00:00,145.0,5.2,8.3,11.5,0.0,0.0,11.0,11,0.528447098388672,False,REGULAR,USD,AZPN
AZPN220414C00150000,2022-01-05 16:05:27+00:00,150.0,6.41,3.7,6.5,0.80999994,14.464285,1.0,264,0.45691461059570315,False,REGULAR,USD,AZPN
AZPN220414C00155000,2021-12-27 18:29:16+00:00,155.0,5.5,1.0,4.0,0.0,0.0,5.0,73,0.40515731567382807,False,REGULAR,USD,AZPN
AZPN220414C00160000,2022-01-05 16:05:27+00:00,160.0,2.4,0.8,4.8,-0.00999999,-0.41493738,1.0,41,0.5049487982177734,False,REGULAR,USD,AZPN
AZPN220414C00165000,2021-12-01 15:13:58+00:00,165.0,2.1,0.25,4.9,0.0,0.0,250.0,251,0.5654340332031251,False,REGULAR,USD,AZPN
AZPN220414C00170000,2021-12-08 14:31:29+00:00,170.0,1.35,0.0,4.8,0.0,0.0,1.0,3,0.611576149902344,False,REGULAR,USD,AZPN
AZPN220414C00175000,2021-10-26 19:10:04+00:00,175.0,3.35,0.1,2.9,0.0,0.0,1.0,56,0.5463912548828126,False,REGULAR,USD,AZPN
AZPN220414C00180000,2021-11-22 20:56:38+00:00,180.0,1.52,0.0,3.0,0.0,0.0,2.0,4,0.5952188916015625,False,REGULAR,USD,AZPN
AZPN220414C00185000,2021-11-22 20:56:38+00:00,185.0,1.08,0.0,4.7,0.0,0.0,2.0,9,0.5887492297363282,False,REGULAR,USD,AZPN
AZPN220414C00190000,2021-11-10 11:51:50+00:00,190.0,3.1,0.0,2.75,0.0,0.0,,5,0.5415084912109377,False,REGULAR,USD,AZPN
AZPN220414C00200000,2021-11-10 11:51:50+00:00,200.0,1.85,0.0,2.75,0.0,0.0,,11,0.6054726953125001,False,REGULAR,USD,AZPN
AZPN220414C00210000,2021-10-25 14:45:13+00:00,210.0,0.45,0.0,4.8,0.0,0.0,,1,0.7622094091796876,False,REGULAR,USD,AZPN
