contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
BBY220225C00075000,2022-01-21 16:40:01+00:00,75.0,22.55,24.1,26.35,0.0,0.0,2.0,0,1.1557659399414062,True,REGULAR,USD,BBY
BBY220225C00085000,2022-02-04 16:02:00+00:00,85.0,11.6,14.2,16.9,0.0,0.0,1.0,2,0.8999033447265624,True,REGULAR,USD,BBY
BBY220225C00090000,2022-01-19 14:35:06+00:00,90.0,11.3,10.65,11.25,0.0,0.0,1.0,0,0.5405319384765627,True,REGULAR,USD,BBY
BBY220225C00091000,2022-01-28 16:04:03+00:00,91.0,7.3,9.5,10.45,0.0,0.0,2.0,2,0.5488326367187502,True,REGULAR,USD,BBY
BBY220225C00092000,2022-02-07 16:00:07+00:00,92.0,6.36,8.55,9.45,0.0,0.0,30.0,32,0.5083056982421875,True,REGULAR,USD,BBY
BBY220225C00093000,2022-02-09 18:20:40+00:00,93.0,9.33,8.05,8.7,0.0,0.0,38.0,41,0.5170946728515625,True,REGULAR,USD,BBY
BBY220225C00094000,2022-02-09 14:30:37+00:00,94.0,7.5,7.0,7.75,0.0,0.0,1.0,2,0.48291532714843755,True,REGULAR,USD,BBY
BBY220225C00095000,2022-02-11 20:12:18+00:00,95.0,6.48,6.5,7.0,-0.96000004,-12.903227,1.0,16,0.4809622216796875,True,REGULAR,USD,BBY
BBY220225C00096000,2022-02-09 16:56:29+00:00,96.0,6.66,5.8,6.35,0.0,0.0,5.0,24,0.4887746435546876,True,REGULAR,USD,BBY
BBY220225C00097000,2022-02-09 15:50:26+00:00,97.0,5.65,5.15,5.45,0.0,0.0,12.0,154,0.45313046875,True,REGULAR,USD,BBY
BBY220225C00098000,2022-02-09 18:05:31+00:00,98.0,5.1,4.5,4.75,0.0,0.0,1.0,60,0.4426325268554688,True,REGULAR,USD,BBY
BBY220225C00099000,2022-02-11 17:33:56+00:00,99.0,3.95,3.85,4.15,-0.54999995,-12.222221,8.0,117,0.4401911450195312,True,REGULAR,USD,BBY
BBY220225C00100000,2022-02-11 20:59:23+00:00,100.0,3.4,3.2,3.55,0.05000019,1.4925431,149.0,128,0.43140217041015627,True,REGULAR,USD,BBY
BBY220225C00101000,2022-02-11 18:02:18+00:00,101.0,3.65,2.49,3.05,1.02,38.783268,7.0,69,0.42969320312500003,False,REGULAR,USD,BBY
BBY220225C00102000,2022-02-11 20:08:05+00:00,102.0,2.14,2.07,2.54,-0.109999895,-4.8888845,34.0,230,0.4204159521484375,False,REGULAR,USD,BBY
BBY220225C00103000,2022-02-11 19:17:00+00:00,103.0,1.87,1.72,2.14,0.049999952,2.74725,29.0,161,0.418951123046875,False,REGULAR,USD,BBY
BBY220225C00104000,2022-02-11 20:34:50+00:00,104.0,1.52,1.4,1.73,0.120000005,8.571429,38.0,245,0.4094297338867187,False,REGULAR,USD,BBY
BBY220225C00105000,2022-02-11 20:59:23+00:00,105.0,1.27,1.16,1.36,0.26999998,26.999998,659.0,619,0.398443515625,False,REGULAR,USD,BBY
BBY220225C00106000,2022-02-11 17:30:55+00:00,106.0,1.44,0.94,1.11,0.2700001,23.076933,8.0,228,0.398443515625,False,REGULAR,USD,BBY
BBY220225C00107000,2022-02-11 20:11:53+00:00,107.0,0.75,0.72,0.98,-0.050000012,-6.2500014,55.0,64,0.41309180664062495,False,REGULAR,USD,BBY
BBY220225C00108000,2022-02-11 20:13:12+00:00,108.0,0.58,0.59,0.74,0.029999971,5.4545403,20.0,87,0.4023497265625,False,REGULAR,USD,BBY
BBY220225C00109000,2022-02-11 15:53:54+00:00,109.0,0.56,0.45,0.56,-0.00999999,-1.7543843,2.0,27,0.39551385742187506,False,REGULAR,USD,BBY
BBY220225C00110000,2022-02-11 18:05:08+00:00,110.0,0.48,0.36,0.45,0.07999998,19.999996,34.0,0,0.398443515625,False,REGULAR,USD,BBY
BBY220225C00111000,2022-02-02 19:55:45+00:00,111.0,0.38,0.26,0.37,0.0,0.0,10.0,14,0.40381455566406255,False,REGULAR,USD,BBY
BBY220225C00112000,2022-02-11 16:00:38+00:00,112.0,0.32,0.19,0.38,0.049999982,18.51851,1.0,66,0.432622861328125,False,REGULAR,USD,BBY
BBY220225C00113000,2022-02-09 20:56:21+00:00,113.0,0.23,0.15,0.28,0.0,0.0,1.0,48,0.42578699218750005,False,REGULAR,USD,BBY
BBY220225C00114000,2022-02-04 15:57:25+00:00,114.0,0.32,0.08,0.19,0.0,0.0,1.0,92,0.41309180664062495,False,REGULAR,USD,BBY
BBY220225C00115000,2022-01-31 15:51:12+00:00,115.0,0.46,0.03,0.38,0.0,0.0,4.0,137,0.5083056982421875,False,REGULAR,USD,BBY
BBY220225C00116000,2022-01-19 20:59:03+00:00,116.0,0.4,0.02,0.25,0.0,0.0,2.0,29,0.48389187988281257,False,REGULAR,USD,BBY
BBY220225C00117000,2022-02-09 16:17:13+00:00,117.0,0.15,0.02,0.17,0.0,0.0,4.0,41,0.4687553125,False,REGULAR,USD,BBY
BBY220225C00120000,2022-02-09 19:25:38+00:00,120.0,0.06,0.01,0.24,0.0,0.0,2.0,89,0.5019581054687501,False,REGULAR,USD,BBY
BBY220225C00125000,2022-01-21 14:59:54+00:00,125.0,0.14,0.0,0.22,0.0,0.0,2.0,13,0.5820354296875,False,REGULAR,USD,BBY
BBY220225C00130000,2022-02-11 14:50:41+00:00,130.0,0.04,0.0,0.13,-0.11000001,-73.333336,2.0,2,0.6171913281250001,False,REGULAR,USD,BBY
BBY220225C00135000,2022-01-28 18:55:46+00:00,135.0,0.2,0.0,0.2,0.0,0.0,4.0,7,0.73633076171875,False,REGULAR,USD,BBY
BBY220225C00145000,2022-01-25 14:30:11+00:00,145.0,0.14,0.0,0.19,0.0,0.0,,1,0.87695435546875,False,REGULAR,USD,BBY
