contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
BMO230120C00090000,2021-12-02 17:12:08+00:00,90.0,18.5,18.4,19.4,0.0,0.0,15.0,81,1.0000000000000003e-05,True,REGULAR,USD,BMO
BMO230120C00095000,2021-12-30 16:41:40+00:00,95.0,14.66,16.0,17.1,0.0,0.0,5.0,25,1.0000000000000003e-05,True,REGULAR,USD,BMO
BMO230120C00100000,2021-12-27 20:07:01+00:00,100.0,11.5,12.4,13.4,0.0,0.0,5.0,18,1.0000000000000003e-05,True,REGULAR,USD,BMO
BMO230120C00105000,2021-12-23 18:44:26+00:00,105.0,8.2,9.0,10.2,0.0,0.0,1.0,34,1.0000000000000003e-05,True,REGULAR,USD,BMO
BMO230120C00110000,2022-01-04 20:35:01+00:00,110.0,7.9,7.0,7.7,0.0,0.0,1.0,54,1.0000000000000003e-05,True,REGULAR,USD,BMO
BMO230120C00115000,2021-12-16 16:38:57+00:00,115.0,5.4,5.0,5.6,0.0,0.0,3.0,1442,0.08442077697753908,True,REGULAR,USD,BMO
BMO230120C00120000,2022-01-03 15:23:11+00:00,120.0,3.9,3.3,4.0,0.60000014,18.181824,1.0,15,0.10563028167724609,False,REGULAR,USD,BMO
BMO230120C00125000,2021-12-27 14:44:05+00:00,125.0,1.8,2.1,2.75,0.0,0.0,14.0,16,0.11725736267089844,False,REGULAR,USD,BMO
BMO230120C00135000,2021-10-18 17:55:31+00:00,135.0,0.9,1.0,1.3,0.0,0.0,8.0,28,0.1341028973388672,False,REGULAR,USD,BMO
BMO230120C00140000,2021-12-17 16:02:10+00:00,140.0,0.5,0.55,0.85,0.0,0.0,2.0,12,0.13868048828125001,False,REGULAR,USD,BMO
BMO230120C00145000,2021-11-10 11:54:52+00:00,145.0,0.19,0.3,0.7,0.0,0.0,,4,0.15088739746093754,False,REGULAR,USD,BMO
BMO230120C00150000,2022-01-05 14:35:00+00:00,150.0,0.3,0.2,0.5,-0.049999982,-14.285709,1.0,3,0.15662464477539065,False,REGULAR,USD,BMO
