contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
BOOT220218C00040000,2021-11-10 11:56:23+00:00,40.0,53.0,89.1,92.3,0.0,0.0,,1,0.0,True,REGULAR,USD,BOOT
BOOT220218C00060000,2021-11-10 11:56:23+00:00,60.0,39.55,68.9,72.2,0.0,0.0,4.0,6,10.725100953063967,True,REGULAR,USD,BOOT
BOOT220218C00065000,2021-12-06 16:28:20+00:00,65.0,54.8,55.3,58.9,0.0,0.0,1.0,4,7.5507818115234375,True,REGULAR,USD,BOOT
BOOT220218C00070000,2021-12-09 16:32:28+00:00,70.0,59.0,46.9,51.0,0.0,0.0,2.0,2,6.198244439697266,True,REGULAR,USD,BOOT
BOOT220218C00075000,2021-12-16 19:11:54+00:00,75.0,40.4,41.9,46.0,0.0,0.0,10.0,78,5.585452236938477,True,REGULAR,USD,BOOT
BOOT220218C00080000,2021-10-22 13:52:52+00:00,80.0,24.12,46.7,49.7,0.0,0.0,1.0,21,6.606202914123536,True,REGULAR,USD,BOOT
BOOT220218C00085000,2021-11-04 19:58:29+00:00,85.0,34.4,34.5,38.1,0.0,0.0,10.0,11,4.864261732177733,True,REGULAR,USD,BOOT
BOOT220218C00090000,2021-12-13 19:09:38+00:00,90.0,26.8,29.3,31.9,0.0,0.0,1.0,98,4.246586723022461,False,REGULAR,USD,BOOT
BOOT220218C00095000,2022-01-05 15:38:30+00:00,95.0,31.3,23.6,27.0,0.539999,1.7555234,2.0,166,3.7180182830810544,False,REGULAR,USD,BOOT
BOOT220218C00100000,2022-01-03 20:59:40+00:00,100.0,25.0,19.5,22.4,0.0,0.0,1.0,55,3.333986040039062,False,REGULAR,USD,BOOT
BOOT220218C00105000,2021-12-22 14:54:48+00:00,105.0,15.5,16.3,18.2,0.0,0.0,2.0,103,3.0341821020507815,False,REGULAR,USD,BOOT
BOOT220218C00110000,2022-01-05 20:00:52+00:00,110.0,15.0,12.6,16.0,-3.7999992,-20.212763,11.0,43,2.8220244293212895,False,REGULAR,USD,BOOT
BOOT220218C00115000,2022-01-05 19:16:03+00:00,115.0,13.0,9.7,11.5,-0.8000002,-5.7971025,2.0,44,2.487796749267578,False,REGULAR,USD,BOOT
BOOT220218C00120000,2022-01-04 15:59:07+00:00,120.0,10.1,8.3,9.1,0.0,0.0,2.0,140,2.37329508239746,False,REGULAR,USD,BOOT
BOOT220218C00125000,2022-01-05 20:35:47+00:00,125.0,6.8,6.6,7.1,-2.0,-22.727272,116.0,1305,2.2402387744140624,False,REGULAR,USD,BOOT
BOOT220218C00130000,2022-01-05 20:17:03+00:00,130.0,5.1,4.9,5.4,-2.0,-28.169016,5.0,80,2.097905145874023,False,REGULAR,USD,BOOT
BOOT220218C00135000,2022-01-05 16:22:42+00:00,135.0,6.0,3.6,4.2,1.1100001,22.69939,2.0,20,1.9951172119140623,False,REGULAR,USD,BOOT
BOOT220218C00140000,2022-01-05 16:17:27+00:00,140.0,4.5,2.55,3.1,0.70000005,18.421055,1.0,331,1.888672431640625,False,REGULAR,USD,BOOT
BOOT220218C00145000,2022-01-04 17:00:23+00:00,145.0,2.43,0.15,2.25,0.0,0.0,1.0,11,1.5781271093749998,False,REGULAR,USD,BOOT
BOOT220218C00150000,2022-01-05 15:54:40+00:00,150.0,2.55,1.4,1.85,0.54999995,27.499998,1.0,3,1.78125109375,False,REGULAR,USD,BOOT
BOOT220218C00160000,2022-01-03 20:50:01+00:00,160.0,1.15,0.7,1.0,0.0,0.0,5.0,38,1.6767594287109375,False,REGULAR,USD,BOOT
BOOT220218C00175000,2021-11-19 15:35:53+00:00,175.0,1.5,0.2,0.6,0.0,0.0,1.0,1200,1.6328143359374998,False,REGULAR,USD,BOOT
BOOT220218C00180000,2021-12-03 14:31:56+00:00,180.0,0.8,0.05,4.8,0.0,0.0,2.0,2,2.420902385253906,False,REGULAR,USD,BOOT
BOOT220218C00185000,2021-11-18 16:04:53+00:00,185.0,1.5,0.05,0.45,0.0,0.0,,1,1.619142529296875,False,REGULAR,USD,BOOT
BOOT220218C00190000,2021-12-27 20:32:32+00:00,190.0,0.4,0.0,1.95,0.0,0.0,1.0,22,2.0888719653320305,False,REGULAR,USD,BOOT
