contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
CDNS220819C00095000,2022-01-10 15:05:05+00:00,95.0,69.97,59.6,63.2,0.0,0.0,2.0,0,0.5747112841796875,True,REGULAR,USD,CDNS
CDNS220819C00105000,2022-01-25 20:56:15+00:00,105.0,42.88,50.1,53.1,0.0,0.0,5.0,9,0.5567060931396486,True,REGULAR,USD,CDNS
CDNS220819C00115000,2022-01-24 14:30:18+00:00,115.0,37.53,41.7,44.6,0.0,0.0,,5,0.514531221923828,True,REGULAR,USD,CDNS
CDNS220819C00120000,2022-01-11 17:28:04+00:00,120.0,53.2,37.4,40.1,0.0,0.0,10.0,40,0.48187773986816407,True,REGULAR,USD,CDNS
CDNS220819C00125000,2022-01-28 14:56:14+00:00,125.0,24.67,33.7,37.3,0.0,0.0,5.0,5,0.49860120544433595,True,REGULAR,USD,CDNS
CDNS220819C00140000,2022-02-02 20:20:20+00:00,140.0,25.3,23.7,26.7,7.5,42.134834,1.0,7,0.453557710571289,True,REGULAR,USD,CDNS
CDNS220819C00145000,2022-01-10 15:05:05+00:00,145.0,29.2,20.9,23.4,0.0,0.0,2.0,3,0.4370478659057617,True,REGULAR,USD,CDNS
CDNS220819C00150000,2022-02-02 18:01:49+00:00,150.0,19.17,18.8,20.7,4.2700005,28.657722,10.0,28,0.4304866522216797,True,REGULAR,USD,CDNS
CDNS220819C00160000,2022-02-02 18:01:49+00:00,160.0,14.23,13.8,15.8,3.7299995,35.523804,10.0,10,0.41544163665771483,False,REGULAR,USD,CDNS
CDNS220819C00165000,2022-02-01 19:53:07+00:00,165.0,11.3,11.7,12.8,0.0,0.0,100.0,510,0.38910523010253906,False,REGULAR,USD,CDNS
CDNS220819C00170000,2022-01-28 16:55:07+00:00,170.0,6.9,9.7,12.2,0.0,0.0,50.0,75,0.4122983575439453,False,REGULAR,USD,CDNS
CDNS220819C00175000,2022-01-25 20:28:15+00:00,175.0,6.2,8.2,8.9,0.0,0.0,1.0,1,0.369421589050293,False,REGULAR,USD,CDNS
CDNS220819C00180000,2022-02-01 17:57:21+00:00,180.0,7.0,6.7,7.5,0.0,0.0,16.0,31,0.3655458953857422,False,REGULAR,USD,CDNS
CDNS220819C00190000,2022-01-10 14:30:16+00:00,190.0,7.65,4.6,5.3,0.0,0.0,,3,0.3605410626220703,False,REGULAR,USD,CDNS
CDNS220819C00195000,2022-01-26 15:47:02+00:00,195.0,3.1,3.4,4.3,0.0,0.0,43.0,47,0.3544986425781249,False,REGULAR,USD,CDNS
CDNS220819C00200000,2022-01-25 16:08:36+00:00,200.0,2.29,2.7,3.7,0.0,0.0,2.0,7,0.3569400244140625,False,REGULAR,USD,CDNS
CDNS220819C00210000,2022-01-21 15:56:01+00:00,210.0,2.02,1.9,4.6,0.0,0.0,10.0,10,0.42615319946289065,False,REGULAR,USD,CDNS
CDNS220819C00220000,2022-01-13 19:01:36+00:00,220.0,3.2,1.2,1.7,0.0,0.0,13.0,20,0.3497379479980468,False,REGULAR,USD,CDNS
