contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
CE220318C00100000,2021-11-15 14:35:35+00:00,100.0,70.0,0.0,0.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,CE
CE220318C00120000,2022-01-20 15:35:31+00:00,120.0,47.64,38.2,42.5,0.0,0.0,1.0,1,0.5029346582031251,True,REGULAR,USD,CE
CE220318C00125000,2021-11-29 17:08:35+00:00,125.0,38.0,40.3,42.9,0.0,0.0,6.0,0,1.0033008819580076,True,REGULAR,USD,CE
CE220318C00130000,2021-10-29 14:10:57+00:00,130.0,36.2,32.2,36.0,0.0,0.0,1.0,6,0.7369411071777343,True,REGULAR,USD,CE
CE220318C00135000,2021-11-10 11:51:37+00:00,135.0,23.2,26.5,28.5,0.0,0.0,,11,0.5371140039062501,True,REGULAR,USD,CE
CE220318C00140000,2021-11-10 11:51:37+00:00,140.0,13.93,22.1,25.0,0.0,0.0,40.0,60,0.529423651123047,True,REGULAR,USD,CE
CE220318C00145000,2022-01-03 18:54:31+00:00,145.0,23.9,14.0,17.0,0.0,0.0,1.0,22,0.3487613952636719,True,REGULAR,USD,CE
CE220318C00150000,2022-02-01 14:58:17+00:00,150.0,9.2,11.8,14.8,0.0,0.0,1.0,4,0.4255428540039063,True,REGULAR,USD,CE
CE220318C00155000,2022-01-18 16:20:03+00:00,155.0,18.29,8.0,10.3,0.0,0.0,1.0,19,0.3536441589355468,True,REGULAR,USD,CE
CE220318C00160000,2022-02-02 17:26:14+00:00,160.0,6.1,5.3,7.4,1.2399998,25.514397,1.0,21,0.34101000793457037,False,REGULAR,USD,CE
CE220318C00165000,2022-02-03 15:58:16+00:00,165.0,4.14,3.2,4.5,1.53,58.62069,3.0,321,0.3039620385742187,False,REGULAR,USD,CE
CE220318C00170000,2022-02-03 20:26:31+00:00,170.0,2.61,1.6,3.5,0.67999995,35.23316,2.0,107,0.3324041369628906,False,REGULAR,USD,CE
CE220318C00175000,2022-02-02 15:42:51+00:00,175.0,1.43,0.65,3.4,0.62999994,78.74999,1.0,69,0.39380489013671877,False,REGULAR,USD,CE
CE220318C00180000,2022-02-02 14:30:04+00:00,180.0,0.48,0.4,2.35,0.0,0.0,1.0,42,0.39087523193359375,False,REGULAR,USD,CE
CE220318C00185000,2022-02-03 20:11:26+00:00,185.0,0.5,0.25,1.05,-0.3,-37.5,2.0,32,0.3435124243164062,False,REGULAR,USD,CE
CE220318C00190000,2022-02-03 20:41:34+00:00,190.0,0.55,0.0,0.75,-0.64000005,-53.781517,4.0,22,0.35510898803710933,False,REGULAR,USD,CE
CE220318C00195000,2021-12-31 20:51:58+00:00,195.0,1.05,0.0,4.8,0.0,0.0,1.0,29,0.5423629748535157,False,REGULAR,USD,CE
CE220318C00200000,2022-02-02 20:23:07+00:00,200.0,0.18,0.0,4.8,0.0,0.0,6.0,28,0.5864299169921875,False,REGULAR,USD,CE
CE220318C00210000,2021-11-10 11:51:38+00:00,210.0,1.0,0.25,1.0,0.0,0.0,,1,0.5329636547851562,False,REGULAR,USD,CE
