contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
CHPT220520C00003000,2022-02-02 17:30:11+00:00,3.0,10.45,9.45,9.75,0.0,0.0,2,93,1.125004375,True,REGULAR,USD,CHPT
CHPT220520C00005000,2022-02-02 17:08:07+00:00,5.0,8.5,7.6,7.8,0.0,0.0,5,273,1.0859420703125,True,REGULAR,USD,CHPT
CHPT220520C00007000,2022-02-03 14:49:01+00:00,7.0,6.25,5.8,6.0,-0.9499998,-13.194442,3,36,0.9648441015625,True,REGULAR,USD,CHPT
CHPT220520C00008000,2022-02-03 20:59:35+00:00,8.0,5.0,4.9,5.1,-0.099999905,-1.9607825,13,14,0.86914193359375,True,REGULAR,USD,CHPT
CHPT220520C00009000,2022-02-01 16:21:26+00:00,9.0,5.65,4.2,4.35,0.0,0.0,8,26,0.8710950390625,True,REGULAR,USD,CHPT
CHPT220520C00010000,2022-02-03 16:44:19+00:00,10.0,3.69,3.5,3.7,-0.65999985,-15.17241,3,756,0.8554701953125,True,REGULAR,USD,CHPT
CHPT220520C00011000,2022-02-03 15:06:25+00:00,11.0,3.15,2.91,3.05,-0.4499998,-12.499995,6,19,0.8320329296874999,True,REGULAR,USD,CHPT
CHPT220520C00012000,2022-02-03 19:54:10+00:00,12.0,2.49,2.39,2.44,-0.49,-16.442953,10,124,0.8037129003906249,True,REGULAR,USD,CHPT
CHPT220520C00013000,2022-02-03 20:59:13+00:00,13.0,2.04,1.94,2.02,-0.43000007,-17.408909,104,1019,0.797853583984375,False,REGULAR,USD,CHPT
CHPT220520C00014000,2022-02-03 20:44:53+00:00,14.0,1.66,1.59,1.68,-0.36,-17.821783,63,524,0.8012715185546875,False,REGULAR,USD,CHPT
CHPT220520C00015000,2022-02-03 20:58:22+00:00,15.0,1.38,1.31,1.36,-0.31000006,-18.343199,3262,5849,0.79883013671875,False,REGULAR,USD,CHPT
CHPT220520C00016000,2022-02-03 20:14:59+00:00,16.0,1.15,1.04,1.14,-0.27999997,-19.580418,164,1336,0.797853583984375,False,REGULAR,USD,CHPT
CHPT220520C00017000,2022-02-03 20:15:40+00:00,17.0,0.95,0.9,0.92,-0.25000006,-20.833338,111,800,0.80664255859375,False,REGULAR,USD,CHPT
CHPT220520C00018000,2022-02-03 20:25:27+00:00,18.0,0.78,0.73,0.77,-0.17000002,-17.89474,23,1085,0.8085956640624999,False,REGULAR,USD,CHPT
CHPT220520C00019000,2022-02-03 19:49:36+00:00,19.0,0.64,0.61,0.65,-0.36,-36.0,14,1051,0.8164080859374999,False,REGULAR,USD,CHPT
CHPT220520C00020000,2022-02-03 20:23:49+00:00,20.0,0.54,0.51,0.55,-0.13999999,-20.588232,86,4827,0.82226740234375,False,REGULAR,USD,CHPT
CHPT220520C00021000,2022-02-03 20:49:42+00:00,21.0,0.46,0.43,0.48,-0.12999997,-22.033894,9,804,0.8330094824218748,False,REGULAR,USD,CHPT
CHPT220520C00022000,2022-02-03 15:21:49+00:00,22.0,0.45,0.37,0.4,-0.050000012,-10.000002,8,883,0.8378922460937499,False,REGULAR,USD,CHPT
CHPT220520C00023000,2022-02-03 20:37:38+00:00,23.0,0.33,0.31,0.34,-0.089999974,-21.428566,1,1076,0.84179845703125,False,REGULAR,USD,CHPT
CHPT220520C00024000,2022-02-03 19:36:46+00:00,24.0,0.29,0.27,0.29,-0.08000001,-21.621626,34,706,0.84961087890625,False,REGULAR,USD,CHPT
CHPT220520C00025000,2022-02-03 20:52:50+00:00,25.0,0.26,0.25,0.26,-0.050000012,-16.129036,19,1752,0.866212275390625,False,REGULAR,USD,CHPT
CHPT220520C00026000,2022-02-03 20:25:01+00:00,26.0,0.23,0.18,0.29,-0.13000001,-36.111115,2,1736,0.883790224609375,False,REGULAR,USD,CHPT
CHPT220520C00027000,2022-02-02 18:07:45+00:00,27.0,0.26,0.15,0.26,0.0,0.0,17,1008,0.8886729882812499,False,REGULAR,USD,CHPT
CHPT220520C00028000,2022-02-03 19:15:20+00:00,28.0,0.19,0.14,0.25,-0.040000007,-17.391306,28,1451,0.9101571484375,False,REGULAR,USD,CHPT
CHPT220520C00029000,2022-02-02 14:30:09+00:00,29.0,0.25,0.16,0.22,0.0,0.0,1,1965,0.9335944140625,False,REGULAR,USD,CHPT
CHPT220520C00030000,2022-02-03 20:58:06+00:00,30.0,0.16,0.15,0.21,-0.030000001,-15.7894745,30,1261,0.9511723632812499,False,REGULAR,USD,CHPT
CHPT220520C00031000,2022-02-03 16:03:37+00:00,31.0,0.16,0.11,0.19,-0.010000005,-5.882356,1,113,0.9433599414062499,False,REGULAR,USD,CHPT
CHPT220520C00032000,2022-02-02 19:14:34+00:00,32.0,0.16,0.09,0.17,0.0,0.0,1,471,0.9433599414062499,False,REGULAR,USD,CHPT
CHPT220520C00033000,2022-02-02 14:30:03+00:00,33.0,0.15,0.1,0.16,0.0,0.0,2,112,0.96679720703125,False,REGULAR,USD,CHPT
CHPT220520C00034000,2022-01-27 15:36:30+00:00,34.0,0.14,0.07,0.16,0.0,0.0,2,1096,0.9687503125,False,REGULAR,USD,CHPT
CHPT220520C00035000,2022-02-03 17:01:43+00:00,35.0,0.11,0.1,0.15,-0.009999998,-8.333332,50,1558,1.0039112304687499,False,REGULAR,USD,CHPT
CHPT220520C00036000,2022-01-26 14:42:42+00:00,36.0,0.15,0.05,0.17,0.0,0.0,4,86,1.0039112304687499,False,REGULAR,USD,CHPT
CHPT220520C00037000,2022-01-24 14:38:54+00:00,37.0,0.15,0.04,0.16,0.0,0.0,1,70,1.0078174609375,False,REGULAR,USD,CHPT
CHPT220520C00038000,2022-02-03 15:17:34+00:00,38.0,0.09,0.05,0.14,-0.019999996,-18.181814,1,55,1.017583037109375,False,REGULAR,USD,CHPT
CHPT220520C00039000,2022-02-01 16:49:52+00:00,39.0,0.13,0.04,0.13,0.0,0.0,1,24,1.01953615234375,False,REGULAR,USD,CHPT
CHPT220520C00040000,2022-02-01 18:39:24+00:00,40.0,0.12,0.05,0.1,0.0,0.0,3,269,1.015629921875,False,REGULAR,USD,CHPT
CHPT220520C00041000,2022-02-01 17:13:55+00:00,41.0,0.12,0.04,0.12,0.0,0.0,1,77,1.0429735351562504,False,REGULAR,USD,CHPT
CHPT220520C00042000,2022-01-31 20:57:48+00:00,42.0,0.11,0.03,0.13,0.0,0.0,2,300,1.05859845703125,False,REGULAR,USD,CHPT
