contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
CMI220318C00125000,2021-11-10 11:50:20+00:00,125.0,112.7,91.8,95.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,CMI
CMI220318C00140000,2021-11-30 15:12:55+00:00,140.0,75.0,77.2,81.5,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD,CMI
CMI220318C00180000,2021-11-10 11:50:21+00:00,180.0,56.0,40.8,43.3,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,CMI
CMI220318C00190000,2022-01-25 15:05:43+00:00,190.0,28.8,35.2,37.7,0.0,0.0,1.0,9,0.3852600537109374,True,REGULAR,USD,CMI
CMI220318C00195000,2022-01-24 19:02:15+00:00,195.0,28.91,30.7,33.2,0.0,0.0,1.0,8,0.37683728637695313,True,REGULAR,USD,CMI
CMI220318C00200000,2022-01-24 15:27:01+00:00,200.0,24.27,26.0,28.3,0.0,0.0,4.0,15,0.3364324169921875,True,REGULAR,USD,CMI
CMI220318C00210000,2022-01-27 19:42:09+00:00,210.0,18.8,17.7,19.7,0.0,0.0,6.0,63,0.30512169494628905,True,REGULAR,USD,CMI
CMI220318C00220000,2022-02-02 20:36:49+00:00,220.0,10.95,10.4,12.7,-0.05000019,-0.4545472,27.0,166,0.29444064941406245,True,REGULAR,USD,CMI
CMI220318C00230000,2022-02-02 19:15:23+00:00,230.0,5.54,5.8,6.7,-0.86000013,-13.437502,25.0,1297,0.264106480102539,False,REGULAR,USD,CMI
CMI220318C00240000,2022-02-02 20:59:30+00:00,240.0,2.8,2.3,3.2,-0.00999999,-0.35587156,7.0,840,0.25586681640625003,False,REGULAR,USD,CMI
CMI220318C00250000,2022-02-02 19:18:07+00:00,250.0,1.05,0.85,1.15,-0.100000024,-8.695655,193.0,1033,0.24036404174804685,False,REGULAR,USD,CMI
CMI220318C00260000,2022-02-02 14:30:16+00:00,260.0,0.45,0.3,0.55,0.049999982,12.499995,1.0,241,0.2551344018554688,False,REGULAR,USD,CMI
CMI220318C00270000,2022-01-26 15:06:09+00:00,270.0,0.68,0.1,0.35,0.0,0.0,5.0,134,0.282233740234375,False,REGULAR,USD,CMI
CMI220318C00280000,2022-01-25 18:22:57+00:00,280.0,0.25,0.05,0.3,0.0,0.0,1.0,47,0.3198310205078124,False,REGULAR,USD,CMI
CMI220318C00290000,2022-01-21 18:07:40+00:00,290.0,0.2,0.0,0.35,0.0,0.0,4.0,35,0.3715883154296875,False,REGULAR,USD,CMI
CMI220318C00300000,2021-12-03 17:24:06+00:00,300.0,0.44,0.0,0.35,0.0,0.0,1.0,5,0.41260353027343744,False,REGULAR,USD,CMI
CMI220318C00310000,2022-01-18 20:21:11+00:00,310.0,0.3,0.0,0.35,0.0,0.0,,5,0.45166563964843753,False,REGULAR,USD,CMI
CMI220318C00320000,2021-12-03 19:13:29+00:00,320.0,0.2,0.0,0.35,0.0,0.0,5.0,12,0.4887746435546876,False,REGULAR,USD,CMI
CMI220318C00330000,2021-11-10 11:50:22+00:00,330.0,0.25,0.25,0.35,0.0,0.0,1.0,11,0.5122119091796875,False,REGULAR,USD,CMI
CMI220318C00350000,2021-11-17 14:41:24+00:00,350.0,0.2,0.0,0.35,0.0,0.0,,1,0.5380905566406251,False,REGULAR,USD,CMI
CMI220318C00360000,2021-11-10 11:50:22+00:00,360.0,0.2,0.0,0.35,0.0,0.0,,21,0.567387138671875,False,REGULAR,USD,CMI
