contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
CSX230120C00013330,2021-11-10 11:57:59+00:00,13.33,20.01,22.9,23.9,0.0,0.0,1.0,1,1.111820847167969,True,REGULAR,USD,CSX
CSX230120C00014170,2021-11-10 11:57:59+00:00,14.17,20.34,20.6,25.0,0.0,0.0,,0,1.0969283435058594,True,REGULAR,USD,CSX
CSX230120C00015000,2021-11-10 11:57:59+00:00,15.0,18.7,20.0,23.7,0.0,0.0,5.0,0,1.0170947583007814,True,REGULAR,USD,CSX
CSX230120C00015830,2021-11-10 11:57:59+00:00,15.83,18.0,19.0,23.0,0.0,0.0,1.0,1,0.9599613378906249,True,REGULAR,USD,CSX
CSX230120C00016670,2021-11-23 15:44:14+00:00,16.67,19.9,18.2,21.4,0.0,0.0,38.0,73,0.848634326171875,True,REGULAR,USD,CSX
CSX230120C00018330,2022-01-21 14:56:01+00:00,18.33,15.21,15.9,16.6,0.0,0.0,15.0,15,0.46484910156250003,True,REGULAR,USD,CSX
CSX230120C00020000,2022-02-10 15:24:18+00:00,20.0,14.7,14.4,15.0,-0.25,-1.6722409,1.0,94,0.4282283740234375,True,REGULAR,USD,CSX
CSX230120C00021670,2021-12-08 20:29:18+00:00,21.67,15.8,16.0,16.4,0.0,0.0,1.0,74,0.7873556420898438,True,REGULAR,USD,CSX
CSX230120C00022500,2022-02-04 15:51:49+00:00,22.5,12.02,12.0,12.9,0.0,0.0,40.0,143,0.4243221630859375,True,REGULAR,USD,CSX
CSX230120C00023330,2021-11-10 11:58:00+00:00,23.33,9.6,13.8,14.2,0.0,0.0,10.0,17,0.6452672192382812,True,REGULAR,USD,CSX
CSX230120C00024170,2021-10-21 14:00:51+00:00,24.17,12.0,12.4,12.7,0.0,0.0,2.0,100,0.5395553857421876,True,REGULAR,USD,CSX
CSX230120C00025000,2022-02-02 18:11:23+00:00,25.0,10.87,9.9,10.5,0.0,0.0,15.0,201,0.35938140625,True,REGULAR,USD,CSX
CSX230120C00025830,2022-01-11 16:04:04+00:00,25.83,11.14,9.2,9.8,0.0,0.0,1.0,135,0.3505924316406249,True,REGULAR,USD,CSX
CSX230120C00026670,2022-02-07 18:22:05+00:00,26.67,8.38,8.5,9.1,0.0,0.0,3.0,84,0.3413151806640625,True,REGULAR,USD,CSX
CSX230120C00027500,2022-02-02 15:16:46+00:00,27.5,8.4,7.9,8.4,0.0,0.0,1.0,95,0.32959654785156245,True,REGULAR,USD,CSX
CSX230120C00028330,2022-01-20 14:55:05+00:00,28.33,8.88,7.4,7.9,0.0,0.0,12.0,196,0.3371648315429688,True,REGULAR,USD,CSX
CSX230120C00029170,2022-02-09 19:11:51+00:00,29.17,7.0,6.6,7.2,0.0,0.0,67.0,210,0.3227606787109374,True,REGULAR,USD,CSX
CSX230120C00030000,2022-02-02 16:11:09+00:00,30.0,6.0,6.1,6.5,-0.4000001,-6.2500014,1.0,596,0.30689169677734374,True,REGULAR,USD,CSX
CSX230120C00030830,2022-01-28 15:26:19+00:00,30.83,5.2,5.6,6.0,0.0,0.0,9.0,341,0.3073799731445312,True,REGULAR,USD,CSX
CSX230120C00031670,2022-02-07 18:38:35+00:00,31.67,4.77,5.1,5.4,0.0,0.0,1.0,306,0.29761444580078117,True,REGULAR,USD,CSX
CSX230120C00032500,2022-02-08 15:00:25+00:00,32.5,4.5,4.6,4.9,0.0,0.0,4.0,336,0.2937082348632812,True,REGULAR,USD,CSX
CSX230120C00033330,2022-02-09 15:28:13+00:00,33.33,4.4,4.1,4.4,0.0,0.0,1.0,172,0.2877268493652343,True,REGULAR,USD,CSX
CSX230120C00035000,2022-02-09 20:06:25+00:00,35.0,3.4,3.2,3.5,0.0,0.0,1.0,1954,0.2778392529296875,False,REGULAR,USD,CSX
CSX230120C00036670,2022-02-09 17:47:18+00:00,36.67,2.7,2.55,2.7,0.0,0.0,7.0,2113,0.26697510375976563,False,REGULAR,USD,CSX
CSX230120C00038330,2022-02-08 19:53:25+00:00,38.33,1.82,1.9,2.1,0.0,0.0,1.0,3498,0.26258061645507813,False,REGULAR,USD,CSX
CSX230120C00040000,2022-02-09 19:33:38+00:00,40.0,1.6,1.35,1.65,0.0,0.0,2.0,754,0.2622144091796875,False,REGULAR,USD,CSX
CSX230120C00041670,2022-02-02 14:39:24+00:00,41.67,1.3,0.95,1.25,0.0,0.0,1.0,428,0.25879647460937505,False,REGULAR,USD,CSX
CSX230120C00042500,2021-05-27 14:44:41+00:00,42.5,61.0,51.0,56.0,0.0,0.0,2.0,1,0.0,False,REGULAR,USD,CSX
