contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
DAR220414C00045000,2021-12-30 17:18:00+00:00,45.0,23.8,22.9,23.7,0.0,0.0,,3,1.222415997314453,True,REGULAR,USD,DAR
DAR220414C00050000,2022-01-03 14:30:02+00:00,50.0,20.1,17.1,18.6,0.0,0.0,1.0,2,0.9387213159179688,True,REGULAR,USD,DAR
DAR220414C00055000,2022-01-05 15:24:53+00:00,55.0,16.2,13.9,14.2,5.1000004,45.94595,6.0,72,0.8575453698730469,True,REGULAR,USD,DAR
DAR220414C00060000,2022-01-04 19:22:06+00:00,60.0,13.0,10.0,10.3,0.0,0.0,1.0,62,0.7419459399414061,True,REGULAR,USD,DAR
DAR220414C00065000,2022-01-05 17:05:25+00:00,65.0,8.4,6.7,7.0,1.2499995,17.48251,5.0,170,0.6535679174804689,False,REGULAR,USD,DAR
DAR220414C00070000,2022-01-05 19:55:19+00:00,70.0,4.69,4.2,4.5,-1.21,-20.508476,170.0,456,0.5946085461425781,False,REGULAR,USD,DAR
DAR220414C00075000,2022-01-05 16:30:20+00:00,75.0,3.3,2.5,2.7,-0.20000005,-5.7142873,3.0,66,0.5546919531250001,False,REGULAR,USD,DAR
DAR220414C00080000,2022-01-05 17:06:16+00:00,80.0,2.1,1.4,1.6,-0.10000014,-4.545461,5.0,175,0.5310105493164063,False,REGULAR,USD,DAR
DAR220414C00085000,2022-01-05 20:50:45+00:00,85.0,0.9,0.75,0.95,0.099999964,12.499995,5.0,398,0.5180712255859375,False,REGULAR,USD,DAR
DAR220414C00090000,2021-12-29 19:06:04+00:00,90.0,0.75,0.4,0.6,0.0,0.0,1.0,34,0.516606396484375,False,REGULAR,USD,DAR
DAR220414C00095000,2021-12-29 17:43:13+00:00,95.0,0.47,0.2,0.4,0.0,0.0,3.0,156,0.5190477783203125,False,REGULAR,USD,DAR
DAR220414C00100000,2021-12-16 16:16:09+00:00,100.0,0.25,0.0,0.6,0.0,0.0,1.0,1,0.570316796875,False,REGULAR,USD,DAR
DAR220414C00105000,2021-11-10 11:51:42+00:00,105.0,1.31,0.05,0.5,0.0,0.0,1.0,1,0.6088906298828126,False,REGULAR,USD,DAR
