contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
FIS220218C00055000,2021-12-03 19:49:20+00:00,55.0,47.3,51.9,56.5,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,FIS
FIS220218C00070000,2021-11-10 11:57:17+00:00,70.0,47.4,32.7,36.6,0.0,0.0,,12,1.0000000000000003e-05,True,REGULAR,USD,FIS
FIS220218C00075000,2021-11-10 11:57:17+00:00,75.0,41.7,27.6,32.1,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD,FIS
FIS220218C00080000,2022-01-05 19:05:56+00:00,80.0,38.1,39.2,41.1,0.0,0.0,,2,0.79687703125,True,REGULAR,USD,FIS
FIS220218C00090000,2021-11-05 15:40:11+00:00,90.0,24.4,14.5,17.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,FIS
FIS220218C00095000,2021-12-06 15:04:48+00:00,95.0,13.3,22.8,23.6,0.0,0.0,2.0,8,1.0000000000000003e-05,True,REGULAR,USD,FIS
FIS220218C00100000,2022-01-21 18:50:32+00:00,100.0,14.0,20.0,20.9,0.0,0.0,1.0,27,0.5654340332031251,True,REGULAR,USD,FIS
FIS220218C00105000,2022-01-25 15:37:41+00:00,105.0,8.0,15.3,16.2,0.0,0.0,1.0,259,0.5205126074218749,True,REGULAR,USD,FIS
FIS220218C00110000,2022-02-02 17:15:54+00:00,110.0,10.7,10.9,11.6,-0.9499998,-8.154505,1.0,695,0.5210008837890624,True,REGULAR,USD,FIS
FIS220218C00115000,2022-02-02 19:18:26+00:00,115.0,7.55,7.2,7.6,-0.9499998,-11.176469,1.0,2418,0.4687553125,True,REGULAR,USD,FIS
FIS220218C00120000,2022-02-02 19:18:26+00:00,120.0,4.45,4.1,4.5,-0.75,-14.423077,41.0,5063,0.44336494140625,True,REGULAR,USD,FIS
FIS220218C00125000,2022-02-02 19:18:26+00:00,125.0,2.35,2.1,2.5,-0.60000014,-20.33899,37.0,11382,0.44287666503906253,False,REGULAR,USD,FIS
FIS220218C00130000,2022-02-02 17:24:35+00:00,130.0,1.02,1.0,1.2,-0.38,-27.142859,11.0,1407,0.4335994140625,False,REGULAR,USD,FIS
FIS220218C00135000,2022-02-02 16:22:39+00:00,135.0,0.5,0.45,0.6,-0.13999999,-21.874998,48.0,1602,0.446294599609375,False,REGULAR,USD,FIS
FIS220218C00140000,2022-01-28 20:36:48+00:00,140.0,0.25,0.2,0.35,0.0,0.0,86.0,1102,0.476567734375,False,REGULAR,USD,FIS
FIS220218C00145000,2022-02-01 16:58:03+00:00,145.0,0.21,0.0,0.75,0.0,0.0,22.0,51,0.5668988623046876,False,REGULAR,USD,FIS
FIS220218C00150000,2022-01-05 17:39:01+00:00,150.0,0.27,0.0,3.2,0.0,0.0,4.0,10,0.92187578125,False,REGULAR,USD,FIS
FIS220218C00160000,2021-10-26 15:58:34+00:00,160.0,0.95,0.0,0.85,0.0,0.0,,1,0.8051777294921875,False,REGULAR,USD,FIS
