contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
FOXA220715C00033000,2021-12-13 05:14:29+00:00,33.0,5.9,5.9,6.2,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,FOXA
FOXA220715C00034000,2021-12-13 05:14:29+00:00,34.0,5.0,5.2,5.5,0.0,0.0,27.0,27,1.0000000000000003e-05,True,REGULAR,USD,FOXA
FOXA220715C00035000,2021-12-21 16:37:18+00:00,35.0,4.9,4.6,4.9,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,FOXA
FOXA220715C00036000,2021-12-13 17:16:18+00:00,36.0,3.7,3.9,4.3,0.0,0.0,,26,1.0000000000000003e-05,True,REGULAR,USD,FOXA
FOXA220715C00039000,2021-11-26 15:21:19+00:00,39.0,3.28,2.35,2.95,0.0,0.0,20.0,20,1.0000000000000003e-05,True,REGULAR,USD,FOXA
FOXA220715C00040000,2021-11-22 17:24:35+00:00,40.0,3.3,1.9,2.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,FOXA
FOXA220715C00041000,2021-12-16 15:27:57+00:00,41.0,1.9,1.7,2.15,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,FOXA
FOXA220715C00043000,2021-12-29 17:29:42+00:00,43.0,1.3,1.25,1.6,0.0,0.0,,5,0.1245204736328125,True,REGULAR,USD,FOXA
FOXA220715C00045000,2021-12-31 17:29:32+00:00,45.0,1.0,0.8,1.15,0.0,0.0,5.0,5,0.16126327026367188,False,REGULAR,USD,FOXA
FOXA220715C00046000,2021-12-13 05:14:29+00:00,46.0,0.99,0.75,1.0,0.0,0.0,,1,0.17701018310546873,False,REGULAR,USD,FOXA
FOXA220715C00049000,2021-12-15 17:25:33+00:00,49.0,0.43,0.45,0.7,0.0,0.0,,2,0.21778125976562498,False,REGULAR,USD,FOXA
