contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
HLF220218C00032500,2022-01-21 14:38:47+00:00,32.5,12.1,9.2,11.9,0.0,0.0,1.0,1,2.5146521508789057,True,REGULAR,USD,HLF
HLF220218C00035000,2022-02-07 15:53:34+00:00,35.0,6.2,7.3,8.6,0.0,0.0,20.0,20,1.431643466796875,True,REGULAR,USD,HLF
HLF220218C00036000,2022-01-26 17:51:36+00:00,36.0,8.4,6.3,8.3,0.0,0.0,,1,0.9570316796874999,True,REGULAR,USD,HLF
HLF220218C00037500,2022-01-14 19:53:38+00:00,37.5,8.02,5.2,6.4,0.0,0.0,2.0,30,0.7851583984375,True,REGULAR,USD,HLF
HLF220218C00039000,2022-02-09 19:13:00+00:00,39.0,2.82,3.9,4.7,0.0,0.0,1.0,9,0.6113320117187502,True,REGULAR,USD,HLF
HLF220218C00040000,2022-02-07 16:15:46+00:00,40.0,2.05,2.95,3.6,0.0,0.0,22.0,50,0.7246121289062499,True,REGULAR,USD,HLF
HLF220218C00042000,2022-02-09 20:25:20+00:00,42.0,0.8,1.45,1.95,0.0,0.0,1.0,8,0.594730615234375,True,REGULAR,USD,HLF
HLF220218C00042500,2022-02-08 19:41:47+00:00,42.5,1.05,1.25,1.55,0.0,0.0,7.0,0,0.5468795312500001,True,REGULAR,USD,HLF
HLF220218C00043000,2022-02-11 20:59:03+00:00,43.0,1.06,0.95,1.2,0.109999955,11.578943,12.0,0,0.5097705273437501,True,REGULAR,USD,HLF
HLF220218C00044000,2022-02-11 18:37:47+00:00,44.0,0.35,0.5,0.75,0.14999999,74.99999,2.0,26,0.5048877636718749,False,REGULAR,USD,HLF
HLF220218C00045000,2022-02-09 20:54:41+00:00,45.0,0.1,0.2,0.45,0.0,0.0,30.0,258,0.507817421875,False,REGULAR,USD,HLF
HLF220218C00046000,2022-02-11 20:42:22+00:00,46.0,0.15,0.05,0.25,0.0,0.0,4.0,31,0.507817421875,False,REGULAR,USD,HLF
HLF220218C00047500,2022-01-31 19:39:45+00:00,47.5,0.24,0.0,0.2,0.0,0.0,2.0,3232,0.5195360546875,False,REGULAR,USD,HLF
HLF220218C00049000,2022-01-24 20:25:01+00:00,49.0,0.3,0.0,0.25,0.0,0.0,,18,0.6757844921875001,False,REGULAR,USD,HLF
HLF220218C00050000,2022-02-10 17:13:02+00:00,50.0,0.05,0.0,0.1,0.0,0.0,1.0,87,0.6289099609375001,False,REGULAR,USD,HLF
HLF220218C00052500,2022-02-07 18:24:49+00:00,52.5,0.1,0.0,0.5,0.0,0.0,6.0,23,1.0996138769531252,False,REGULAR,USD,HLF
HLF220218C00055000,2022-01-24 18:06:01+00:00,55.0,0.15,0.0,0.5,0.0,0.0,5.0,11,1.2851598242187499,False,REGULAR,USD,HLF
HLF220218C00057500,2022-01-12 17:51:57+00:00,57.5,0.05,0.0,0.5,0.0,0.0,11.0,11,1.4570339648437498,False,REGULAR,USD,HLF
HLF220218C00060000,2021-11-04 13:32:56+00:00,60.0,0.25,0.0,0.25,0.0,0.0,4.0,14,1.4140654296875002,False,REGULAR,USD,HLF
HLF220218C00062500,2021-11-10 11:57:45+00:00,62.5,1.21,0.05,0.2,0.0,0.0,2.0,2,1.5507834960937497,False,REGULAR,USD,HLF
HLF220218C00065000,2021-11-10 11:57:45+00:00,65.0,0.85,0.0,0.2,0.0,0.0,5.0,0,1.62109564453125,False,REGULAR,USD,HLF
HLF220218C00075000,2021-11-10 11:57:45+00:00,75.0,0.2,0.0,0.2,0.0,0.0,1.0,1,2.0625048437499998,False,REGULAR,USD,HLF
HLF220218C00080000,2021-11-10 11:57:45+00:00,80.0,0.17,0.05,0.2,0.0,0.0,2.0,0,2.3359416601562493,False,REGULAR,USD,HLF
