contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
HL220617C00001000,2021-12-20 14:51:00+00:00,1.0,3.9,4.55,4.6,0.0,0.0,3,36,2.3984415039062497,True,REGULAR,USD,HL
HL220617C00002000,2022-02-10 14:51:12+00:00,2.0,3.4,3.4,3.5,0.1500001,4.615388,1,63,0.992187578125,True,REGULAR,USD,HL
HL220617C00003000,2022-02-08 18:50:46+00:00,3.0,2.34,2.44,2.55,0.0,0.0,20,286,0.7617211328125001,True,REGULAR,USD,HL
HL220617C00004000,2022-02-08 20:52:45+00:00,4.0,1.5,1.57,1.78,0.0,0.0,4,512,0.70117486328125,True,REGULAR,USD,HL
HL220617C00005000,2022-02-10 16:22:18+00:00,5.0,0.94,0.92,0.98,0.06999999,8.045976,21,1378,0.5918009570312501,True,REGULAR,USD,HL
HL220617C00006000,2022-02-10 16:47:25+00:00,6.0,0.53,0.52,0.55,0.059999973,12.765951,16,4215,0.5918009570312501,False,REGULAR,USD,HL
HL220617C00007000,2022-02-10 16:36:17+00:00,7.0,0.31,0.3,0.32,0.03999999,14.814811,53,3493,0.6113320117187502,False,REGULAR,USD,HL
HL220617C00008000,2022-02-10 16:14:12+00:00,8.0,0.18,0.17,0.2,0.010000005,5.882356,1,2101,0.6289099609375001,False,REGULAR,USD,HL
HL220617C00009000,2022-02-10 16:35:42+00:00,9.0,0.13,0.11,0.13,0.03999999,44.44443,230,455,0.6562534375000001,False,REGULAR,USD,HL
HL220617C00010000,2022-02-07 19:48:24+00:00,10.0,0.07,0.07,0.1,0.0,0.0,50,2552,0.6875031250000001,False,REGULAR,USD,HL
