contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
LCID220211C00033000,2021-12-31 15:32:37+00:00,33.0,7.9,4.7,7.65,0.0,0.0,1,1,4.622074534912109,False,REGULAR,USD,LCID
LCID220211C00035000,2022-01-05 15:58:35+00:00,35.0,5.01,4.55,5.05,-1.4899998,-22.923073,2,1,4.127934527587891,False,REGULAR,USD,LCID
LCID220211C00036000,2022-01-05 20:44:56+00:00,36.0,4.2,4.05,4.6,-1.25,-22.935781,11,33,3.9912109594726566,False,REGULAR,USD,LCID
LCID220211C00037000,2022-01-05 20:44:15+00:00,37.0,3.8,3.6,4.0,-1.7900002,-32.02147,40,1,3.816406708984375,False,REGULAR,USD,LCID
LCID220211C00038000,2022-01-05 18:53:17+00:00,38.0,3.7,2.82,3.6,-0.79999995,-17.777777,14,18,3.589844775390625,False,REGULAR,USD,LCID
LCID220211C00039000,2022-01-05 20:44:15+00:00,39.0,3.01,2.78,3.25,-1.49,-33.11111,19,43,3.588868215332031,False,REGULAR,USD,LCID
LCID220211C00040000,2022-01-05 20:50:19+00:00,40.0,2.8,2.5,2.86,-1.1000001,-28.205132,91,167,3.49218876953125,False,REGULAR,USD,LCID
LCID220211C00041000,2022-01-05 19:47:11+00:00,41.0,2.15,1.94,2.91,-1.8,-45.56962,6,68,3.436524846191406,False,REGULAR,USD,LCID
LCID220211C00043000,2022-01-05 15:46:41+00:00,43.0,2.2,1.6,2.34,-0.3499999,-13.725487,1,142,3.330079799804687,False,REGULAR,USD,LCID
LCID220211C00044000,2022-01-05 17:30:51+00:00,44.0,1.9,1.4,1.96,-0.6,-24.0,12,176,3.216798833007812,False,REGULAR,USD,LCID
LCID220211C00045000,2022-01-05 19:06:50+00:00,45.0,1.09,1.18,1.78,-1.0099999,-48.095234,30,44,3.1542989892578124,False,REGULAR,USD,LCID
LCID220211C00050000,2022-01-05 17:07:15+00:00,50.0,0.92,0.59,1.11,-0.38999993,-29.770988,51,232,2.9902368994140627,False,REGULAR,USD,LCID
LCID220211C00055000,2022-01-05 18:26:00+00:00,55.0,0.47,0.29,0.7,-0.34,-41.97531,4,176,2.8906277734375,False,REGULAR,USD,LCID
