contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
LULU220318C00190000,2021-12-17 20:44:01+00:00,190.0,194.65,171.2,176.7,0.0,0.0,15.0,25,2.299015482940674,True,REGULAR,USD,LULU
LULU220318C00200000,2022-01-04 15:15:55+00:00,200.0,185.5,161.25,166.9,0.0,0.0,10.0,6,2.1577194494628906,True,REGULAR,USD,LULU
LULU220318C00220000,2021-11-10 11:51:38+00:00,220.0,199.0,182.35,190.3,0.0,0.0,,1,3.427308560638428,True,REGULAR,USD,LULU
LULU220318C00230000,2021-10-29 19:43:45+00:00,230.0,235.63,216.95,224.9,0.0,0.0,1.0,1,4.852909207305906,True,REGULAR,USD,LULU
LULU220318C00240000,2021-12-02 15:16:02+00:00,240.0,208.86,151.05,156.3,0.0,0.0,1.0,0,2.630862797851563,True,REGULAR,USD,LULU
LULU220318C00250000,2021-12-17 20:44:01+00:00,250.0,135.95,111.75,117.7,0.0,0.0,15.0,15,1.5382713516235351,True,REGULAR,USD,LULU
LULU220318C00260000,2021-11-16 16:03:55+00:00,260.0,219.63,136.4,142.35,0.0,0.0,1.0,0,2.490055044403076,True,REGULAR,USD,LULU
LULU220318C00280000,2022-01-05 19:54:44+00:00,280.0,89.69,82.65,87.95,-110.369995,-55.16845,2.0,3,1.215946303100586,True,REGULAR,USD,LULU
LULU220318C00290000,2021-11-10 11:51:38+00:00,290.0,132.7,118.3,125.05,0.0,0.0,20.0,4,2.3766520075988766,True,REGULAR,USD,LULU
LULU220318C00300000,2022-01-05 16:19:30+00:00,300.0,75.41,66.3,69.7,-6.3899994,-7.8117347,35.0,37,1.071049566650391,True,REGULAR,USD,LULU
LULU220318C00310000,2021-12-28 18:09:57+00:00,310.0,95.24,56.95,60.5,0.0,0.0,1.0,4,0.9786989434814455,True,REGULAR,USD,LULU
LULU220318C00320000,2021-12-27 16:59:51+00:00,320.0,84.98,47.5,53.8,0.0,0.0,1.0,27,0.9140023248291016,True,REGULAR,USD,LULU
LULU220318C00330000,2022-01-04 20:38:36+00:00,330.0,57.55,40.95,44.35,0.0,0.0,1.0,22,0.8458267370605468,True,REGULAR,USD,LULU
LULU220318C00340000,2022-01-05 16:46:52+00:00,340.0,40.8,33.85,36.75,-8.200001,-16.734695,4.0,15,0.7863180548095703,True,REGULAR,USD,LULU
LULU220318C00350000,2022-01-05 16:43:58+00:00,350.0,33.7,27.6,29.85,-4.299999,-11.315787,3.0,17,0.7361171408081054,False,REGULAR,USD,LULU
LULU220318C00360000,2022-01-05 20:51:48+00:00,360.0,24.0,21.25,24.5,-7.950001,-24.882631,12.0,103,0.6919891641235353,False,REGULAR,USD,LULU
LULU220318C00370000,2022-01-05 20:50:35+00:00,370.0,17.99,17.6,19.25,-11.710001,-39.427612,17.0,55,0.6683993121337892,False,REGULAR,USD,LULU
LULU220318C00380000,2022-01-05 20:31:04+00:00,380.0,14.5,13.05,14.25,-7.950001,-35.41203,121.0,142,0.6235999554443359,False,REGULAR,USD,LULU
LULU220318C00390000,2022-01-05 20:40:51+00:00,390.0,11.05,9.9,11.85,-6.5999994,-37.39377,6.0,424,0.6151771881103516,False,REGULAR,USD,LULU
LULU220318C00400000,2022-01-05 20:59:07+00:00,400.0,7.8,7.0,8.55,-5.7,-42.22222,45.0,352,0.5839885351562499,False,REGULAR,USD,LULU
LULU220318C00410000,2022-01-05 20:49:46+00:00,410.0,6.0,5.05,6.2,-4.5299997,-43.019943,31.0,345,0.5653119641113282,False,REGULAR,USD,LULU
LULU220318C00420000,2022-01-05 20:46:45+00:00,420.0,4.4,4.0,4.75,-3.4,-43.589745,133.0,390,0.565006791381836,False,REGULAR,USD,LULU
LULU220318C00430000,2022-01-05 20:46:45+00:00,430.0,3.25,2.9,5.1,-2.6,-44.444447,22.0,877,0.5921061297607424,False,REGULAR,USD,LULU
LULU220318C00440000,2022-01-05 20:38:27+00:00,440.0,2.4,2.09,2.72,-1.9000001,-44.186047,17.0,538,0.5542036767578126,False,REGULAR,USD,LULU
LULU220318C00450000,2022-01-05 20:26:41+00:00,450.0,2.01,0.98,2.17,-0.99,-33.0,22.0,397,0.5371140039062501,False,REGULAR,USD,LULU
LULU220318C00460000,2022-01-05 19:55:22+00:00,460.0,1.35,0.92,2.21,-0.9,-39.999996,24.0,196,0.5690961059570312,False,REGULAR,USD,LULU
LULU220318C00470000,2022-01-05 17:59:18+00:00,470.0,1.2,0.68,1.44,-0.8599999,-41.74757,5.0,322,0.5573774731445313,False,REGULAR,USD,LULU
LULU220318C00480000,2022-01-05 17:10:50+00:00,480.0,1.15,0.6,1.35,-0.49,-29.87805,9.0,281,0.5778850805664062,False,REGULAR,USD,LULU
LULU220318C00490000,2022-01-05 18:25:31+00:00,490.0,0.9,0.35,1.12,-0.70000005,-43.750004,5.0,116,0.5776409423828125,False,REGULAR,USD,LULU
LULU220318C00500000,2022-01-05 20:26:41+00:00,500.0,0.75,0.56,1.26,-0.35000002,-31.818184,4.0,991,0.6254920263671876,False,REGULAR,USD,LULU
LULU220318C00510000,2022-01-04 19:15:58+00:00,510.0,0.6,0.02,1.71,0.0,0.0,3.0,181,0.6459996337890624,False,REGULAR,USD,LULU
LULU220318C00520000,2022-01-05 20:55:10+00:00,520.0,0.65,0.15,0.76,-0.33000004,-33.673473,3.0,851,0.6088906298828126,False,REGULAR,USD,LULU
LULU220318C00540000,2021-12-30 20:26:06+00:00,540.0,0.49,0.02,0.64,0.0,0.0,1.0,168,0.6264685791015626,False,REGULAR,USD,LULU
LULU220318C00560000,2021-12-23 16:08:52+00:00,560.0,0.6,0.0,1.62,0.0,0.0,1.0,88,0.7580590600585939,False,REGULAR,USD,LULU
LULU220318C00580000,2022-01-04 19:16:40+00:00,580.0,0.2,0.0,1.1,0.0,0.0,1.0,37,0.7578149218750001,False,REGULAR,USD,LULU
LULU220318C00600000,2022-01-03 18:19:48+00:00,600.0,0.25,0.0,1.58,0.0,0.0,1.0,35,0.8403336279296875,False,REGULAR,USD,LULU
LULU220318C00620000,2021-12-08 14:54:11+00:00,620.0,2.0,0.0,1.58,0.0,0.0,1.0,29,0.8798840136718749,False,REGULAR,USD,LULU
LULU220318C00640000,2021-12-10 15:07:37+00:00,640.0,0.72,0.0,1.57,0.0,0.0,1.0,8,0.9174812939453125,False,REGULAR,USD,LULU
LULU220318C00660000,2022-01-03 20:35:20+00:00,660.0,0.07,0.0,1.58,0.0,0.0,2.0,10,0.9548344360351562,False,REGULAR,USD,LULU
LULU220318C00680000,2022-01-03 20:35:00+00:00,680.0,0.06,0.0,1.57,0.0,0.0,2.0,4,0.989257919921875,False,REGULAR,USD,LULU
LULU220318C00700000,2022-01-03 20:34:33+00:00,700.0,0.04,0.0,1.57,0.0,0.0,6.0,6,1.0229541040039063,False,REGULAR,USD,LULU
