contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
LUV220218C00022500,2021-12-21 17:51:08+00:00,22.5,18.6,21.35,21.65,0.0,0.0,2,20,2.3515666210937494,True,REGULAR,USD,LUV
LUV220218C00025000,2022-01-05 18:35:25+00:00,25.0,19.25,18.95,19.15,2.8999996,17.737,1,45,2.080082924804687,True,REGULAR,USD,LUV
LUV220218C00027500,2021-12-21 16:22:34+00:00,27.5,14.05,16.35,16.65,0.0,0.0,10,18,1.7451184619140623,True,REGULAR,USD,LUV
LUV220218C00030000,2022-01-03 17:55:35+00:00,30.0,14.1,14.0,14.2,0.0,0.0,1,68,1.5498069384765623,True,REGULAR,USD,LUV
LUV220218C00032500,2021-11-01 14:35:19+00:00,32.5,15.9,10.75,11.1,0.0,0.0,4,12,0.8964854101562498,True,REGULAR,USD,LUV
LUV220218C00035000,2022-01-05 20:24:46+00:00,35.0,9.05,9.15,9.3,-0.75,-7.6530614,10,232,1.109379453125,True,REGULAR,USD,LUV
LUV220218C00037500,2022-01-04 14:30:03+00:00,37.5,7.65,6.85,7.0,0.0,0.0,2,350,0.946289599609375,True,REGULAR,USD,LUV
LUV220218C00040000,2022-01-05 20:22:59+00:00,40.0,4.75,4.75,4.9,-0.4499998,-8.653843,52,1337,0.823243955078125,True,REGULAR,USD,LUV
LUV220218C00042500,2022-01-05 20:48:45+00:00,42.5,3.09,3.0,3.15,-0.31000018,-9.117653,108,6028,0.7421900781249999,True,REGULAR,USD,LUV
LUV220218C00045000,2022-01-05 20:41:06+00:00,45.0,1.75,1.75,1.81,-0.25,-12.5,248,5223,0.6948272705078126,False,REGULAR,USD,LUV
LUV220218C00047500,2022-01-05 20:54:07+00:00,47.5,0.95,0.92,0.99,-0.120000064,-11.214959,223,2623,0.6733431103515627,False,REGULAR,USD,LUV
LUV220218C00050000,2022-01-05 20:41:06+00:00,50.0,0.49,0.46,0.52,-0.060000002,-10.909091,338,6815,0.6689486230468751,False,REGULAR,USD,LUV
LUV220218C00052500,2022-01-05 20:06:11+00:00,52.5,0.26,0.24,0.27,-0.030000001,-10.344829,52,4689,0.6796907031250001,False,REGULAR,USD,LUV
LUV220218C00055000,2022-01-05 20:56:49+00:00,55.0,0.15,0.15,0.16,-0.019999996,-11.764703,91,4216,0.71679970703125,False,REGULAR,USD,LUV
LUV220218C00057500,2022-01-05 15:45:59+00:00,57.5,0.11,0.1,0.15,-0.019999996,-15.384613,2,21994,0.7851583984375,False,REGULAR,USD,LUV
LUV220218C00060000,2022-01-05 15:30:15+00:00,60.0,0.07,0.07,0.09,-0.009999998,-12.499998,3,1411,0.8125018749999999,False,REGULAR,USD,LUV
LUV220218C00062500,2022-01-05 17:38:35+00:00,62.5,0.07,0.01,0.16,0.0,0.0,1,278,0.9062509375,False,REGULAR,USD,LUV
LUV220218C00065000,2022-01-05 15:21:51+00:00,65.0,0.06,0.01,0.1,0.0,0.0,1,622,0.92187578125,False,REGULAR,USD,LUV
LUV220218C00070000,2022-01-03 15:59:22+00:00,70.0,0.05,0.01,0.19,0.0,0.0,2,173,1.15625421875,False,REGULAR,USD,LUV
LUV220218C00075000,2021-12-21 14:41:55+00:00,75.0,0.05,0.01,0.23,0.0,0.0,1,376,1.3281283593749997,False,REGULAR,USD,LUV
LUV220218C00080000,2021-12-29 14:41:40+00:00,80.0,0.05,0.01,0.14,0.0,0.0,2,368,1.359378203125,False,REGULAR,USD,LUV
