contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
MASS220520C00010000,2022-01-28 14:41:57+00:00,10.0,4.18,5.2,7.2,0.0,0.0,25.0,87,0.7753928710937501,True,REGULAR,USD,MASS
MASS220520C00017500,2022-01-28 14:32:43+00:00,17.5,1.06,0.5,3.8,0.0,0.0,10.0,10,0.8139667041015625,False,REGULAR,USD,MASS
MASS220520C00020000,2022-02-01 16:18:58+00:00,20.0,1.6,0.1,3.1,0.0,0.0,3.0,10,0.8554701953125,False,REGULAR,USD,MASS
MASS220520C00022500,2022-01-14 14:30:03+00:00,22.5,1.9,0.0,2.5,0.0,0.0,1.0,5,0.9003916210937499,False,REGULAR,USD,MASS
MASS220520C00025000,2022-01-27 17:51:10+00:00,25.0,0.55,0.0,2.3,0.0,0.0,13.0,20,0.9916993017578125,False,REGULAR,USD,MASS
MASS220520C00030000,2022-01-14 19:50:56+00:00,30.0,0.8,0.0,1.95,0.0,0.0,1.0,8,1.1240278173828124,False,REGULAR,USD,MASS
MASS220520C00035000,2022-01-18 14:30:00+00:00,35.0,0.25,0.0,1.75,0.0,0.0,,1,1.2343788281249999,False,REGULAR,USD,MASS
MASS220520C00040000,2021-12-01 15:32:12+00:00,40.0,1.22,0.0,0.0,0.0,0.0,2.0,13,0.500005,False,REGULAR,USD,MASS
MASS220520C00045000,2021-11-12 16:52:08+00:00,45.0,1.8,0.0,2.05,0.0,0.0,3.0,3,1.526857834472656,False,REGULAR,USD,MASS
MASS220520C00050000,2021-11-10 11:55:28+00:00,50.0,2.7,0.0,2.1,0.0,0.0,,1,1.6289081054687498,False,REGULAR,USD,MASS
