contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
MOS220218C00028000,2022-02-01 17:17:01+00:00,28.0,15.16,18.8,19.1,0.0,0.0,3.0,3,2.00781748046875,True,REGULAR,USD,MOS
MOS220218C00029000,2021-12-27 05:00:55+00:00,29.0,10.63,10.55,13.75,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,MOS
MOS220218C00030000,2022-01-19 19:33:20+00:00,30.0,12.0,16.8,17.05,0.0,0.0,3.0,9,1.7382825585937498,True,REGULAR,USD,MOS
MOS220218C00031000,2022-02-07 19:46:24+00:00,31.0,13.8,15.8,16.15,0.0,0.0,17.0,19,1.703126484375,True,REGULAR,USD,MOS
MOS220218C00032000,2022-01-24 20:57:14+00:00,32.0,7.5,14.8,15.05,0.0,0.0,1.0,14,1.5234398828124998,True,REGULAR,USD,MOS
MOS220218C00033000,2022-02-07 18:51:02+00:00,33.0,11.15,13.8,14.05,0.0,0.0,5.0,3,1.421877890625,True,REGULAR,USD,MOS
MOS220218C00034000,2022-02-07 14:58:45+00:00,34.0,9.5,12.85,13.05,0.0,0.0,1.0,26,1.3515657421874998,True,REGULAR,USD,MOS
MOS220218C00035000,2022-02-10 16:42:57+00:00,35.0,12.45,11.8,12.1,2.0,19.138756,6.0,87,1.2519568652343749,True,REGULAR,USD,MOS
MOS220218C00036000,2022-02-10 15:06:34+00:00,36.0,10.87,10.85,11.1,2.7699995,34.19752,5.0,153,1.1796916015624999,True,REGULAR,USD,MOS
MOS220218C00037000,2022-02-10 15:06:09+00:00,37.0,10.0,9.85,10.15,2.1,26.582275,11.0,837,1.1054732226562503,True,REGULAR,USD,MOS
MOS220218C00038000,2022-02-09 15:32:11+00:00,38.0,8.44,8.85,9.2,0.9399996,12.533327,1.0,788,1.0293017285156252,True,REGULAR,USD,MOS
MOS220218C00039000,2022-02-10 17:06:31+00:00,39.0,8.1,7.9,8.15,1.9500003,31.707321,8.0,358,0.929688203125,True,REGULAR,USD,MOS
MOS220218C00040000,2022-02-10 17:01:08+00:00,40.0,7.48,6.95,7.15,2.4499998,48.70775,20.0,1576,0.84961087890625,True,REGULAR,USD,MOS
MOS220218C00041000,2022-02-10 16:45:19+00:00,41.0,6.5,6.0,6.25,2.4499998,60.49382,33.0,1056,0.79883013671875,True,REGULAR,USD,MOS
MOS220218C00041500,2022-02-09 14:30:01+00:00,41.5,4.24,5.45,5.65,0.0,0.0,4.0,35,0.700198310546875,True,REGULAR,USD,MOS
MOS220218C00042000,2022-02-10 17:32:12+00:00,42.0,5.06,4.95,5.25,1.8999999,60.126575,50.0,1721,0.6806672558593752,True,REGULAR,USD,MOS
MOS220218C00043000,2022-02-10 17:33:59+00:00,43.0,4.17,4.1,4.3,1.5,56.179775,146.0,3038,0.629886513671875,True,REGULAR,USD,MOS
MOS220218C00044000,2022-02-10 17:33:47+00:00,44.0,3.33,3.25,3.5,1.5799999,90.28571,214.0,1785,0.596683720703125,True,REGULAR,USD,MOS
MOS220218C00045000,2022-02-10 17:31:09+00:00,45.0,2.6,2.47,2.62,1.4099998,118.48737,1894.0,4445,0.5390671093750001,True,REGULAR,USD,MOS
MOS220218C00046000,2022-02-10 17:09:40+00:00,46.0,1.9,1.8,1.96,1.0999999,137.49998,435.0,2327,0.5180712255859375,True,REGULAR,USD,MOS
MOS220218C00047000,2022-02-10 17:33:47+00:00,47.0,1.32,1.27,1.35,0.82000005,164.00002,482.0,928,0.5097705273437501,False,REGULAR,USD,MOS
MOS220218C00048000,2022-02-10 17:12:13+00:00,48.0,0.92,0.87,0.94,0.57000005,162.85718,357.0,2945,0.5063525927734375,False,REGULAR,USD,MOS
MOS220218C00049000,2022-02-10 17:23:40+00:00,49.0,0.61,0.57,0.65,0.29000002,90.62501,145.0,204,0.5117236328125,False,REGULAR,USD,MOS
MOS220218C00050000,2022-02-10 17:35:47+00:00,50.0,0.4,0.36,0.45,0.27,207.6923,726.0,1223,0.5009815527343751,False,REGULAR,USD,MOS
MOS220218C00055000,2022-02-10 15:00:11+00:00,55.0,0.07,0.01,0.14,0.0,0.0,4.0,5,0.5937540625000001,False,REGULAR,USD,MOS
MOS220218C00060000,2022-02-01 20:14:14+00:00,60.0,0.05,0.0,0.15,0.0,0.0,,2,0.8359391406249999,False,REGULAR,USD,MOS
