contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
MRNA220520C00185000,2021-12-29 17:14:21+00:00,185.0,73.4,47.1,51.3,0.0,0.0,,1,1.5195946871948238,False,REGULAR,USD,MRNA
MRNA220520C00200000,2022-01-05 18:14:39+00:00,200.0,45.5,38.3,44.05,-6.7400017,-12.901993,2.0,2,1.4158354403686526,False,REGULAR,USD,MRNA
MRNA220520C00230000,2022-01-05 20:43:10+00:00,230.0,29.0,25.55,29.15,-6.799999,-18.994411,24.0,15,1.2385291979980466,False,REGULAR,USD,MRNA
MRNA220520C00240000,2022-01-05 14:55:35+00:00,240.0,32.06,21.75,25.95,0.26000214,0.8176168,1.0,16,1.198398783416748,False,REGULAR,USD,MRNA
MRNA220520C00250000,2022-01-05 20:26:03+00:00,250.0,21.4,18.6,25.1,-6.970001,-24.568209,24.0,57,1.1945841052246093,False,REGULAR,USD,MRNA
MRNA220520C00260000,2022-01-05 20:00:11+00:00,260.0,19.5,15.75,21.8,-5.0,-20.408163,15.0,67,1.1546673126220701,False,REGULAR,USD,MRNA
MRNA220520C00270000,2022-01-05 20:34:15+00:00,270.0,17.14,14.05,18.15,-6.76,-28.28452,7.0,69,1.1199384823608396,False,REGULAR,USD,MRNA
MRNA220520C00280000,2022-01-05 20:36:40+00:00,280.0,15.07,11.7,16.35,-5.9300003,-28.238096,4.0,17,1.0972945526123048,False,REGULAR,USD,MRNA
MRNA220520C00290000,2022-01-05 16:46:37+00:00,290.0,15.9,9.8,15.65,-0.80000114,-4.790426,12.0,113,1.0943648797607424,False,REGULAR,USD,MRNA
MRNA220520C00300000,2022-01-05 19:48:04+00:00,300.0,11.95,9.7,13.4,-2.3000002,-16.140352,3.0,41,1.0915572766113284,False,REGULAR,USD,MRNA
MRNA220520C00310000,2022-01-05 19:45:23+00:00,310.0,10.2,7.2,14.0,-3.1500006,-23.595509,7.0,20,1.092900043334961,False,REGULAR,USD,MRNA
MRNA220520C00320000,2022-01-05 16:13:29+00:00,320.0,11.05,5.65,12.2,-0.6300001,-5.3938365,3.0,11,1.0638474542236331,False,REGULAR,USD,MRNA
MRNA220520C00330000,2021-12-30 17:56:44+00:00,330.0,16.8,4.9,8.8,0.0,0.0,,21,1.0107471337890623,False,REGULAR,USD,MRNA
MRNA220520C00340000,2022-01-05 16:40:37+00:00,340.0,8.53,4.85,8.9,-1.8699999,-17.98077,2.0,21,1.0402269668579107,False,REGULAR,USD,MRNA
MRNA220520C00350000,2022-01-04 14:47:31+00:00,350.0,8.73,4.2,7.4,0.0,0.0,4.0,14,1.0190478735351562,False,REGULAR,USD,MRNA
MRNA220520C00360000,2022-01-05 18:15:58+00:00,360.0,6.22,3.75,6.85,-0.9000001,-12.6404505,1.0,27,1.0206347796630861,False,REGULAR,USD,MRNA
MRNA220520C00370000,2021-12-31 16:31:21+00:00,370.0,11.7,3.0,6.85,0.0,0.0,26.0,12,1.026249985961914,False,REGULAR,USD,MRNA
MRNA220520C00380000,2022-01-05 15:09:42+00:00,380.0,5.71,3.45,4.9,0.11000013,1.9642882,4.0,7,1.0090381579589844,False,REGULAR,USD,MRNA
