contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
PDCE221216C00024500,2021-12-20 05:11:21+00:00,24.5,22.7,27.9,32.0,0.0,0.0,,7.0,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00025000,2021-12-15 17:47:00+00:00,25.0,22.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00029500,2021-12-20 05:11:21+00:00,29.5,20.2,25.2,28.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00030000,2021-12-02 14:57:36+00:00,30.0,20.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00039500,2021-12-20 05:11:21+00:00,39.5,21.19,18.2,20.6,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00040000,2021-11-17 17:25:35+00:00,40.0,21.19,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00044500,2021-12-30 20:22:19+00:00,44.5,13.2,15.3,17.8,0.0,0.0,2.0,3.0,0.32971861694335935,True,REGULAR,USD,PDCE
PDCE221216C00045000,2021-11-22 20:56:08+00:00,45.0,15.41,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00049500,2022-01-03 18:58:07+00:00,49.5,12.25,12.7,14.8,0.0,0.0,1.0,6.0,0.37756970092773434,True,REGULAR,USD,PDCE
PDCE221216C00050000,2021-11-19 18:55:28+00:00,50.0,12.8,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00054500,2021-12-20 05:11:21+00:00,54.5,10.5,10.6,13.5,0.0,0.0,,2.0,0.4647270324707031,True,REGULAR,USD,PDCE
PDCE221216C00055000,2021-11-10 11:59:20+00:00,55.0,10.5,9.1,12.4,0.0,0.0,,2.0,0.42340664489746094,True,REGULAR,USD,PDCE
PDCE221216C00059500,2022-01-04 19:32:16+00:00,59.5,10.72,8.8,10.3,0.0,0.0,4.0,1.0,0.4274959594726563,True,REGULAR,USD,PDCE
PDCE221216C00060000,2021-11-24 17:44:26+00:00,60.0,10.96,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,PDCE
PDCE221216C00064500,2022-01-03 17:58:00+00:00,64.5,6.79,7.3,9.0,0.0,0.0,3.0,6.0,0.459966337890625,False,REGULAR,USD,PDCE
PDCE221216C00065000,2021-10-25 15:36:32+00:00,65.0,8.7,8.1,9.3,0.0,0.0,,3.0,0.48126739440917965,False,REGULAR,USD,PDCE
PDCE221216C00074500,2021-12-20 15:38:06+00:00,74.5,3.6,5.1,6.5,0.0,0.0,15.0,15.0,0.4845022253417969,False,REGULAR,USD,PDCE
PDCE221216C00075000,2021-10-20 14:22:30+00:00,75.0,5.0,5.3,6.1,0.0,0.0,,15.0,0.4720511779785156,False,REGULAR,USD,PDCE
