contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
ROP220819C00270000,2022-01-25 14:45:49+00:00,270.0,158.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,ROP
ROP220819C00280000,2022-01-19 14:41:49+00:00,280.0,174.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,ROP
ROP220819C00400000,2022-01-25 14:33:38+00:00,400.0,52.8,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,ROP
ROP220819C00440000,2022-01-25 16:17:26+00:00,440.0,28.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,ROP
ROP220819C00450000,2022-01-31 19:47:41+00:00,450.0,27.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,ROP
ROP220819C00460000,2022-01-27 15:47:47+00:00,460.0,21.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,ROP
ROP220819C00470000,2022-01-28 16:48:07+00:00,470.0,15.94,0.0,0.0,0.0,0.0,1.0,0,0.007822421875,False,REGULAR,USD,ROP
ROP220819C00480000,2022-01-28 16:48:07+00:00,480.0,12.96,0.0,0.0,0.0,0.0,1.0,0,0.015634843750000002,False,REGULAR,USD,ROP
ROP220819C00490000,2022-01-26 16:57:48+00:00,490.0,13.0,0.0,0.0,0.0,0.0,,0,0.015634843750000002,False,REGULAR,USD,ROP
ROP220819C00500000,2022-01-26 15:44:17+00:00,500.0,10.7,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD,ROP
ROP220819C00510000,2022-01-28 20:47:55+00:00,510.0,8.9,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD,ROP
ROP220819C00520000,2022-01-28 18:40:08+00:00,520.0,6.89,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD,ROP
ROP220819C00550000,2022-01-11 15:45:05+00:00,550.0,6.0,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,ROP
ROP220819C00570000,2022-01-07 15:31:48+00:00,570.0,6.0,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,ROP
ROP220819C00580000,2022-01-14 15:25:39+00:00,580.0,2.3,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,ROP
ROP220819C00590000,2022-01-07 15:32:12+00:00,590.0,3.6,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,ROP
ROP220819C00640000,2022-01-24 14:34:25+00:00,640.0,0.55,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,ROP
