contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
SBNY220819C00145000,2021-10-25 19:58:42+00:00,145.0,168.39,180.5,184.8,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,SBNY
SBNY220819C00150000,2022-02-02 14:34:13+00:00,150.0,167.3,186.6,190.6,0.0,0.0,5.0,0,0.6684603466796877,True,REGULAR,USD,SBNY
SBNY220819C00165000,2022-01-19 14:30:58+00:00,165.0,198.0,172.5,176.9,0.0,0.0,,0,0.6568637829589845,True,REGULAR,USD,SBNY
SBNY220819C00190000,2021-10-19 14:18:29+00:00,190.0,111.5,142.5,146.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,SBNY
SBNY220819C00200000,2021-11-10 11:52:53+00:00,200.0,77.6,110.4,113.2,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,SBNY
SBNY220819C00220000,2021-10-29 16:08:45+00:00,220.0,90.8,112.6,115.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,SBNY
SBNY220819C00230000,2022-01-10 15:15:20+00:00,230.0,136.0,116.7,120.0,0.0,0.0,1.0,0,0.5912516461181643,True,REGULAR,USD,SBNY
SBNY220819C00250000,2021-11-10 11:52:53+00:00,250.0,39.7,70.8,73.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,SBNY
SBNY220819C00260000,2021-11-03 16:02:54+00:00,260.0,77.5,67.7,70.8,0.0,0.0,10.0,16,1.0000000000000003e-05,True,REGULAR,USD,SBNY
SBNY220819C00300000,2022-02-11 20:26:20+00:00,300.0,60.0,60.1,63.0,27.39,83.99264,3.0,7,0.46568832656860354,True,REGULAR,USD,SBNY
SBNY220819C00310000,2022-01-18 17:45:44+00:00,310.0,62.5,53.4,57.1,0.0,0.0,4.0,11,0.4612785806274414,True,REGULAR,USD,SBNY
SBNY220819C00320000,2022-01-27 16:46:16+00:00,320.0,31.0,48.0,51.4,0.0,0.0,15.0,100,0.45514460876464846,True,REGULAR,USD,SBNY
SBNY220819C00330000,2022-01-28 19:35:16+00:00,330.0,21.0,42.2,45.4,0.0,0.0,5.0,16,0.44214425048828127,True,REGULAR,USD,SBNY
SBNY220819C00340000,2022-01-24 18:57:35+00:00,340.0,28.0,37.4,40.3,0.0,0.0,20.0,12,0.435125277709961,False,REGULAR,USD,SBNY
SBNY220819C00350000,2022-01-26 17:11:10+00:00,350.0,26.8,33.8,36.6,0.0,0.0,1.0,14,0.4390009713745118,False,REGULAR,USD,SBNY
SBNY220819C00360000,2022-01-11 16:33:12+00:00,360.0,21.0,31.2,34.5,0.0,0.0,1.0,7,0.4558312474060059,False,REGULAR,USD,SBNY
SBNY220819C00370000,2022-02-03 17:26:56+00:00,370.0,17.2,26.0,28.4,0.0,0.0,1.0,113,0.4276027699279786,False,REGULAR,USD,SBNY
SBNY220819C00380000,2022-02-08 15:09:30+00:00,380.0,21.0,22.2,25.4,0.0,0.0,10.0,102,0.4283199258422852,False,REGULAR,USD,SBNY
SBNY220819C00390000,2022-01-12 20:33:30+00:00,390.0,32.7,19.5,22.5,0.0,0.0,1.0,23,0.42694664855957043,False,REGULAR,USD,SBNY
SBNY220819C00400000,2022-02-10 19:13:03+00:00,400.0,20.3,17.3,19.6,0.0,0.0,50.0,63,0.4223995748901367,False,REGULAR,USD,SBNY
SBNY220819C00410000,2022-01-18 16:33:44+00:00,410.0,21.0,14.9,17.4,0.0,0.0,,1,0.4227657821655273,False,REGULAR,USD,SBNY
SBNY220819C00430000,2022-01-19 19:45:51+00:00,430.0,16.3,11.5,13.8,0.0,0.0,3.0,6,0.42520716400146485,False,REGULAR,USD,SBNY
SBNY220819C00440000,2022-01-18 17:12:55+00:00,440.0,14.21,10.1,12.2,0.0,0.0,2.0,1,0.4252681985473633,False,REGULAR,USD,SBNY
SBNY220819C00450000,2021-11-08 17:00:53+00:00,450.0,8.8,6.1,7.9,0.0,0.0,,1,0.38220832641601554,False,REGULAR,USD,SBNY
SBNY220819C00470000,2021-12-01 15:50:06+00:00,470.0,6.9,6.0,6.9,0.0,0.0,,1,0.40064075927734377,False,REGULAR,USD,SBNY
