contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
SBUX220414C00055000,2021-11-29 19:11:53+00:00,55.0,56.45,61.2,61.4,0.0,0.0,1,3,2.944094436645508,True,REGULAR,USD,SBUX
SBUX220414C00065000,2021-12-28 14:46:41+00:00,65.0,49.65,44.85,46.5,0.0,0.0,1,5,1.9034428656005862,True,REGULAR,USD,SBUX
SBUX220414C00070000,2021-11-05 16:50:52+00:00,70.0,45.6,41.6,42.4,0.0,0.0,1,1,1.8115243798828122,True,REGULAR,USD,SBUX
SBUX220414C00075000,2022-01-04 14:35:52+00:00,75.0,41.7,35.45,35.95,0.0,0.0,1,0,1.5195336523437497,True,REGULAR,USD,SBUX
SBUX220414C00080000,2021-12-17 16:19:03+00:00,80.0,30.33,30.5,31.05,0.0,0.0,1,26,1.3487581390380858,True,REGULAR,USD,SBUX
SBUX220414C00085000,2022-01-03 17:32:09+00:00,85.0,31.0,25.55,26.2,0.0,0.0,5,21,1.1865275048828123,True,REGULAR,USD,SBUX
SBUX220414C00090000,2022-01-03 15:54:38+00:00,90.0,27.0,20.95,21.5,0.0,0.0,2,48,1.0439500927734378,True,REGULAR,USD,SBUX
SBUX220414C00095000,2022-01-05 18:45:55+00:00,95.0,18.7,16.55,16.9,-1.8999996,-9.223299,7,80,0.9096688720703124,True,REGULAR,USD,SBUX
SBUX220414C00100000,2022-01-05 20:55:02+00:00,100.0,12.75,12.35,12.7,-3.12,-19.659735,6,289,0.7874777111816407,False,REGULAR,USD,SBUX
SBUX220414C00105000,2022-01-05 15:50:43+00:00,105.0,10.15,8.8,8.95,-2.5900002,-20.329672,33,417,0.6849396740722657,False,REGULAR,USD,SBUX
SBUX220414C00110000,2022-01-05 20:55:03+00:00,110.0,5.95,5.8,5.9,-3.0,-33.519554,95,1210,0.5991251025390626,False,REGULAR,USD,SBUX
SBUX220414C00115000,2022-01-05 20:47:33+00:00,115.0,3.65,3.5,3.6,-1.5499997,-29.807686,357,1351,0.5299119274902344,False,REGULAR,USD,SBUX
SBUX220414C00120000,2022-01-05 20:51:50+00:00,120.0,2.05,1.99,2.07,-1.05,-33.870968,86,1722,0.4845022253417969,False,REGULAR,USD,SBUX
SBUX220414C00125000,2022-01-05 20:59:16+00:00,125.0,1.15,1.11,1.18,-0.5500001,-32.352943,21,878,0.4555718505859375,False,REGULAR,USD,SBUX
SBUX220414C00130000,2022-01-05 20:58:03+00:00,130.0,0.65,0.62,0.69,-0.29000002,-30.851067,51,1227,0.4409235595703125,False,REGULAR,USD,SBUX
SBUX220414C00135000,2022-01-05 20:59:16+00:00,135.0,0.38,0.33,0.43,-0.17000002,-30.909094,8,409,0.437505625,False,REGULAR,USD,SBUX
SBUX220414C00140000,2022-01-04 20:33:13+00:00,140.0,0.31,0.19,0.3,0.0,0.0,1,298,0.44434149414062496,False,REGULAR,USD,SBUX
SBUX220414C00145000,2022-01-03 19:33:41+00:00,145.0,0.2,0.1,0.23,0.0,0.0,2,298,0.4580132324218751,False,REGULAR,USD,SBUX
SBUX220414C00150000,2021-12-20 17:18:53+00:00,150.0,0.15,0.07,0.19,0.0,0.0,10,106,0.47510290527343746,False,REGULAR,USD,SBUX
SBUX220414C00155000,2021-12-21 17:51:54+00:00,155.0,0.11,0.06,0.13,0.0,0.0,1,27,0.477544287109375,False,REGULAR,USD,SBUX
SBUX220414C00160000,2022-01-03 17:11:32+00:00,160.0,0.1,0.04,0.15,0.0,0.0,2,247,0.514653291015625,False,REGULAR,USD,SBUX
SBUX220414C00165000,2021-12-31 16:55:54+00:00,165.0,0.1,0.02,0.17,0.0,0.0,100,155,0.5097705273437501,False,REGULAR,USD,SBUX
SBUX220414C00170000,2021-12-31 16:22:03+00:00,170.0,0.09,0.02,0.17,0.0,0.0,100,130,0.53320779296875,False,REGULAR,USD,SBUX
SBUX220414C00175000,2022-01-05 18:50:18+00:00,175.0,0.06,0.01,0.07,0.009999998,19.999996,30,310,0.5039112109375,False,REGULAR,USD,SBUX
