contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
SKYT220414C00002500,2022-02-08 16:42:24+00:00,2.5,7.3,6.6,8.9,0.0,0.0,2.0,12,4.667972915039062,True,REGULAR,USD,SKYT
SKYT220414C00010000,2022-02-02 17:36:24+00:00,10.0,1.4,1.35,2.95,0.0,0.0,5.0,5,1.1669963525390625,True,REGULAR,USD,SKYT
SKYT220414C00012500,2022-02-10 15:05:00+00:00,12.5,0.75,0.55,1.25,0.0,0.0,10.0,51,0.9345709667968749,False,REGULAR,USD,SKYT
SKYT220414C00015000,2022-02-10 17:17:37+00:00,15.0,0.3,0.3,0.9,-0.049999982,-14.285709,1.0,41,1.0478563232421876,False,REGULAR,USD,SKYT
SKYT220414C00017500,2022-02-01 19:42:46+00:00,17.5,0.25,0.0,0.5,0.0,0.0,10.0,32,0.9687503125,False,REGULAR,USD,SKYT
SKYT220414C00020000,2022-01-11 18:05:51+00:00,20.0,0.9,0.0,0.4,0.0,0.0,1.0,372,1.0703171484375003,False,REGULAR,USD,SKYT
SKYT220414C00022500,2022-01-24 18:03:00+00:00,22.5,0.2,0.05,0.6,0.0,0.0,12.0,94,1.3476595117187498,False,REGULAR,USD,SKYT
SKYT220414C00025000,2022-01-14 18:55:16+00:00,25.0,0.25,0.05,0.55,0.0,0.0,2.0,85,1.439455927734375,False,REGULAR,USD,SKYT
SKYT220414C00030000,2022-01-05 20:41:23+00:00,30.0,0.25,0.05,0.5,0.0,0.0,1.0,170,1.60547072265625,False,REGULAR,USD,SKYT
SKYT220414C00035000,2022-01-10 19:23:34+00:00,35.0,0.2,0.0,0.75,0.0,0.0,30.0,250,1.8828130859374999,False,REGULAR,USD,SKYT
SKYT220414C00040000,2022-01-04 15:24:54+00:00,40.0,0.15,0.0,0.35,0.0,0.0,20.0,162,1.7382825585937498,False,REGULAR,USD,SKYT
SKYT220414C00045000,2021-11-05 15:02:41+00:00,45.0,1.4,0.15,0.85,0.0,0.0,33.0,33,2.269535576171875,False,REGULAR,USD,SKYT
SKYT220414C00050000,2022-01-10 05:06:49+00:00,50.0,0.05,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,SKYT
