contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
SONO220304C00023000,2022-01-25 15:21:20+00:00,23.0,2.0,3.6,3.9,0.0,0.0,,1,0.8095722167968749,True,REGULAR,USD,SONO
SONO220304C00025000,2022-01-24 14:30:30+00:00,25.0,1.26,2.35,2.92,0.0,0.0,1.0,1,0.8125018749999999,True,REGULAR,USD,SONO
SONO220304C00026000,2022-02-02 15:15:39+00:00,26.0,2.1,1.78,2.41,1.06,101.92307,5.0,8,0.7841818457031251,False,REGULAR,USD,SONO
SONO220304C00027000,2022-01-31 16:00:36+00:00,27.0,1.1,1.47,1.99,0.0,0.0,3.0,5,0.7939473730468749,False,REGULAR,USD,SONO
SONO220304C00028000,2022-02-01 15:24:33+00:00,28.0,1.2,1.14,1.6,0.0,0.0,1.0,92,0.7841818457031251,False,REGULAR,USD,SONO
SONO220304C00029000,2022-02-01 18:40:58+00:00,29.0,1.09,0.57,2.46,0.0,0.0,86.0,88,0.93945373046875,False,REGULAR,USD,SONO
SONO220304C00030000,2022-02-02 16:02:58+00:00,30.0,0.82,0.65,0.99,0.01999998,2.4999976,10.0,31,0.764650791015625,False,REGULAR,USD,SONO
SONO220304C00031000,2022-01-26 14:41:18+00:00,31.0,0.4,0.38,0.75,0.0,0.0,,2,0.729494892578125,False,REGULAR,USD,SONO
SONO220304C00033000,2022-01-24 16:47:11+00:00,33.0,0.16,0.22,1.77,0.0,0.0,1.0,0,1.0664109179687502,False,REGULAR,USD,SONO
SONO220304C00035000,2022-02-01 17:05:43+00:00,35.0,0.21,0.16,0.67,0.0,0.0,30.0,26,0.9003916210937499,False,REGULAR,USD,SONO
