contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
STEM220211C00009000,2022-02-09 15:35:41+00:00,9.0,3.0,2.95,3.2,0.0,0.0,1.0,1,2.56250359375,True,REGULAR,USD,STEM
STEM220211C00009500,2022-02-10 16:39:22+00:00,9.5,2.9,2.45,2.7,0.0,0.0,1.0,1,2.156254609375,True,REGULAR,USD,STEM
STEM220211C00010000,2022-02-07 14:54:25+00:00,10.0,2.0,1.95,2.15,0.0,0.0,2.0,3,1.5468772656249998,True,REGULAR,USD,STEM
STEM220211C00011000,2022-02-10 14:33:03+00:00,11.0,1.45,1.0,1.2,-0.049999952,-3.3333302,2.0,32,1.1640666796875,True,REGULAR,USD,STEM
STEM220211C00012000,2022-02-10 18:34:38+00:00,12.0,0.27,0.2,0.35,-0.30999997,-53.448273,132.0,359,0.7421900781249999,True,REGULAR,USD,STEM
STEM220211C00012500,2022-02-10 18:54:48+00:00,12.5,0.08,0.05,0.15,-0.22000001,-73.333336,10.0,275,0.7617211328125001,False,REGULAR,USD,STEM
STEM220211C00013000,2022-02-10 18:11:16+00:00,13.0,0.01,0.0,0.1,-0.09,-90.0,12.0,160,0.9062509375,False,REGULAR,USD,STEM
STEM220211C00013500,2022-02-08 17:59:55+00:00,13.5,0.05,0.0,0.1,0.0,0.0,1.0,67,1.1953165234375,False,REGULAR,USD,STEM
STEM220211C00014000,2022-02-10 18:54:12+00:00,14.0,0.07,0.0,0.05,0.02,39.999996,6.0,110,1.2500037499999999,False,REGULAR,USD,STEM
STEM220211C00014500,2022-02-02 14:30:07+00:00,14.5,0.25,0.0,0.4,0.0,0.0,10.0,14,2.50781623046875,False,REGULAR,USD,STEM
STEM220211C00015000,2022-02-04 15:51:57+00:00,15.0,0.05,0.0,0.05,0.0,0.0,3.0,16,1.6875015625,False,REGULAR,USD,STEM
STEM220211C00015500,2022-01-20 19:40:03+00:00,15.5,0.42,0.0,0.75,0.0,0.0,20.0,32,3.7812505468750004,False,REGULAR,USD,STEM
STEM220211C00016000,2022-01-26 19:04:48+00:00,16.0,0.1,0.0,0.75,0.0,0.0,18.0,25,4.0468799414062495,False,REGULAR,USD,STEM
STEM220211C00016500,2022-01-20 20:45:25+00:00,16.5,0.17,0.0,0.75,0.0,0.0,1.0,13,4.304692119140624,False,REGULAR,USD,STEM
STEM220211C00017000,2022-01-20 15:00:08+00:00,17.0,0.2,0.0,0.75,0.0,0.0,1.0,41,4.546879316406249,False,REGULAR,USD,STEM
STEM220211C00017500,2022-01-31 16:47:42+00:00,17.5,0.05,0.0,0.75,0.0,0.0,40.0,66,4.773441533203124,False,REGULAR,USD,STEM
STEM220211C00018000,2022-01-19 19:34:16+00:00,18.0,0.35,0.0,0.05,0.0,0.0,1.0,46,2.718753203125,False,REGULAR,USD,STEM
STEM220211C00018500,2022-01-27 20:33:59+00:00,18.5,0.05,0.0,0.75,0.0,0.0,4.0,27,5.20312849609375,False,REGULAR,USD,STEM
STEM220211C00019000,2022-01-24 14:48:07+00:00,19.0,0.14,0.0,0.45,0.0,0.0,2.0,19,4.679691650390625,False,REGULAR,USD,STEM
STEM220211C00019500,2022-01-21 16:14:04+00:00,19.5,0.1,0.0,0.25,0.0,0.0,5.0,20,4.2187547265625,False,REGULAR,USD,STEM
STEM220211C00020000,2022-01-19 20:58:39+00:00,20.0,0.1,0.0,0.75,0.0,0.0,10.0,35,5.7812527734375,False,REGULAR,USD,STEM
STEM220211C00020500,2022-01-14 16:54:19+00:00,20.5,0.12,0.0,0.75,0.0,0.0,1.0,65,5.960940048828125,False,REGULAR,USD,STEM
STEM220211C00021000,2022-01-14 16:20:30+00:00,21.0,0.1,0.0,0.75,0.0,0.0,5.0,55,6.132814833984375,False,REGULAR,USD,STEM
STEM220211C00021500,2022-01-14 20:56:20+00:00,21.5,0.13,0.0,0.05,0.0,0.0,15.0,11,3.6875007812500002,False,REGULAR,USD,STEM
STEM220211C00023000,2022-01-04 15:30:03+00:00,23.0,0.45,0.0,0.2,0.0,0.0,,8,5.0312537109374995,False,REGULAR,USD,STEM
STEM220211C00023500,2022-01-11 16:04:26+00:00,23.5,0.11,0.0,0.75,0.0,0.0,6.0,0,6.9140638574218745,False,REGULAR,USD,STEM
STEM220211C00024000,2021-12-31 16:44:41+00:00,24.0,0.49,0.0,0.5,0.0,0.0,3.0,7,6.37500203125,False,REGULAR,USD,STEM
STEM220211C00024500,2022-01-05 15:39:16+00:00,24.5,0.25,0.0,0.05,0.0,0.0,,3,4.312504609374999,False,REGULAR,USD,STEM
