contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
UA240119C00002500,2021-11-19 19:18:46+00:00,2.5,20.6,13.0,17.5,0.0,0.0,1,1,1.6582048339843751,True,REGULAR,USD,UA
UA240119C00007500,2021-11-01 18:43:09+00:00,7.5,12.73,10.7,15.3,0.0,0.0,2,2,1.3808624707031247,True,REGULAR,USD,UA
UA240119C00010000,2021-11-01 19:47:00+00:00,10.0,10.63,9.0,13.2,0.0,0.0,20,29,1.1167036352539061,True,REGULAR,USD,UA
UA240119C00012500,2022-01-05 16:11:19+00:00,12.5,7.9,6.6,7.6,-0.009999752,-0.12641913,1438,7,0.6132851171875001,True,REGULAR,USD,UA
UA240119C00015000,2021-12-27 17:55:34+00:00,15.0,6.24,5.3,7.1,0.0,0.0,10,33,0.63086306640625,True,REGULAR,USD,UA
UA240119C00017500,2021-12-30 16:02:50+00:00,17.5,4.8,4.3,5.1,0.0,0.0,1,59,0.5556685058593751,False,REGULAR,USD,UA
UA240119C00020000,2021-12-16 19:11:59+00:00,20.0,4.7,2.1,4.6,0.0,0.0,2,0,0.6250037500000001,False,REGULAR,USD,UA
UA240119C00022500,2021-12-23 15:15:48+00:00,22.5,2.7,2.7,3.3,0.0,0.0,7,19,0.5155077746582031,False,REGULAR,USD,UA
UA240119C00025000,2022-01-04 16:01:18+00:00,25.0,2.5,2.0,2.7,0.0,0.0,1,54,0.5361374511718751,False,REGULAR,USD,UA
UA240119C00027500,2022-01-03 20:27:16+00:00,27.5,1.55,0.05,2.3,0.0,0.0,30,87,0.5366257275390626,False,REGULAR,USD,UA
UA240119C00030000,2021-12-20 17:17:43+00:00,30.0,1.95,0.5,1.95,0.0,0.0,1,4,0.5349167602539062,False,REGULAR,USD,UA
UA240119C00035000,2021-12-27 15:17:18+00:00,35.0,1.25,0.2,1.6,0.0,0.0,3,5,0.5554243676757813,False,REGULAR,USD,UA
