contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
UPST221216C00040000,2022-01-26 20:31:35+00:00,40.0,63.58,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00050000,2022-02-01 20:09:35+00:00,50.0,75.0,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00055000,2022-01-31 20:31:47+00:00,55.0,62.65,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00060000,2022-01-24 18:43:17+00:00,60.0,43.3,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00065000,2022-01-28 20:03:21+00:00,65.0,45.35,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00070000,2022-02-01 20:51:20+00:00,70.0,61.45,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00075000,2022-02-01 16:07:37+00:00,75.0,56.45,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00080000,2022-01-28 19:46:38+00:00,80.0,36.58,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00085000,2022-01-31 20:31:47+00:00,85.0,46.35,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00090000,2022-01-31 20:43:11+00:00,90.0,43.83,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00095000,2022-02-02 17:38:41+00:00,95.0,39.1,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00100000,2022-02-02 17:56:46+00:00,100.0,38.77,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00105000,2022-02-02 19:36:11+00:00,105.0,36.1,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,UPST
UPST221216C00110000,2022-02-02 19:16:28+00:00,110.0,33.5,0.0,0.0,0.0,0.0,19.0,0,0.007822421875,False,REGULAR,USD,UPST
UPST221216C00115000,2022-02-01 20:31:30+00:00,115.0,40.85,0.0,0.0,0.0,0.0,1.0,0,0.015634843750000002,False,REGULAR,USD,UPST
UPST221216C00120000,2022-02-02 17:12:18+00:00,120.0,31.5,0.0,0.0,0.0,0.0,2.0,0,0.0312596875,False,REGULAR,USD,UPST
