contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
VIAC220318C00015000,2022-02-10 14:48:53+00:00,15.0,21.35,20.95,21.1,0.0,0.0,3,115,1.203128984375,True,REGULAR,USD,VIAC
VIAC220318C00017500,2022-02-10 19:19:54+00:00,17.5,18.2,18.45,18.6,0.0,0.0,7,26,1.0078174609375,True,REGULAR,USD,VIAC
VIAC220318C00020000,2022-02-11 19:56:00+00:00,20.0,15.95,16.0,16.15,-0.09999943,-0.6230494,13,469,0.9804689453125001,True,REGULAR,USD,VIAC
VIAC220318C00022500,2022-02-11 20:47:55+00:00,22.5,13.4,13.5,13.65,-0.10000038,-0.7407436,30,1096,0.804689453125,True,REGULAR,USD,VIAC
VIAC220318C00025000,2022-02-11 19:53:16+00:00,25.0,10.95,11.0,11.2,-0.05000019,-0.4545472,11,2274,0.6816438085937502,True,REGULAR,USD,VIAC
VIAC220318C00027500,2022-02-11 19:01:09+00:00,27.5,8.65,8.65,8.8,0.19999981,2.3668618,21,2462,0.632816171875,True,REGULAR,USD,VIAC
VIAC220318C00030000,2022-02-11 20:56:23+00:00,30.0,6.45,6.4,6.55,0.099999905,1.5748017,121,6739,0.58789474609375,True,REGULAR,USD,VIAC
VIAC220318C00032500,2022-02-11 20:50:24+00:00,32.5,4.4,4.35,4.5,0.25,6.024096,515,6369,0.5419967675781252,True,REGULAR,USD,VIAC
VIAC220318C00035000,2022-02-11 20:58:43+00:00,35.0,2.8,2.73,2.83,0.19000006,7.2796965,869,18648,0.5200243310546875,True,REGULAR,USD,VIAC
VIAC220318C00037500,2022-02-11 20:59:27+00:00,37.5,1.62,1.56,1.64,0.120000005,8.000001,1455,12448,0.5083056982421875,False,REGULAR,USD,VIAC
VIAC220318C00040000,2022-02-11 20:58:29+00:00,40.0,0.89,0.84,0.89,0.099999964,12.658223,976,14217,0.506840869140625,False,REGULAR,USD,VIAC
VIAC220318C00042500,2022-02-11 20:58:52+00:00,42.5,0.45,0.43,0.48,0.030000001,7.1428576,317,6473,0.5136767382812499,False,REGULAR,USD,VIAC
VIAC220318C00045000,2022-02-11 20:59:52+00:00,45.0,0.26,0.24,0.26,0.03999999,18.181814,434,10158,0.5302781347656251,False,REGULAR,USD,VIAC
VIAC220318C00047500,2022-02-11 19:18:56+00:00,47.5,0.14,0.14,0.15,0.010000005,7.6923122,50,3248,0.55273884765625,False,REGULAR,USD,VIAC
VIAC220318C00050000,2022-02-11 20:07:59+00:00,50.0,0.09,0.09,0.1,-0.009999998,-9.999998,40,5917,0.5820354296875,False,REGULAR,USD,VIAC
VIAC220318C00055000,2022-02-11 19:04:48+00:00,55.0,0.04,0.04,0.05,-0.010000002,-20.000004,63,1591,0.6367223828125,False,REGULAR,USD,VIAC
VIAC220318C00060000,2022-02-11 20:01:09+00:00,60.0,0.02,0.01,0.04,-0.01,-33.333336,23,4007,0.6914093359375001,False,REGULAR,USD,VIAC
