contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
WB230120C00017500,2021-12-17 20:42:18+00:00,17.5,13.9,15.7,17.1,0.0,0.0,1,11,0.85742330078125,True,REGULAR,USD,WB
WB230120C00020000,2021-11-23 14:47:24+00:00,20.0,24.0,10.6,13.8,0.0,0.0,1,0,0.7048369360351563,True,REGULAR,USD,WB
WB230120C00022500,2021-12-20 20:16:52+00:00,22.5,11.12,10.2,13.2,0.0,0.0,1,2,0.6313513427734375,True,REGULAR,USD,WB
WB230120C00025000,2022-01-04 15:35:26+00:00,25.0,9.7,9.5,11.5,0.0,0.0,2,17,0.6513706738281251,True,REGULAR,USD,WB
WB230120C00030000,2022-01-05 16:05:16+00:00,30.0,8.05,6.6,8.6,0.8500004,11.805561,2,30,0.5964395825195312,True,REGULAR,USD,WB
WB230120C00035000,2021-12-29 17:24:17+00:00,35.0,4.18,4.9,6.4,0.0,0.0,9,18,0.5847209497070311,False,REGULAR,USD,WB
WB230120C00040000,2022-01-05 14:44:15+00:00,40.0,4.1,3.5,4.8,1.0899999,36.212624,1,25,0.5734905932617188,False,REGULAR,USD,WB
WB230120C00050000,2021-12-30 18:31:32+00:00,50.0,2.15,2.0,2.85,0.0,0.0,3,12,0.5786174951171875,False,REGULAR,USD,WB
WB230120C00055000,2022-01-05 14:45:39+00:00,55.0,1.75,1.5,2.1,0.5,40.0,7,267,0.5727581787109376,False,REGULAR,USD,WB
WB230120C00060000,2021-12-27 20:43:33+00:00,60.0,1.07,0.0,2.95,0.0,0.0,1,234,0.5847209497070311,False,REGULAR,USD,WB
WB230120C00065000,2021-12-27 20:46:51+00:00,65.0,0.9,0.1,2.15,0.0,0.0,1,37,0.5820354296875,False,REGULAR,USD,WB
WB230120C00070000,2021-12-28 17:11:09+00:00,70.0,0.79,0.65,1.15,0.0,0.0,1,84,0.585941640625,False,REGULAR,USD,WB
WB230120C00075000,2021-12-22 18:42:43+00:00,75.0,0.9,0.5,1.65,0.0,0.0,1,55,0.64648791015625,False,REGULAR,USD,WB
WB230120C00080000,2021-12-29 16:36:43+00:00,80.0,0.5,0.4,0.7,0.0,0.0,2,123,0.5839885351562499,False,REGULAR,USD,WB
WB230120C00085000,2021-12-29 17:17:38+00:00,85.0,0.4,0.3,0.6,0.0,0.0,1,70,0.58789474609375,False,REGULAR,USD,WB
WB230120C00090000,2021-12-22 20:23:24+00:00,90.0,0.45,0.3,0.6,0.0,0.0,1,411,0.6118202880859377,False,REGULAR,USD,WB
