contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
APPF220414P00060000,2021-11-10 11:54:52+00:00,60.0,0.65,0.0,4.8,0.0,0.0,1.0,1,1.2312050158691408,False,REGULAR,USD,APPF
APPF220414P00065000,2021-11-16 14:30:15+00:00,65.0,0.6,0.0,4.8,0.0,0.0,1.0,2,1.1086470349121096,False,REGULAR,USD,APPF
APPF220414P00070000,2021-11-16 14:30:15+00:00,70.0,0.75,0.0,4.8,0.0,0.0,1.0,2,0.9948730981445313,False,REGULAR,USD,APPF
APPF220414P00075000,2021-10-20 13:30:13+00:00,75.0,1.0,0.0,1.05,0.0,0.0,1.0,1,0.6049844189453126,False,REGULAR,USD,APPF
APPF220414P00080000,2021-11-10 14:30:14+00:00,80.0,1.0,0.0,4.8,0.0,0.0,,1,0.7875997802734375,False,REGULAR,USD,APPF
APPF220414P00090000,2021-12-13 14:53:09+00:00,90.0,3.0,0.2,5.0,0.0,0.0,,1,0.6174354663085939,False,REGULAR,USD,APPF
APPF220414P00095000,2021-12-27 20:10:34+00:00,95.0,2.45,1.35,3.0,0.0,0.0,,2,0.5574995422363282,False,REGULAR,USD,APPF
APPF220414P00100000,2021-11-30 14:30:15+00:00,100.0,4.46,0.0,0.0,0.0,0.0,,1,0.062509375,False,REGULAR,USD,APPF
APPF220414P00105000,2021-11-30 14:30:15+00:00,105.0,5.71,0.0,0.0,0.0,0.0,1.0,1,0.062509375,False,REGULAR,USD,APPF
APPF220414P00120000,2021-11-10 11:54:52+00:00,120.0,10.2,9.7,12.5,0.0,0.0,,1,0.5042774182128906,True,REGULAR,USD,APPF
APPF220414P00125000,2022-01-03 16:32:19+00:00,125.0,12.1,12.3,14.0,0.0,0.0,2.0,0,0.418951123046875,True,REGULAR,USD,APPF
APPF220414P00130000,2021-12-03 20:34:29+00:00,130.0,20.6,13.9,17.3,0.0,0.0,1.0,3,0.4007628283691406,True,REGULAR,USD,APPF
APPF220414P00135000,2021-11-10 11:54:52+00:00,135.0,22.77,18.2,20.8,0.0,0.0,1.0,3,0.36780417358398443,True,REGULAR,USD,APPF
APPF220414P00140000,2021-11-10 11:54:52+00:00,140.0,27.1,21.7,24.0,0.0,0.0,,11,0.22168747070312497,True,REGULAR,USD,APPF
APPF220414P00165000,2021-11-10 11:54:52+00:00,165.0,47.51,41.0,45.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,APPF
APPF220414P00175000,2021-11-10 11:54:52+00:00,175.0,52.5,51.0,55.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,APPF
APPF220414P00185000,2021-11-23 14:57:31+00:00,185.0,60.42,55.1,60.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,APPF
