contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
AR220318P00012000,2022-01-27 16:21:39+00:00,12.0,0.15,0.0,0.15,0.0,0.0,2,6,0.9101571484375,False,REGULAR,USD,AR
AR220318P00013000,2022-02-03 20:57:40+00:00,13.0,0.15,0.1,0.15,0.050000004,50.000008,55,446,0.8828136718749999,False,REGULAR,USD,AR
AR220318P00014000,2022-02-02 17:56:18+00:00,14.0,0.2,0.15,0.25,0.0,0.0,1,182,0.85742330078125,False,REGULAR,USD,AR
AR220318P00015000,2022-02-01 15:14:59+00:00,15.0,0.42,0.25,0.3,0.0,0.0,24,157,0.80664255859375,False,REGULAR,USD,AR
AR220318P00016000,2022-02-03 14:53:35+00:00,16.0,0.45,0.4,0.45,0.099999994,28.571426,5,666,0.79101771484375,False,REGULAR,USD,AR
AR220318P00017000,2022-02-02 17:56:18+00:00,17.0,0.56,0.6,0.7,0.0,0.0,46,422,0.78711150390625,False,REGULAR,USD,AR
AR220318P00018000,2022-02-01 20:39:08+00:00,18.0,1.06,0.85,0.95,0.0,0.0,25,199,0.764650791015625,False,REGULAR,USD,AR
AR220318P00019000,2022-02-02 15:51:24+00:00,19.0,1.25,1.15,1.25,0.0,0.0,2,415,0.73633076171875,False,REGULAR,USD,AR
AR220318P00020000,2022-02-03 20:58:29+00:00,20.0,1.6,1.6,1.7,0.39,32.231403,32,116,0.7392604199218749,False,REGULAR,USD,AR
AR220318P00021000,2022-02-03 15:58:22+00:00,21.0,1.85,2.05,2.2,0.23000002,14.197532,2,54,0.7236355761718749,True,REGULAR,USD,AR
AR220318P00022000,2022-02-03 20:47:31+00:00,22.0,2.7,2.65,2.75,0.58000016,27.3585,60,200,0.71679970703125,True,REGULAR,USD,AR
