contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
BHC220414P00014000,2022-01-20 18:59:19+00:00,14.0,0.13,0.0,0.44,0.0,0.0,10.0,1261,0.96289099609375,False,REGULAR,USD,BHC
BHC220414P00015000,2022-02-07 19:53:12+00:00,15.0,0.22,0.01,0.58,0.0,0.0,5.0,7,0.93164130859375,False,REGULAR,USD,BHC
BHC220414P00016000,2022-01-18 20:25:08+00:00,16.0,0.31,0.19,0.54,0.0,0.0,,296,0.88476677734375,False,REGULAR,USD,BHC
BHC220414P00017000,2022-02-10 18:44:04+00:00,17.0,0.23,0.19,0.57,0.0,0.0,,1,0.8007832421875,False,REGULAR,USD,BHC
BHC220414P00018000,2022-02-10 14:47:51+00:00,18.0,0.31,0.37,0.78,0.0,0.0,50.0,417,0.8105487695312499,False,REGULAR,USD,BHC
BHC220414P00019000,2022-02-09 16:29:18+00:00,19.0,0.39,0.51,0.72,0.0,0.0,3.0,331,0.7334011035156249,False,REGULAR,USD,BHC
BHC220414P00020000,2022-02-10 14:42:54+00:00,20.0,0.55,0.6,0.74,0.0,0.0,157.0,2614,0.6616244775390626,False,REGULAR,USD,BHC
BHC220414P00021000,2022-02-09 17:06:04+00:00,21.0,0.6,0.76,0.91,0.0,0.0,3.0,2870,0.6264685791015626,False,REGULAR,USD,BHC
BHC220414P00022000,2022-02-11 16:18:46+00:00,22.0,0.92,0.94,1.14,0.030000031,3.3707902,100.0,2063,0.5927775097656252,False,REGULAR,USD,BHC
BHC220414P00023000,2022-02-10 15:39:51+00:00,23.0,1.1,1.2,1.4,-0.049999952,-4.347822,1.0,666,0.5629926513671876,False,REGULAR,USD,BHC
BHC220414P00024000,2022-02-11 16:17:40+00:00,24.0,1.4,1.53,1.76,0.06999993,5.2631526,133.0,6039,0.5410202148437502,False,REGULAR,USD,BHC
BHC220414P00025000,2022-02-11 20:59:10+00:00,25.0,2.05,1.99,2.15,0.26,14.525139,31.0,6712,0.5229539892578124,False,REGULAR,USD,BHC
BHC220414P00026000,2022-02-11 15:35:44+00:00,26.0,2.12,2.51,2.66,-0.18000007,-7.82609,10.0,1904,0.5097705273437501,True,REGULAR,USD,BHC
BHC220414P00027000,2022-02-10 15:48:16+00:00,27.0,2.55,3.15,3.65,0.0,0.0,77.0,294,0.5537154003906251,True,REGULAR,USD,BHC
BHC220414P00028000,2022-02-07 18:54:09+00:00,28.0,4.4,3.85,4.4,0.0,0.0,5.0,76,0.561527822265625,True,REGULAR,USD,BHC
BHC220414P00029000,2022-02-09 17:37:15+00:00,29.0,3.9,4.55,5.45,0.0,0.0,1.0,14,0.596683720703125,True,REGULAR,USD,BHC
BHC220414P00030000,2022-02-09 19:04:18+00:00,30.0,4.58,5.35,6.7,0.0,0.0,10.0,302,0.6660189648437502,True,REGULAR,USD,BHC
BHC220414P00031000,2022-01-20 16:07:09+00:00,31.0,6.15,6.2,7.2,0.0,0.0,25.0,48,0.6279334082031252,True,REGULAR,USD,BHC
BHC220414P00032000,2021-11-19 15:39:37+00:00,32.0,6.9,7.15,8.9,0.0,0.0,1.0,8,0.778322529296875,True,REGULAR,USD,BHC
BHC220414P00033000,2022-01-04 16:12:15+00:00,33.0,6.3,7.6,9.5,0.0,0.0,18.0,22,0.6772493212890626,True,REGULAR,USD,BHC
BHC220414P00034000,2021-12-29 16:18:11+00:00,34.0,6.7,10.75,11.45,0.0,0.0,,1,1.1772502075195312,True,REGULAR,USD,BHC
BHC220414P00035000,2022-01-05 17:36:56+00:00,35.0,7.75,10.35,11.3,0.0,0.0,20.0,89,0.8588881298828125,True,REGULAR,USD,BHC
BHC220414P00036000,2021-11-04 13:35:21+00:00,36.0,9.1,12.3,12.85,0.0,0.0,6.0,17,1.12891060546875,True,REGULAR,USD,BHC
BHC220414P00037000,2021-11-10 11:59:40+00:00,37.0,9.0,12.35,14.25,0.0,0.0,,145,1.091801416015625,True,REGULAR,USD,BHC
BHC220414P00038000,2021-11-10 11:59:40+00:00,38.0,9.95,11.95,15.4,0.0,0.0,1.0,1,0.9257819921875,True,REGULAR,USD,BHC
