contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
BKKT220218P00002500,2022-01-05 20:46:37+00:00,2.5,0.01,0.01,0.02,-0.09,-90.0,26,477,1.3750031249999999,False,REGULAR,USD,BKKT
BKKT220218P00004000,2022-01-05 20:55:26+00:00,4.0,0.2,0.18,0.2,0.049999997,33.333332,5,4,0.7578149218750001,False,REGULAR,USD,BKKT
BKKT220218P00005000,2022-01-05 20:56:19+00:00,5.0,0.5,0.47,0.52,0.3,150.0,53,79,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00006000,2022-01-05 20:46:37+00:00,6.0,1.01,0.94,1.15,0.52,106.122444,388,475,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00007500,2022-01-05 20:49:27+00:00,7.5,2.08,2.05,2.11,0.78,60.000004,195,2125,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00009000,2022-01-05 20:44:51+00:00,9.0,3.3,3.15,3.45,1.0699999,47.98206,2424,4970,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00010000,2022-01-05 20:08:15+00:00,10.0,4.15,4.05,4.35,1.0500002,33.870975,72,777,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00011000,2022-01-05 19:47:30+00:00,11.0,4.94,5.0,5.3,0.95000005,23.809525,2,178,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00012500,2022-01-05 16:41:22+00:00,12.5,5.7,6.4,6.7,0.35999966,6.741566,8,276,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00014000,2022-01-04 15:32:29+00:00,14.0,6.6,7.85,8.15,0.0,0.0,11,158,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00015000,2022-01-05 19:53:18+00:00,15.0,8.9,8.8,9.1,1.1399994,14.690714,358,1429,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00016000,2022-01-05 20:08:42+00:00,16.0,9.95,9.8,10.1,1.25,14.367816,573,1844,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00017500,2022-01-05 19:47:43+00:00,17.5,11.3,11.35,11.6,1.1500006,11.330055,150,2310,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00019000,2021-12-31 20:49:30+00:00,19.0,10.8,12.85,13.05,0.0,0.0,10,18,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00020000,2022-01-05 19:56:44+00:00,20.0,13.82,13.85,14.05,2.1999998,18.932873,2,1680,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00021000,2021-12-31 19:54:40+00:00,21.0,12.7,14.85,15.05,0.0,0.0,9,58,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00022500,2022-01-05 18:45:33+00:00,22.5,15.79,16.2,16.55,0.7399998,4.916942,1,4281,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00024000,2021-12-22 20:10:37+00:00,24.0,14.9,17.8,18.05,0.0,0.0,34,48,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00025000,2022-01-05 19:50:20+00:00,25.0,18.7,18.75,19.1,1.2800007,7.3478794,4,3305,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00030000,2022-01-04 20:54:53+00:00,30.0,22.47,23.8,24.2,0.0,0.0,3,59,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00035000,2021-12-31 16:42:02+00:00,35.0,26.48,28.7,29.25,0.0,0.0,1,64,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00040000,2021-12-28 16:09:06+00:00,40.0,31.2,33.8,34.2,0.0,0.0,6,119,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00045000,2021-12-23 19:40:53+00:00,45.0,34.7,38.2,39.15,0.0,0.0,4,158,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00050000,2021-12-06 15:44:30+00:00,50.0,39.7,42.6,43.25,0.0,0.0,10,65,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00055000,2021-11-26 14:37:21+00:00,55.0,41.3,44.5,45.7,0.0,0.0,1,2,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00060000,2022-01-04 16:43:27+00:00,60.0,52.4,53.75,54.2,0.0,0.0,5,17,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00065000,2021-11-10 18:41:03+00:00,65.0,50.5,51.3,52.6,0.0,0.0,5,89,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00070000,2021-11-05 14:39:49+00:00,70.0,52.1,56.8,60.6,0.0,0.0,12,6,1.0000000000000003e-05,True,REGULAR,USD,BKKT
BKKT220218P00075000,2021-12-20 18:16:12+00:00,75.0,66.85,68.15,69.5,0.0,0.0,1,7,1.0000000000000003e-05,True,REGULAR,USD,BKKT
