contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
BLNK220304P00014000,2022-01-25 16:12:11+00:00,14.0,1.4,0.29,0.76,0.0,0.0,,2,1.228519482421875,False,REGULAR,USD,BLNK
BLNK220304P00017000,2022-02-02 18:14:43+00:00,17.0,0.74,1.11,1.7,0.0,0.0,3.0,6,1.1904337353515624,False,REGULAR,USD,BLNK
BLNK220304P00018000,2022-02-02 15:48:58+00:00,18.0,1.2,1.43,2.12,0.0,0.0,1.0,7,1.1533245458984376,False,REGULAR,USD,BLNK
BLNK220304P00019000,2022-02-03 20:47:45+00:00,19.0,2.15,1.74,2.38,0.35000014,19.444452,4.0,14,1.0498094384765626,False,REGULAR,USD,BLNK
BLNK220304P00020000,2022-02-03 16:21:23+00:00,20.0,2.37,2.27,3.2,0.44999993,23.437496,1.0,11,1.1005904345703126,True,REGULAR,USD,BLNK
BLNK220304P00021000,2022-01-31 14:57:27+00:00,21.0,3.0,2.74,3.9,0.0,0.0,1.0,10,1.0800827246093752,True,REGULAR,USD,BLNK
BLNK220304P00022000,2022-02-03 16:24:28+00:00,22.0,3.56,3.65,4.9,0.3599999,11.249997,6.0,21,1.2060586572265624,True,REGULAR,USD,BLNK
BLNK220304P00023000,2022-02-01 18:12:35+00:00,23.0,3.88,4.4,5.85,0.0,0.0,2.0,26,1.2656286718749998,True,REGULAR,USD,BLNK
BLNK220304P00024000,2022-01-31 14:53:18+00:00,24.0,5.96,5.2,7.05,0.0,0.0,3.0,5,1.3828155859374998,True,REGULAR,USD,BLNK
BLNK220304P00025000,2022-02-01 16:23:26+00:00,25.0,5.4,6.1,7.65,0.0,0.0,10.0,14,1.3642609912109376,True,REGULAR,USD,BLNK
BLNK220304P00026000,2022-01-18 18:21:01+00:00,26.0,3.35,6.85,8.85,0.0,0.0,28.0,29,1.4482449462890625,True,REGULAR,USD,BLNK
BLNK220304P00028000,2022-01-27 15:47:19+00:00,28.0,9.39,8.5,10.8,0.0,0.0,,1,1.5126977490234375,True,REGULAR,USD,BLNK
BLNK220304P00029000,2022-01-31 14:42:03+00:00,29.0,10.67,9.8,11.5,0.0,0.0,2.0,6,1.5898458007812497,True,REGULAR,USD,BLNK
BLNK220304P00031000,2022-02-01 18:01:52+00:00,31.0,10.87,11.5,14.2,0.0,0.0,1.0,3,1.8486335693359375,True,REGULAR,USD,BLNK
BLNK220304P00032000,2022-01-19 19:30:03+00:00,32.0,9.4,12.45,15.2,0.0,0.0,6.0,6,1.9013676806640625,True,REGULAR,USD,BLNK
BLNK220304P00035000,2022-01-18 14:34:47+00:00,35.0,14.58,15.2,18.2,0.0,0.0,3.0,0,2.010747160644531,True,REGULAR,USD,BLNK
