contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
CL240119P00037500,2021-12-16 16:36:33+00:00,37.5,0.5,0.0,0.0,0.0,0.0,4.0,7,0.12500875,False,REGULAR,USD,CL
CL240119P00040000,2021-11-10 11:46:42+00:00,40.0,0.85,0.3,1.0,0.0,0.0,,1,0.3557193334960937,False,REGULAR,USD,CL
CL240119P00045000,2021-11-22 20:58:35+00:00,45.0,1.0,0.2,1.2,0.0,0.0,1.0,2,0.3193427441406249,False,REGULAR,USD,CL
CL240119P00047500,2021-12-13 16:03:58+00:00,47.5,1.75,0.15,1.75,0.0,0.0,,28,0.3288641333007812,False,REGULAR,USD,CL
CL240119P00050000,2021-12-21 14:30:02+00:00,50.0,1.3,1.0,1.65,0.0,0.0,3.0,6,0.2981027221679687,False,REGULAR,USD,CL
CL240119P00055000,2021-11-30 20:30:38+00:00,55.0,2.16,1.35,2.15,0.0,0.0,1.0,9,0.27466545654296876,False,REGULAR,USD,CL
CL240119P00060000,2021-11-03 15:41:14+00:00,60.0,3.3,1.9,5.8,0.0,0.0,1.0,7,0.35443760803222646,False,REGULAR,USD,CL
CL240119P00065000,2021-12-23 14:30:05+00:00,65.0,3.6,1.3,3.5,0.0,0.0,2.0,20,0.22895058166503907,False,REGULAR,USD,CL
CL240119P00067500,2021-12-30 15:17:47+00:00,67.5,4.0,2.45,4.0,0.0,0.0,1.0,0,0.21955126159667968,False,REGULAR,USD,CL
CL240119P00072500,2021-12-27 16:30:56+00:00,72.5,5.4,3.4,5.3,0.0,0.0,20.0,21,0.20374331420898437,False,REGULAR,USD,CL
CL240119P00075000,2022-01-04 16:23:33+00:00,75.0,5.9,4.9,7.8,0.0,0.0,1.0,2,0.23749541809082028,False,REGULAR,USD,CL
CL240119P00077500,2021-12-31 16:19:29+00:00,77.5,7.06,5.6,8.4,0.0,0.0,2.0,2,0.222114712524414,False,REGULAR,USD,CL
CL240119P00080000,2021-12-31 16:19:29+00:00,80.0,8.05,7.0,8.4,0.0,0.0,2.0,2,0.19159743957519532,False,REGULAR,USD,CL
CL240119P00085000,2021-12-17 20:50:19+00:00,85.0,11.5,9.0,11.2,0.0,0.0,2.0,5,0.18781329772949218,True,REGULAR,USD,CL
CL240119P00090000,2021-12-21 20:14:25+00:00,90.0,14.5,11.7,14.6,0.0,0.0,,5,0.18805743591308594,True,REGULAR,USD,CL
