contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
COIN220311P00115000,2022-01-28 15:18:48+00:00,115.0,3.75,1.7,2.1,0.0,0.0,1,1,1.0637253845214847,False,REGULAR,USD,COIN
COIN220311P00120000,2022-02-01 20:20:16+00:00,120.0,1.4,2.1,2.55,0.0,0.0,1,1,1.037358328857422,False,REGULAR,USD,COIN
COIN220311P00135000,2022-02-03 17:18:51+00:00,135.0,3.5,3.9,4.4,0.45000005,14.7541,3,4,0.9670413452148439,False,REGULAR,USD,COIN
COIN220311P00150000,2022-02-03 18:09:18+00:00,150.0,6.0,6.6,7.5,1.8000002,42.85715,8,9,0.9056405920410155,False,REGULAR,USD,COIN
COIN220311P00155000,2022-02-03 20:31:25+00:00,155.0,8.2,7.9,8.8,2.0,32.258068,17,13,0.8886729882812499,False,REGULAR,USD,COIN
COIN220311P00160000,2022-02-03 20:08:24+00:00,160.0,9.1,9.3,10.4,1.9500003,27.272732,6,7,0.8735364208984374,False,REGULAR,USD,COIN
COIN220311P00165000,2022-02-03 19:28:13+00:00,165.0,9.85,10.8,12.0,0.8500004,9.444448,25,16,0.8521743298339843,False,REGULAR,USD,COIN
COIN220311P00170000,2022-02-03 19:28:13+00:00,170.0,11.5,12.8,14.1,0.9499998,9.004738,13,204,0.8460708752441406,False,REGULAR,USD,COIN
COIN220311P00175000,2022-02-02 20:46:08+00:00,175.0,14.2,15.1,16.1,1.6399994,13.05732,2,207,0.8350846569824217,False,REGULAR,USD,COIN
COIN220311P00185000,2022-02-02 20:07:34+00:00,185.0,16.83,19.3,21.2,0.0,0.0,33,15,0.801637725830078,True,REGULAR,USD,COIN
COIN220311P00190000,2022-02-03 15:21:04+00:00,190.0,20.0,22.3,24.4,0.75,3.8961039,7,18,0.8056049713134765,True,REGULAR,USD,COIN
COIN220311P00200000,2022-02-01 20:37:37+00:00,200.0,20.05,28.9,31.1,0.0,0.0,1,2,0.8077411804199219,True,REGULAR,USD,COIN
COIN220311P00205000,2022-01-28 16:39:25+00:00,205.0,36.13,32.3,34.6,0.0,0.0,4,4,0.8023701403808592,True,REGULAR,USD,COIN
COIN220311P00220000,2022-02-01 20:20:16+00:00,220.0,32.71,42.1,46.4,0.0,0.0,1,5,0.7576928527832032,True,REGULAR,USD,COIN
COIN220311P00240000,2022-02-02 14:59:19+00:00,240.0,53.81,60.3,65.1,0.0,0.0,2,4,0.8382584533691406,True,REGULAR,USD,COIN
