contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
CSIQ230120P00015000,2022-01-27 19:44:06+00:00,15.0,1.35,1.05,1.35,0.0,0.0,1,156,0.6225623681640625,False,REGULAR,USD,CSIQ
CSIQ230120P00018000,2022-01-24 14:58:53+00:00,18.0,2.5,1.8,2.15,0.0,0.0,1,37,0.5881388842773438,False,REGULAR,USD,CSIQ
CSIQ230120P00020000,2022-02-01 18:49:58+00:00,20.0,2.36,2.5,2.9,0.0,0.0,20,617,0.577152666015625,False,REGULAR,USD,CSIQ
CSIQ230120P00023000,2022-01-21 20:50:27+00:00,23.0,4.1,3.7,4.2,0.0,0.0,52,46,0.5544478149414063,False,REGULAR,USD,CSIQ
CSIQ230120P00025000,2022-02-03 14:30:02+00:00,25.0,5.0,4.7,5.2,0.6199999,14.155248,10,6303,0.5428512512207033,False,REGULAR,USD,CSIQ
CSIQ230120P00027000,2022-02-01 16:22:21+00:00,27.0,5.3,6.0,6.4,0.0,0.0,6,2703,0.5456588403320313,True,REGULAR,USD,CSIQ
CSIQ230120P00030000,2022-01-28 16:51:15+00:00,30.0,8.42,7.7,8.3,0.0,0.0,1,190,0.523320196533203,True,REGULAR,USD,CSIQ
CSIQ230120P00032000,2022-01-20 16:23:49+00:00,32.0,8.5,9.3,9.7,0.0,0.0,4,1021,0.5271043383789062,True,REGULAR,USD,CSIQ
CSIQ230120P00035000,2022-01-25 17:02:49+00:00,35.0,12.39,11.5,12.0,0.0,0.0,1,75,0.5185595019531251,True,REGULAR,USD,CSIQ
CSIQ230120P00037000,2021-12-09 15:43:26+00:00,37.0,9.4,10.5,10.9,0.0,0.0,2,5,1.0000000000000003e-05,True,REGULAR,USD,CSIQ
CSIQ230120P00040000,2022-01-20 15:18:32+00:00,40.0,14.28,15.7,16.1,0.0,0.0,6,247,0.5136767382812499,True,REGULAR,USD,CSIQ
CSIQ230120P00042000,2021-12-20 18:45:08+00:00,42.0,14.64,17.3,18.9,0.0,0.0,2,280,0.5678754150390625,True,REGULAR,USD,CSIQ
CSIQ230120P00045000,2022-01-13 17:21:12+00:00,45.0,18.3,19.4,19.8,0.0,0.0,1,44,0.42236905761718746,True,REGULAR,USD,CSIQ
CSIQ230120P00050000,2021-11-10 11:56:51+00:00,50.0,20.1,17.8,20.1,0.0,0.0,1,5,1.0000000000000003e-05,True,REGULAR,USD,CSIQ
CSIQ230120P00055000,2021-12-06 19:15:55+00:00,55.0,24.0,26.3,26.7,0.0,0.0,1,29,1.0000000000000003e-05,True,REGULAR,USD,CSIQ
CSIQ230120P00060000,2021-10-27 13:49:38+00:00,60.0,22.75,24.2,24.7,0.0,0.0,94,109,1.0000000000000003e-05,True,REGULAR,USD,CSIQ
CSIQ230120P00065000,2021-11-10 11:56:51+00:00,65.0,28.4,33.2,33.7,0.0,0.0,10,12,1.0000000000000003e-05,True,REGULAR,USD,CSIQ
CSIQ230120P00075000,2021-11-10 11:56:51+00:00,75.0,40.5,41.5,43.5,0.0,0.0,1,20,1.0000000000000003e-05,True,REGULAR,USD,CSIQ
CSIQ230120P00080000,2021-11-10 11:56:52+00:00,80.0,45.4,39.6,40.3,0.0,0.0,2,33,1.0000000000000003e-05,True,REGULAR,USD,CSIQ
CSIQ230120P00090000,2021-12-01 20:13:40+00:00,90.0,53.1,57.6,59.6,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD,CSIQ
