contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
DISCK220617P00012500,2021-12-23 15:53:54+00:00,12.5,0.33,0.0,0.9,0.0,0.0,5,5,1.0068409033203123,False,REGULAR,USD,DISCK
DISCK220617P00015000,2022-01-05 15:38:07+00:00,15.0,0.32,0.3,0.5,-0.26999998,-45.76271,20,5052,0.79101771484375,False,REGULAR,USD,DISCK
DISCK220617P00017500,2022-01-05 14:50:58+00:00,17.5,0.5,0.65,0.8,-0.5,-50.0,50,134,0.754885263671875,False,REGULAR,USD,DISCK
DISCK220617P00020000,2022-01-05 17:54:35+00:00,20.0,1.1,1.2,1.35,-0.6,-35.294117,8,492,0.7402369726562499,False,REGULAR,USD,DISCK
DISCK220617P00022500,2022-01-05 17:04:00+00:00,22.5,1.8,2.0,2.15,-0.110000014,-5.7591634,2,6272,0.735354208984375,False,REGULAR,USD,DISCK
DISCK220617P00025000,2022-01-05 15:38:07+00:00,25.0,2.89,3.1,3.3,-0.6099999,-17.428568,20,103,0.7468287036132812,False,REGULAR,USD,DISCK
DISCK220617P00027500,2022-01-05 17:20:12+00:00,27.5,3.9,4.6,4.8,-1.0,-20.408163,400,175,0.7795432202148438,False,REGULAR,USD,DISCK
DISCK220617P00030000,2021-12-29 20:30:41+00:00,30.0,8.16,6.3,6.6,0.0,0.0,30,656,0.8171405004882811,True,REGULAR,USD,DISCK
DISCK220617P00032500,2021-12-27 15:26:07+00:00,32.5,10.0,8.0,8.5,0.0,0.0,1,14,0.8371598315429687,True,REGULAR,USD,DISCK
DISCK220617P00035000,2021-12-31 18:40:54+00:00,35.0,12.4,10.0,10.6,0.0,0.0,1,14,0.8742688354492187,True,REGULAR,USD,DISCK
DISCK220617P00037500,2021-12-01 19:27:09+00:00,37.5,16.0,15.0,15.2,0.0,0.0,6,20,1.2961460974121093,True,REGULAR,USD,DISCK
DISCK220617P00040000,2022-01-05 20:35:46+00:00,40.0,14.95,14.9,15.1,-1.3499994,-8.282206,2,3,0.9956055126953125,True,REGULAR,USD,DISCK
