contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
FOUR220218P00030000,2021-12-31 18:39:49+00:00,30.0,0.6,0.0,0.75,0.0,0.0,1.0,1,2.5117224707031247,False,REGULAR,USD,FOUR
FOUR220218P00035000,2021-12-31 18:53:38+00:00,35.0,0.35,0.3,0.45,0.0,0.0,3.0,3,1.9785157324218752,False,REGULAR,USD,FOUR
FOUR220218P00040000,2021-12-27 16:36:40+00:00,40.0,0.7,0.7,0.85,0.0,0.0,2.0,3,1.8281258593749998,False,REGULAR,USD,FOUR
FOUR220218P00045000,2022-01-05 20:37:26+00:00,45.0,1.5,1.45,1.7,0.45000005,42.85715,1.0,34,1.7338880493164064,False,REGULAR,USD,FOUR
FOUR220218P00050000,2022-01-05 17:50:14+00:00,50.0,2.25,2.85,3.1,0.35000002,18.421055,27.0,21,1.677735986328125,False,REGULAR,USD,FOUR
FOUR220218P00055000,2022-01-05 19:38:42+00:00,55.0,4.9,5.0,5.4,1.5,44.117645,49.0,86,1.675294592285156,False,REGULAR,USD,FOUR
FOUR220218P00060000,2022-01-05 19:59:14+00:00,60.0,8.11,8.0,8.6,1.9099998,30.80645,56.0,62,1.7275404248046877,True,REGULAR,USD,FOUR
FOUR220218P00065000,2022-01-05 15:55:15+00:00,65.0,9.6,11.9,12.5,0.70000076,7.865177,17.0,178,1.8520515209960937,True,REGULAR,USD,FOUR
FOUR220218P00070000,2022-01-03 18:37:02+00:00,70.0,12.66,16.3,17.0,0.0,0.0,2.0,10,2.03760256225586,True,REGULAR,USD,FOUR
FOUR220218P00085000,2021-12-28 15:03:30+00:00,85.0,26.6,30.0,31.5,0.0,0.0,,24,2.5039099902343747,True,REGULAR,USD,FOUR
