contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
FSLY220617P00003000,2021-11-10 19:42:48+00:00,3.0,0.01,0.0,0.06,0.0,0.0,8.0,107,1.671876640625,False,REGULAR,USD,FSLY
FSLY220617P00005000,2022-02-07 15:24:50+00:00,5.0,0.05,0.01,0.32,0.0,0.0,5.0,21,1.6796891015625,False,REGULAR,USD,FSLY
FSLY220617P00008000,2022-02-03 15:07:18+00:00,8.0,0.18,0.04,0.4,0.0,0.0,6.0,25,1.3125034374999998,False,REGULAR,USD,FSLY
FSLY220617P00010000,2022-01-24 18:08:07+00:00,10.0,0.3,0.12,0.45,0.0,0.0,1.0,46,1.162113564453125,False,REGULAR,USD,FSLY
FSLY220617P00012000,2022-02-08 14:54:33+00:00,12.0,0.39,0.24,1.09,0.0,0.0,2.0,15,1.2168007910156249,False,REGULAR,USD,FSLY
FSLY220617P00015000,2022-02-04 17:07:34+00:00,15.0,0.92,0.53,0.78,0.0,0.0,1.0,119,0.9511723632812499,False,REGULAR,USD,FSLY
FSLY220617P00018000,2022-02-07 20:10:28+00:00,18.0,1.46,0.98,1.38,0.0,0.0,1.0,79,0.9047861083984375,False,REGULAR,USD,FSLY
FSLY220617P00020000,2022-02-08 15:53:50+00:00,20.0,2.08,1.42,1.68,0.0,0.0,1.0,120,0.8535170898437501,False,REGULAR,USD,FSLY
FSLY220617P00022000,2022-02-04 14:46:42+00:00,22.0,3.05,1.98,2.5,0.0,0.0,27.0,155,0.8552260571289063,False,REGULAR,USD,FSLY
FSLY220617P00025000,2022-02-09 15:38:46+00:00,25.0,3.5,3.05,3.35,0.0,0.0,2.0,419,0.8012715185546875,False,REGULAR,USD,FSLY
FSLY220617P00030000,2022-02-10 15:28:34+00:00,30.0,5.4,5.45,5.7,-0.4499998,-7.6923046,2.0,1998,0.7553735400390625,True,REGULAR,USD,FSLY
FSLY220617P00035000,2022-02-10 15:21:09+00:00,35.0,8.8,8.5,8.95,-0.65999985,-6.9767427,3.0,2196,0.7243679907226561,True,REGULAR,USD,FSLY
FSLY220617P00040000,2022-02-10 15:36:21+00:00,40.0,12.35,12.4,12.8,-1.0499992,-7.8358154,5.0,4305,0.7185086743164062,True,REGULAR,USD,FSLY
FSLY220617P00045000,2022-02-07 19:58:25+00:00,45.0,18.75,16.5,17.05,0.0,0.0,3.0,6124,0.694338994140625,True,REGULAR,USD,FSLY
FSLY220617P00050000,2022-02-07 19:38:24+00:00,50.0,22.99,20.6,21.75,0.0,0.0,3.0,2933,0.64648791015625,True,REGULAR,USD,FSLY
FSLY220617P00055000,2022-02-08 14:31:10+00:00,55.0,29.0,25.9,26.5,0.0,0.0,2.0,941,0.7324245507812499,True,REGULAR,USD,FSLY
FSLY220617P00060000,2022-02-09 19:29:26+00:00,60.0,31.3,30.7,31.6,0.0,0.0,25.0,236,0.7856466748046875,True,REGULAR,USD,FSLY
FSLY220617P00065000,2022-01-28 20:43:48+00:00,65.0,40.45,35.65,36.1,0.0,0.0,7.0,390,0.7304714453125,True,REGULAR,USD,FSLY
FSLY220617P00070000,2022-01-31 17:49:48+00:00,70.0,41.93,40.55,40.95,0.0,0.0,2.0,419,0.6972686523437501,True,REGULAR,USD,FSLY
FSLY220617P00075000,2022-01-25 17:03:04+00:00,75.0,49.17,45.4,46.05,0.0,0.0,2.0,86,0.71679970703125,True,REGULAR,USD,FSLY
FSLY220617P00080000,2022-01-27 14:36:18+00:00,80.0,53.95,50.45,51.15,0.0,0.0,1.0,268,0.82226740234375,True,REGULAR,USD,FSLY
FSLY220617P00085000,2022-01-25 18:56:57+00:00,85.0,58.92,55.45,56.65,0.0,0.0,1.0,32,1.001958115234375,True,REGULAR,USD,FSLY
FSLY220617P00090000,2021-12-15 16:46:53+00:00,90.0,52.2,58.75,59.8,0.0,0.0,1.0,45,1.0000000000000003e-05,True,REGULAR,USD,FSLY
FSLY220617P00095000,2022-01-24 17:23:39+00:00,95.0,70.0,65.2,66.75,0.0,0.0,3.0,41,1.0410204199218753,True,REGULAR,USD,FSLY
FSLY220617P00100000,2022-01-20 16:23:01+00:00,100.0,69.0,70.2,71.35,0.0,0.0,3.0,116,0.9414068359375,True,REGULAR,USD,FSLY
FSLY220617P00105000,2022-01-31 17:45:34+00:00,105.0,76.9,75.05,76.6,0.0,0.0,1.0,7,1.01172369140625,True,REGULAR,USD,FSLY
FSLY220617P00110000,2021-12-20 17:00:51+00:00,110.0,70.9,78.75,80.85,0.0,0.0,10.0,16,1.0595750146484377,True,REGULAR,USD,FSLY
FSLY220617P00115000,2022-01-20 14:30:42+00:00,115.0,83.93,85.4,86.85,0.0,0.0,1.0,1,1.2382850585937497,True,REGULAR,USD,FSLY
FSLY220617P00120000,2021-11-10 11:47:18+00:00,120.0,66.45,78.8,81.35,0.0,0.0,8.0,25,1.0000000000000003e-05,True,REGULAR,USD,FSLY
