contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
FSR220204P00011000,2022-01-04 16:32:58+00:00,11.0,0.1,0.05,0.2,0.0,0.0,120.0,123,0.85937640625,False,REGULAR,USD,FSR
FSR220204P00013000,2021-12-28 18:54:58+00:00,13.0,0.47,0.26,0.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,FSR
FSR220204P00013500,2022-01-05 16:13:25+00:00,13.5,0.3,0.33,0.48,-0.119999975,-28.571424,1.0,12,1.0000000000000003e-05,True,REGULAR,USD,FSR
FSR220204P00014000,2022-01-05 20:00:27+00:00,14.0,0.4,0.36,0.47,-0.099999994,-19.999998,2.0,159,1.0000000000000003e-05,True,REGULAR,USD,FSR
FSR220204P00014500,2022-01-03 19:51:02+00:00,14.5,0.56,0.54,0.61,0.0,0.0,39.0,46,1.0000000000000003e-05,True,REGULAR,USD,FSR
FSR220204P00015000,2022-01-04 18:34:40+00:00,15.0,0.7,0.61,0.84,0.0,0.0,6.0,72,1.0000000000000003e-05,True,REGULAR,USD,FSR
FSR220204P00016000,2022-01-05 20:46:10+00:00,16.0,1.04,0.98,1.17,-0.1500001,-12.605049,3.0,38,1.0000000000000003e-05,True,REGULAR,USD,FSR
FSR220204P00016500,2022-01-05 16:04:03+00:00,16.5,1.05,1.14,1.55,-0.29000008,-21.641796,92.0,4,1.0000000000000003e-05,True,REGULAR,USD,FSR
FSR220204P00017000,2022-01-05 20:11:14+00:00,17.0,1.5,1.39,1.74,0.110000014,7.91367,104.0,8,1.0000000000000003e-05,True,REGULAR,USD,FSR
FSR220204P00019000,2022-01-04 19:38:08+00:00,19.0,2.84,2.7,3.75,0.0,0.0,2.0,6,1.0000000000000003e-05,True,REGULAR,USD,FSR
