contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
ISRG220204P00150000,2022-01-27 18:35:02+00:00,150.0,0.06,0.0,0.05,0.0,0.0,,169,3.1093772265624997,False,REGULAR,USD,ISRG
ISRG220204P00155000,2022-01-27 18:35:25+00:00,155.0,0.08,0.0,0.15,0.0,0.0,,39,3.3046892382812496,False,REGULAR,USD,ISRG
ISRG220204P00160000,2022-01-27 18:35:41+00:00,160.0,0.01,0.0,0.05,0.0,0.0,,74,2.8281279296874997,False,REGULAR,USD,ISRG
ISRG220204P00165000,2022-01-27 19:07:32+00:00,165.0,0.05,0.0,4.3,0.0,0.0,,17,5.028324027099609,False,REGULAR,USD,ISRG
ISRG220204P00170000,2022-01-27 18:35:41+00:00,170.0,0.07,0.0,4.3,0.0,0.0,,10,4.806644616699217,False,REGULAR,USD,ISRG
ISRG220204P00175000,2022-01-27 19:05:09+00:00,175.0,0.05,0.0,4.3,0.0,0.0,,11,4.589848012695313,False,REGULAR,USD,ISRG
ISRG220204P00180000,2022-01-27 19:05:02+00:00,180.0,0.06,0.0,0.5,0.0,0.0,,10,2.9960962597656247,False,REGULAR,USD,ISRG
ISRG220204P00185000,2022-01-28 17:47:37+00:00,185.0,0.06,0.0,4.3,0.0,0.0,2.0,9,4.173832907714844,False,REGULAR,USD,ISRG
ISRG220204P00190000,2022-01-28 17:48:28+00:00,190.0,0.07,0.0,4.3,0.0,0.0,4.0,10,3.973632878417969,False,REGULAR,USD,ISRG
ISRG220204P00195000,2022-01-28 17:49:15+00:00,195.0,0.1,0.0,4.3,0.0,0.0,6.0,10,3.777344306640625,False,REGULAR,USD,ISRG
ISRG220204P00200000,2022-02-01 19:21:23+00:00,200.0,0.05,0.0,3.7,0.0,0.0,13.0,14,3.46093884765625,False,REGULAR,USD,ISRG
ISRG220204P00205000,2022-02-01 19:23:02+00:00,205.0,0.1,0.0,4.3,0.0,0.0,7.0,7,3.3964858837890626,False,REGULAR,USD,ISRG
ISRG220204P00210000,2022-02-01 19:22:19+00:00,210.0,0.1,0.0,1.05,0.0,0.0,1.0,3,2.404300864257812,False,REGULAR,USD,ISRG
ISRG220204P00215000,2022-02-01 19:44:13+00:00,215.0,0.1,0.0,4.3,0.0,0.0,1.0,2,3.0292993017578125,False,REGULAR,USD,ISRG
ISRG220204P00220000,2022-02-01 19:44:44+00:00,220.0,0.1,0.0,0.1,0.0,0.0,4.0,5,1.5234398828124998,False,REGULAR,USD,ISRG
ISRG220204P00225000,2022-01-28 17:29:55+00:00,225.0,0.3,0.0,0.1,0.0,0.0,15.0,17,1.4140654296875002,False,REGULAR,USD,ISRG
ISRG220204P00230000,2022-02-02 14:51:24+00:00,230.0,0.05,0.0,4.3,-0.120000005,-70.588234,5.0,26,2.5009803100585932,False,REGULAR,USD,ISRG
ISRG220204P00235000,2022-01-27 18:11:40+00:00,235.0,1.0,0.0,0.15,0.0,0.0,1.0,3,1.26172244140625,False,REGULAR,USD,ISRG
ISRG220204P00240000,2022-02-02 14:30:04+00:00,240.0,0.75,0.0,1.05,0.7,1400.0,1.0,39,1.5605490722656248,False,REGULAR,USD,ISRG
ISRG220204P00245000,2022-01-28 20:21:28+00:00,245.0,1.0,0.0,4.8,0.0,0.0,3.0,14,2.054204083251953,False,REGULAR,USD,ISRG
ISRG220204P00250000,2022-02-01 20:55:42+00:00,250.0,0.2,0.0,0.75,0.0,0.0,1.0,58,1.2109414453124998,False,REGULAR,USD,ISRG
ISRG220204P00252500,2022-02-02 18:06:37+00:00,252.5,0.1,0.0,1.0,-0.10999999,-52.38095,2.0,11,1.2138711181640622,False,REGULAR,USD,ISRG
ISRG220204P00255000,2022-02-02 20:34:00+00:00,255.0,0.9,0.0,0.9,0.67999995,309.09088,1.0,40,1.1240278173828124,False,REGULAR,USD,ISRG
ISRG220204P00257500,2022-01-28 17:12:41+00:00,257.5,2.6,0.0,4.4,0.0,0.0,19.0,18,1.5820333398437496,False,REGULAR,USD,ISRG
ISRG220204P00260000,2022-02-02 14:39:21+00:00,260.0,0.12,0.05,0.85,-0.19999999,-62.5,1.0,67,0.9946289599609376,False,REGULAR,USD,ISRG
ISRG220204P00262500,2022-01-31 15:10:42+00:00,262.5,1.11,0.0,1.1,0.0,0.0,2.0,13,0.9711916943359374,False,REGULAR,USD,ISRG
ISRG220204P00265000,2022-02-01 15:18:31+00:00,265.0,0.68,0.1,1.0,0.0,0.0,1.0,46,0.90429783203125,False,REGULAR,USD,ISRG
ISRG220204P00267500,2022-02-01 20:36:22+00:00,267.5,0.6,0.05,1.1,0.0,0.0,2.0,37,0.8461929443359374,False,REGULAR,USD,ISRG
ISRG220204P00270000,2022-02-02 15:23:18+00:00,270.0,0.26,0.05,0.5,-0.88,-77.19298,2.0,86,0.6621127539062501,False,REGULAR,USD,ISRG
ISRG220204P00272500,2022-02-02 14:30:12+00:00,272.5,1.04,0.0,4.8,-0.26999998,-20.610687,2.0,8,1.1071821984863282,False,REGULAR,USD,ISRG
ISRG220204P00275000,2022-02-02 17:23:39+00:00,275.0,0.5,0.2,2.45,-0.86,-63.235294,10.0,429,0.8198260205078124,False,REGULAR,USD,ISRG
ISRG220204P00277500,2022-02-02 17:55:35+00:00,277.5,0.47,0.2,2.65,-1.04,-68.87417,5.0,11,0.7583031982421876,False,REGULAR,USD,ISRG
ISRG220204P00280000,2022-02-02 19:44:08+00:00,280.0,0.72,0.5,0.7,-1.3199999,-64.70588,72.0,57,0.5073291455078125,False,REGULAR,USD,ISRG
ISRG220204P00282500,2022-02-02 18:48:02+00:00,282.5,0.9,0.6,1.4,-2.6,-74.28571,7.0,73,0.5148974291992188,False,REGULAR,USD,ISRG
