contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
JMIA220520P00003000,2022-02-02 18:51:07+00:00,3.0,0.08,0.06,0.16,-0.030000001,-27.272728,1,49,1.359378203125,False,REGULAR,USD,JMIA
JMIA220520P00005000,2022-02-01 17:25:32+00:00,5.0,0.36,0.33,0.36,0.0,0.0,8,352,1.109379453125,False,REGULAR,USD,JMIA
JMIA220520P00006000,2022-02-02 15:20:11+00:00,6.0,0.53,0.57,0.61,-0.25,-32.051285,10,138,1.0605515722656251,False,REGULAR,USD,JMIA
JMIA220520P00007000,2022-01-31 17:20:49+00:00,7.0,1.03,0.9,0.94,0.0,0.0,20,206,1.017583037109375,False,REGULAR,USD,JMIA
JMIA220520P00008000,2022-02-01 16:20:01+00:00,8.0,1.28,1.33,1.38,0.0,0.0,5,778,0.99023447265625,False,REGULAR,USD,JMIA
JMIA220520P00009000,2022-02-02 17:52:00+00:00,9.0,1.85,1.86,1.93,0.05000007,2.777782,10,268,0.975586181640625,True,REGULAR,USD,JMIA
JMIA220520P00010000,2022-02-01 15:55:10+00:00,10.0,2.51,2.48,2.57,0.0,0.0,30,449,0.9677737597656251,True,REGULAR,USD,JMIA
JMIA220520P00011000,2022-01-24 20:00:59+00:00,11.0,3.95,3.15,3.3,0.0,0.0,5,122,0.9599613378906249,True,REGULAR,USD,JMIA
JMIA220520P00012000,2022-02-01 20:31:31+00:00,12.0,3.75,3.9,4.05,0.0,0.0,46,1326,0.9492192578124999,True,REGULAR,USD,JMIA
JMIA220520P00013000,2022-02-02 19:00:33+00:00,13.0,4.75,4.75,4.9,0.19999981,4.3956,1,388,0.9677737597656251,True,REGULAR,USD,JMIA
JMIA220520P00014000,2022-02-01 19:06:07+00:00,14.0,5.36,5.6,5.75,0.0,0.0,6,348,0.96679720703125,True,REGULAR,USD,JMIA
JMIA220520P00015000,2022-02-02 19:31:34+00:00,15.0,6.58,6.45,6.65,-1.29,-16.39136,1,366,0.9619144433593749,True,REGULAR,USD,JMIA
JMIA220520P00016000,2022-02-01 20:58:36+00:00,16.0,7.04,7.35,7.5,0.0,0.0,3,552,0.93945373046875,True,REGULAR,USD,JMIA
JMIA220520P00017000,2022-01-24 14:38:55+00:00,17.0,10.2,8.3,8.5,0.0,0.0,1,487,0.9785158398437501,True,REGULAR,USD,JMIA
JMIA220520P00018000,2022-02-02 15:01:35+00:00,18.0,8.9,9.25,9.45,-0.03999996,-0.4474269,20,661,0.99023447265625,True,REGULAR,USD,JMIA
JMIA220520P00019000,2022-02-01 20:06:41+00:00,19.0,9.84,10.2,10.4,0.0,0.0,2,2072,0.992187578125,True,REGULAR,USD,JMIA
JMIA220520P00020000,2022-02-02 19:07:32+00:00,20.0,11.17,11.15,11.35,0.35000038,3.234754,1,201,0.98437515625,True,REGULAR,USD,JMIA
JMIA220520P00021000,2022-01-24 20:13:50+00:00,21.0,11.85,12.15,12.35,-1.2999992,-9.885926,3,63,1.0273486132812502,True,REGULAR,USD,JMIA
JMIA220520P00022000,2022-01-27 17:19:33+00:00,22.0,14.48,13.1,13.3,0.0,0.0,2,67,1.0039112304687499,True,REGULAR,USD,JMIA
JMIA220520P00023000,2022-01-31 18:14:25+00:00,23.0,14.48,14.1,14.3,0.0,0.0,6,57,1.0390673046875003,True,REGULAR,USD,JMIA
JMIA220520P00024000,2022-01-20 16:02:36+00:00,24.0,14.45,15.05,15.3,0.0,0.0,2,25,1.0351610742187503,True,REGULAR,USD,JMIA
JMIA220520P00025000,2022-02-02 16:17:12+00:00,25.0,16.25,16.05,16.25,-1.3999996,-7.9320097,1,95,1.0234423828125,True,REGULAR,USD,JMIA
JMIA220520P00026000,2022-01-27 15:22:02+00:00,26.0,18.31,17.05,17.25,0.0,0.0,2,49,1.0546922265625,True,REGULAR,USD,JMIA
JMIA220520P00027000,2022-02-01 20:41:28+00:00,27.0,17.7,18.05,18.25,0.0,0.0,3,17,1.08203583984375,True,REGULAR,USD,JMIA
JMIA220520P00028000,2022-01-28 15:03:42+00:00,28.0,20.95,19.05,19.25,0.0,0.0,1,51,1.107426337890625,True,REGULAR,USD,JMIA
JMIA220520P00030000,2022-01-27 15:27:07+00:00,30.0,22.34,21.0,21.25,0.0,0.0,2,96,1.1054732226562503,True,REGULAR,USD,JMIA
JMIA220520P00035000,2022-01-31 20:08:09+00:00,35.0,26.4,26.0,26.35,0.0,0.0,2,93,1.3125034374999998,True,REGULAR,USD,JMIA
