contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
MS230120P00025000,2022-02-10 20:45:23+00:00,25.0,0.25,0.05,0.32,0.0,0.0,3,1619,0.6884796777343751,False,REGULAR,USD,MS
MS230120P00030000,2022-01-18 20:59:35+00:00,30.0,0.4,0.14,0.68,0.0,0.0,17,0,0.684573466796875,False,REGULAR,USD,MS
MS230120P00035000,2022-02-09 14:55:36+00:00,35.0,0.34,0.17,0.53,0.0,0.0,1,816,0.5888712988281251,False,REGULAR,USD,MS
MS230120P00040000,2022-01-25 17:30:21+00:00,40.0,0.6,0.3,0.93,-0.19999999,-24.999998,1,1235,0.57812921875,False,REGULAR,USD,MS
MS230120P00045000,2022-01-31 16:35:34+00:00,45.0,0.8,0.44,1.1,0.0,0.0,3,617,0.5376022802734376,False,REGULAR,USD,MS
MS230120P00050000,2022-02-03 14:34:07+00:00,50.0,0.95,0.0,1.25,0.0,0.0,2,5416,0.5330857238769531,False,REGULAR,USD,MS
MS230120P00052500,2022-01-20 20:52:12+00:00,52.5,1.22,0.67,1.24,0.0,0.0,19,1068,0.5018360363769532,False,REGULAR,USD,MS
MS230120P00055000,2022-02-09 18:54:52+00:00,55.0,1.0,0.91,1.43,0.0,0.0,10,7138,0.49023947265625006,False,REGULAR,USD,MS
MS230120P00057500,2022-01-28 15:40:56+00:00,57.5,1.7,0.95,2.32,0.0,0.0,1,2647,0.5285691674804689,False,REGULAR,USD,MS
MS230120P00060000,2022-02-09 18:54:44+00:00,60.0,1.3,1.29,2.16,0.0,0.0,10,0,0.48779809082031256,False,REGULAR,USD,MS
MS230120P00062500,2022-02-11 19:54:13+00:00,62.5,1.82,1.51,2.06,-0.84000003,-31.578949,60,0,0.4527642614746094,False,REGULAR,USD,MS
MS230120P00065000,2022-02-11 19:47:32+00:00,65.0,2.04,1.72,2.23,0.27999997,15.909089,58,6307,0.4359187268066406,False,REGULAR,USD,MS
MS230120P00067500,2022-02-11 19:44:53+00:00,67.5,2.36,1.67,2.62,0.32999992,16.256153,25,2418,0.43103596313476567,False,REGULAR,USD,MS
MS230120P00070000,2022-02-11 19:02:07+00:00,70.0,2.62,1.92,3.05,0.48999977,23.004683,40,0,0.4260311303710938,False,REGULAR,USD,MS
MS230120P00075000,2022-02-11 19:44:54+00:00,75.0,3.4,3.05,3.6,0.48000002,16.438356,41,3551,0.3969786865234375,False,REGULAR,USD,MS
MS230120P00080000,2022-02-11 20:59:00+00:00,80.0,4.2,4.0,4.45,0.4499998,11.999995,65,0,0.3767762518310547,False,REGULAR,USD,MS
MS230120P00085000,2022-02-11 19:02:04+00:00,85.0,5.12,5.2,6.75,0.42000008,8.936172,445,0,0.39954213745117195,False,REGULAR,USD,MS
MS230120P00087500,2022-02-11 18:34:08+00:00,87.5,5.8,5.45,8.15,0.8000002,16.000004,15,3252,0.4133359448242187,False,REGULAR,USD,MS
MS230120P00090000,2022-02-10 19:14:10+00:00,90.0,6.0,6.35,7.8,0.0,0.0,58,11753,0.37244279907226563,False,REGULAR,USD,MS
MS230120P00092500,2022-02-11 19:05:09+00:00,92.5,7.5,7.25,8.45,0.6500001,9.489053,2,1441,0.36096830444335937,False,REGULAR,USD,MS
MS230120P00095000,2022-02-11 20:34:29+00:00,95.0,8.7,8.1,10.5,1.0899997,14.323254,20,3818,0.38660281372070304,False,REGULAR,USD,MS
MS230120P00097500,2022-02-10 20:39:00+00:00,97.5,8.35,8.1,10.05,0.0,0.0,81,2013,0.3423527679443359,False,REGULAR,USD,MS
MS230120P00100000,2022-02-10 18:19:52+00:00,100.0,9.05,10.15,12.9,0.0,0.0,20,9743,0.38403936279296874,False,REGULAR,USD,MS
MS230120P00105000,2022-02-10 20:39:00+00:00,105.0,11.5,12.2,14.1,0.0,0.0,21,2443,0.3448551843261719,True,REGULAR,USD,MS
MS230120P00110000,2022-02-10 20:38:57+00:00,110.0,14.06,15.7,16.9,0.0,0.0,23,822,0.34009448974609374,True,REGULAR,USD,MS
MS230120P00115000,2022-02-10 16:26:53+00:00,115.0,16.1,18.75,19.45,0.0,0.0,1,0,0.32257757507324214,True,REGULAR,USD,MS
MS230120P00120000,2022-02-10 18:36:48+00:00,120.0,19.85,22.1,23.05,0.0,0.0,1,19,0.3250189569091796,True,REGULAR,USD,MS
MS230120P00125000,2022-02-11 15:49:02+00:00,125.0,23.5,25.6,26.65,0.5,2.173913,50,0,0.3216010223388671,True,REGULAR,USD,MS
MS230120P00130000,2022-02-10 18:27:14+00:00,130.0,26.7,29.2,31.85,0.0,0.0,10,16,0.3573062316894531,True,REGULAR,USD,MS
MS230120P00135000,2021-11-26 17:45:02+00:00,135.0,41.4,38.1,40.3,0.0,0.0,4,16,0.47803256347656253,True,REGULAR,USD,MS
MS230120P00140000,2021-12-20 16:23:41+00:00,140.0,48.8,46.6,47.35,0.0,0.0,1,17,0.5489547058105471,True,REGULAR,USD,MS
MS230120P00145000,2021-11-29 17:34:12+00:00,145.0,51.05,48.45,49.15,0.0,0.0,3,24,0.4999744827270508,True,REGULAR,USD,MS
MS230120P00150000,2021-11-10 11:48:27+00:00,150.0,51.6,53.4,55.7,0.0,0.0,1,3,0.5346115875244142,True,REGULAR,USD,MS
MS230120P00155000,2021-12-13 20:23:15+00:00,155.0,60.1,53.3,55.3,0.0,0.0,6,15,0.43182941223144533,True,REGULAR,USD,MS
