contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
M220318P00011000,2022-02-03 20:59:45+00:00,11.0,0.05,0.04,0.05,0.010000002,25.000006,12.0,187,1.15625421875,False,REGULAR,USD,M
M220318P00012000,2022-02-03 15:42:08+00:00,12.0,0.05,0.06,0.07,0.0,0.0,7.0,112,1.109379453125,False,REGULAR,USD,M
M220318P00013000,2022-02-03 20:20:44+00:00,13.0,0.08,0.08,0.09,-0.030000001,-27.272728,2.0,47,1.0468797656250002,False,REGULAR,USD,M
M220318P00014000,2022-02-03 15:18:11+00:00,14.0,0.09,0.1,0.11,0.010000005,12.500008,3.0,138,0.9804689453125001,False,REGULAR,USD,M
M220318P00015000,2022-02-03 15:20:28+00:00,15.0,0.12,0.14,0.15,-0.020000003,-14.285716,1.0,1136,0.937500625,False,REGULAR,USD,M
M220318P00016000,2022-02-02 17:19:44+00:00,16.0,0.15,0.19,0.2,0.0,0.0,12.0,122,0.8945323046874999,False,REGULAR,USD,M
M220318P00017000,2022-02-03 19:46:01+00:00,17.0,0.26,0.25,0.27,0.03999999,18.181814,11.0,2459,0.8554701953125,False,REGULAR,USD,M
M220318P00018000,2022-02-03 17:54:04+00:00,18.0,0.31,0.34,0.37,0.00999999,3.3333302,2.0,1424,0.8242205078124999,False,REGULAR,USD,M
M220318P00019000,2022-02-03 20:18:25+00:00,19.0,0.48,0.47,0.5,0.030000001,6.666667,2.0,1732,0.79883013671875,False,REGULAR,USD,M
M220318P00020000,2022-02-03 20:23:45+00:00,20.0,0.63,0.63,0.67,0.07999998,14.545451,82.0,1355,0.7744163183593751,False,REGULAR,USD,M
M220318P00021000,2022-02-03 20:40:08+00:00,21.0,0.86,0.84,0.89,0.060000002,7.5000005,31.0,466,0.752932158203125,False,REGULAR,USD,M
M220318P00022000,2022-02-03 20:17:08+00:00,22.0,1.16,1.13,1.19,0.16999996,17.171713,10.0,1015,0.74414318359375,False,REGULAR,USD,M
M220318P00023000,2022-02-03 20:15:08+00:00,23.0,1.49,1.48,1.55,0.07000005,4.929581,13.0,1616,0.73437765625,False,REGULAR,USD,M
M220318P00024000,2022-02-03 20:35:35+00:00,24.0,1.91,1.9,1.97,0.13999999,7.909604,21.0,1300,0.7260769580078125,False,REGULAR,USD,M
M220318P00025000,2022-02-03 20:58:40+00:00,25.0,2.44,2.4,2.57,0.22000003,9.909911,416.0,852,0.737307314453125,False,REGULAR,USD,M
M220318P00026000,2022-02-03 16:59:31+00:00,26.0,2.9,2.96,3.05,0.06000018,2.1126826,12.0,1391,0.72070591796875,True,REGULAR,USD,M
M220318P00027000,2022-02-03 15:42:07+00:00,27.0,3.15,3.6,3.7,-0.29999995,-8.695651,61.0,532,0.7231472998046875,True,REGULAR,USD,M
M220318P00028000,2022-02-02 15:12:08+00:00,28.0,4.05,4.25,4.4,0.0,0.0,12.0,589,0.7187528125,True,REGULAR,USD,M
M220318P00029000,2022-02-02 15:56:58+00:00,29.0,4.65,5.0,5.15,0.0,0.0,5.0,2166,0.7221707470703125,True,REGULAR,USD,M
M220318P00030000,2022-02-03 16:16:17+00:00,30.0,5.29,5.8,5.95,-0.26999998,-4.856115,49.0,3091,0.72851833984375,True,REGULAR,USD,M
M220318P00031000,2022-02-02 17:19:59+00:00,31.0,6.73,6.65,6.9,0.0,0.0,3.0,2420,0.7587914746093751,True,REGULAR,USD,M
M220318P00032000,2022-02-03 15:54:22+00:00,32.0,6.85,7.5,7.65,-0.4500003,-6.164387,7.0,1151,0.7412135253906249,True,REGULAR,USD,M
M220318P00033000,2022-02-02 20:55:04+00:00,33.0,8.28,8.4,8.55,0.0,0.0,10.0,346,0.752932158203125,True,REGULAR,USD,M
M220318P00034000,2022-01-21 17:54:33+00:00,34.0,11.04,9.3,9.45,0.0,0.0,1.0,272,0.75586181640625,True,REGULAR,USD,M
M220318P00035000,2022-02-03 15:47:36+00:00,35.0,9.65,10.25,10.4,-1.0,-9.389671,1.0,285,0.7763694238281251,True,REGULAR,USD,M
M220318P00036000,2022-02-02 19:51:06+00:00,36.0,10.98,11.2,11.35,0.0,0.0,1.0,133,0.7919942675781251,True,REGULAR,USD,M
M220318P00037000,2022-01-11 15:31:05+00:00,37.0,11.55,12.15,12.3,0.0,0.0,1.0,31,0.8017597949218749,True,REGULAR,USD,M
M220318P00038000,2022-01-14 17:56:39+00:00,38.0,12.83,13.1,13.3,0.0,0.0,1.0,32,0.823243955078125,True,REGULAR,USD,M
M220318P00039000,2022-01-25 17:32:38+00:00,39.0,12.75,14.1,14.25,0.0,0.0,9.0,125,0.84179845703125,True,REGULAR,USD,M
M220318P00040000,2022-01-11 15:41:08+00:00,40.0,14.55,15.05,15.25,0.0,0.0,2.0,145,0.85742330078125,True,REGULAR,USD,M
M220318P00041000,2022-01-24 15:48:31+00:00,41.0,16.7,16.05,16.25,0.0,0.0,1.0,10,0.8906260937499999,True,REGULAR,USD,M
M220318P00042000,2022-02-01 15:02:00+00:00,42.0,16.7,17.05,17.2,0.0,0.0,1.0,8,0.9003916210937499,True,REGULAR,USD,M
M220318P00043000,2022-01-25 19:12:01+00:00,43.0,16.45,18.0,18.25,0.0,0.0,1.0,2,0.93164130859375,True,REGULAR,USD,M
M220318P00044000,2022-01-25 18:26:55+00:00,44.0,17.6,19.0,19.3,0.0,0.0,1.0,2,0.98437515625,True,REGULAR,USD,M
M220318P00045000,2021-11-19 15:26:55+00:00,45.0,11.5,20.45,21.3,0.0,0.0,1.0,2,1.4404324853515624,True,REGULAR,USD,M
M220318P00046000,2022-01-26 20:48:53+00:00,46.0,20.2,21.0,21.2,0.0,0.0,,0,0.992187578125,True,REGULAR,USD,M
M220318P00047000,2022-01-20 15:00:03+00:00,47.0,21.95,22.0,22.3,0.0,0.0,,9,1.0683640332031252,True,REGULAR,USD,M
M220318P00048000,2022-01-11 16:04:31+00:00,48.0,22.4,23.0,23.2,0.0,0.0,1.0,1,1.0449266503906252,True,REGULAR,USD,M
M220318P00049000,2021-12-21 20:44:44+00:00,49.0,24.55,25.2,25.4,0.0,0.0,,2,1.7548840380859376,True,REGULAR,USD,M
M220318P00050000,2022-01-31 15:20:50+00:00,50.0,24.89,24.95,25.15,0.0,0.0,2.0,4,1.0312548437500002,True,REGULAR,USD,M
M220318P00055000,2022-01-14 17:49:16+00:00,55.0,29.65,29.95,30.2,0.0,0.0,1.0,7,1.1777384863281248,True,REGULAR,USD,M
