contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
NIO220916P00005000,2022-02-02 16:20:44+00:00,5.0,0.15,0.02,1.0,0.0,0.0,167,239,1.5791036669921872,False,REGULAR,USD,NIO
NIO220916P00007500,2022-01-27 20:46:04+00:00,7.5,0.42,0.0,2.38,0.0,0.0,10,30,1.5556662841796873,False,REGULAR,USD,NIO
NIO220916P00010000,2022-02-08 20:56:17+00:00,10.0,0.47,0.01,0.6,0.0,0.0,354,375,0.8261736132812498,False,REGULAR,USD,NIO
NIO220916P00012500,2022-02-04 14:53:11+00:00,12.5,0.93,0.62,0.75,0.0,0.0,56,75,0.813478427734375,False,REGULAR,USD,NIO
NIO220916P00015000,2022-02-10 14:33:18+00:00,15.0,1.57,1.02,1.18,0.45000005,40.178574,2,995,0.7607445800781252,False,REGULAR,USD,NIO
NIO220916P00017500,2022-02-10 17:20:52+00:00,17.5,1.63,1.6,1.71,0.07000005,4.487183,4,5799,0.7148466015625,False,REGULAR,USD,NIO
NIO220916P00020000,2022-02-10 17:26:20+00:00,20.0,2.4,2.38,2.51,-0.19999981,-7.692301,41,1172,0.6867707104492189,False,REGULAR,USD,NIO
NIO220916P00022500,2022-02-10 16:14:56+00:00,22.5,3.45,3.4,3.55,0.049999952,1.4705868,11,1855,0.6684603466796877,False,REGULAR,USD,NIO
NIO220916P00025000,2022-02-10 15:44:50+00:00,25.0,4.6,4.55,4.75,0.0,0.0,5,11848,0.6450230810546875,False,REGULAR,USD,NIO
NIO220916P00030000,2022-02-10 15:41:34+00:00,30.0,7.5,7.6,8.0,-0.1500001,-1.9607855,3,14883,0.6340368627929689,True,REGULAR,USD,NIO
NIO220916P00035000,2022-02-10 15:17:52+00:00,35.0,11.47,11.35,11.7,0.17000008,1.5044254,1,13356,0.6215858154296876,True,REGULAR,USD,NIO
NIO220916P00040000,2022-02-04 20:26:00+00:00,40.0,17.25,15.55,15.9,0.0,0.0,2,4149,0.6169471899414063,True,REGULAR,USD,NIO
NIO220916P00045000,2022-02-09 20:18:57+00:00,45.0,20.21,20.1,20.45,0.0,0.0,5,2641,0.6259803027343751,True,REGULAR,USD,NIO
NIO220916P00050000,2022-02-03 16:37:21+00:00,50.0,26.37,24.75,25.1,0.0,0.0,1,1015,0.6215858154296876,True,REGULAR,USD,NIO
NIO220916P00055000,2022-01-26 16:31:01+00:00,55.0,31.95,29.55,29.85,0.0,0.0,15,336,0.6181678808593751,True,REGULAR,USD,NIO
NIO220916P00060000,2022-02-09 20:56:23+00:00,60.0,34.25,34.3,34.85,0.0,0.0,1,80,0.624027197265625,True,REGULAR,USD,NIO
NIO220916P00065000,2021-12-06 14:30:15+00:00,65.0,36.25,0.0,0.0,0.0,0.0,1,127,1.0000000000000003e-05,True,REGULAR,USD,NIO
NIO220916P00070000,2022-01-28 20:34:30+00:00,70.0,49.78,44.0,44.9,0.0,0.0,10,137,0.6455113574218749,True,REGULAR,USD,NIO
NIO220916P00075000,2021-12-07 16:09:00+00:00,75.0,43.0,45.95,46.45,0.0,0.0,1,61,1.0000000000000003e-05,True,REGULAR,USD,NIO
NIO220916P00080000,2021-12-03 20:00:36+00:00,80.0,49.5,48.2,50.4,0.0,0.0,33,83,1.0000000000000003e-05,True,REGULAR,USD,NIO
